Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
29.447273, 2080-2099, bcc_csm1_1, Jan Average, Afghanistan, AFG
33.028393, 2080-2099, bcc_csm1_1, Feb Average, Afghanistan, AFG
36.222412, 2080-2099, bcc_csm1_1, Mar Average, Afghanistan, AFG
18.717842, 2080-2099, bcc_csm1_1, Apr Average, Afghanistan, AFG
16.326107, 2080-2099, bcc_csm1_1, May Average, Afghanistan, AFG
5.8745956, 2080-2099, bcc_csm1_1, Jun Average, Afghanistan, AFG
1.0783099, 2080-2099, bcc_csm1_1, Jul Average, Afghanistan, AFG
1.658366, 2080-2099, bcc_csm1_1, Aug Average, Afghanistan, AFG
1.8758818, 2080-2099, bcc_csm1_1, Sep Average, Afghanistan, AFG
9.3185215, 2080-2099, bcc_csm1_1, Oct Average, Afghanistan, AFG
27.75809, 2080-2099, bcc_csm1_1, Nov Average, Afghanistan, AFG
29.19819, 2080-2099, bcc_csm1_1, Dec Average, Afghanistan, AFG
28.043732, 2080-2099, bcc_csm1_1_m, Jan Average, Afghanistan, AFG
18.429493, 2080-2099, bcc_csm1_1_m, Feb Average, Afghanistan, AFG
18.284985, 2080-2099, bcc_csm1_1_m, Mar Average, Afghanistan, AFG
14.055798, 2080-2099, bcc_csm1_1_m, Apr Average, Afghanistan, AFG
10.49442, 2080-2099, bcc_csm1_1_m, May Average, Afghanistan, AFG
10.393582, 2080-2099, bcc_csm1_1_m, Jun Average, Afghanistan, AFG
25.015448, 2080-2099, bcc_csm1_1_m, Jul Average, Afghanistan, AFG
32.58125, 2080-2099, bcc_csm1_1_m, Aug Average, Afghanistan, AFG
10.536005, 2080-2099, bcc_csm1_1_m, Sep Average, Afghanistan, AFG
13.724467, 2080-2099, bcc_csm1_1_m, Oct Average, Afghanistan, AFG
21.72663, 2080-2099, bcc_csm1_1_m, Nov Average, Afghanistan, AFG
17.230585, 2080-2099, bcc_csm1_1_m, Dec Average, Afghanistan, AFG
19.818466, 2080-2099, ccsm4, Jan Average, Afghanistan, AFG
20.14566, 2080-2099, ccsm4, Feb Average, Afghanistan, AFG
31.125711, 2080-2099, ccsm4, Mar Average, Afghanistan, AFG
43.72651, 2080-2099, ccsm4, Apr Average, Afghanistan, AFG
23.833466, 2080-2099, ccsm4, May Average, Afghanistan, AFG
10.305961, 2080-2099, ccsm4, Jun Average, Afghanistan, AFG
