Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
2.3453908, 2080-2099, bcc_csm1_1, Jan Average, Oman, OMN
2.452371, 2080-2099, bcc_csm1_1, Feb Average, Oman, OMN
1.4309556, 2080-2099, bcc_csm1_1, Mar Average, Oman, OMN
1.9642555, 2080-2099, bcc_csm1_1, Apr Average, Oman, OMN
2.4885995, 2080-2099, bcc_csm1_1, May Average, Oman, OMN
3.494769, 2080-2099, bcc_csm1_1, Jun Average, Oman, OMN
7.195248, 2080-2099, bcc_csm1_1, Jul Average, Oman, OMN
8.428542, 2080-2099, bcc_csm1_1, Aug Average, Oman, OMN
13.291804, 2080-2099, bcc_csm1_1, Sep Average, Oman, OMN
4.5091906, 2080-2099, bcc_csm1_1, Oct Average, Oman, OMN
3.3866236, 2080-2099, bcc_csm1_1, Nov Average, Oman, OMN
2.4582021, 2080-2099, bcc_csm1_1, Dec Average, Oman, OMN
4.541612, 2080-2099, bcc_csm1_1_m, Jan Average, Oman, OMN
0.95295787, 2080-2099, bcc_csm1_1_m, Feb Average, Oman, OMN
1.4751039, 2080-2099, bcc_csm1_1_m, Mar Average, Oman, OMN
2.6563265, 2080-2099, bcc_csm1_1_m, Apr Average, Oman, OMN
13.112836, 2080-2099, bcc_csm1_1_m, May Average, Oman, OMN
16.436222, 2080-2099, bcc_csm1_1_m, Jun Average, Oman, OMN
20.322033, 2080-2099, bcc_csm1_1_m, Jul Average, Oman, OMN
16.96875, 2080-2099, bcc_csm1_1_m, Aug Average, Oman, OMN
42.843662, 2080-2099, bcc_csm1_1_m, Sep Average, Oman, OMN
24.659279, 2080-2099, bcc_csm1_1_m, Oct Average, Oman, OMN
21.77426, 2080-2099, bcc_csm1_1_m, Nov Average, Oman, OMN
9.901917, 2080-2099, bcc_csm1_1_m, Dec Average, Oman, OMN
4.43627, 2080-2099, ccsm4, Jan Average, Oman, OMN
0.66006684, 2080-2099, ccsm4, Feb Average, Oman, OMN
3.3745613, 2080-2099, ccsm4, Mar Average, Oman, OMN
3.299019, 2080-2099, ccsm4, Apr Average, Oman, OMN
2.1429703, 2080-2099, ccsm4, May Average, Oman, OMN
4.806086, 2080-2099, ccsm4, Jun Average, Oman, OMN
39.397778, 2080-2099, ccsm4, Jul Average, Oman, OMN
38.39461, 2080-2099, ccsm4, Aug Average, Oman, OMN
41.437836, 2080-2099, ccsm4, Sep Average, Oman, OMN
15.964935, 2080-2099, ccsm4, Oct Average, Oman, OMN
11.380608, 2080-2099, ccsm4, Nov Average, Oman, OMN
10.074655, 2080-2099, ccsm4, Dec Average, Oman, OMN
2.0591185, 2080-2099, cesm1_cam5, Jan Average, Oman, OMN
1.606921, 2080-2099, cesm1_cam5, Feb Average, Oman, OMN
