Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
109.887726, 2080-2099, bcc_csm1_1, Jan Average, Denmark, DNK
99.348885, 2080-2099, bcc_csm1_1, Feb Average, Denmark, DNK
81.908, 2080-2099, bcc_csm1_1, Mar Average, Denmark, DNK
64.05778, 2080-2099, bcc_csm1_1, Apr Average, Denmark, DNK
57.745216, 2080-2099, bcc_csm1_1, May Average, Denmark, DNK
52.73756, 2080-2099, bcc_csm1_1, Jun Average, Denmark, DNK
42.994328, 2080-2099, bcc_csm1_1, Jul Average, Denmark, DNK
46.004684, 2080-2099, bcc_csm1_1, Aug Average, Denmark, DNK
70.07586, 2080-2099, bcc_csm1_1, Sep Average, Denmark, DNK
107.25239, 2080-2099, bcc_csm1_1, Oct Average, Denmark, DNK
117.77924, 2080-2099, bcc_csm1_1, Nov Average, Denmark, DNK
114.200195, 2080-2099, bcc_csm1_1, Dec Average, Denmark, DNK
125.02764, 2080-2099, bcc_csm1_1_m, Jan Average, Denmark, DNK
106.70896, 2080-2099, bcc_csm1_1_m, Feb Average, Denmark, DNK
92.405045, 2080-2099, bcc_csm1_1_m, Mar Average, Denmark, DNK
82.50584, 2080-2099, bcc_csm1_1_m, Apr Average, Denmark, DNK
53.519775, 2080-2099, bcc_csm1_1_m, May Average, Denmark, DNK
51.92677, 2080-2099, bcc_csm1_1_m, Jun Average, Denmark, DNK
45.067734, 2080-2099, bcc_csm1_1_m, Jul Average, Denmark, DNK
40.04476, 2080-2099, bcc_csm1_1_m, Aug Average, Denmark, DNK
63.78762, 2080-2099, bcc_csm1_1_m, Sep Average, Denmark, DNK
120.18101, 2080-2099, bcc_csm1_1_m, Oct Average, Denmark, DNK
132.93207, 2080-2099, bcc_csm1_1_m, Nov Average, Denmark, DNK
144.13554, 2080-2099, bcc_csm1_1_m, Dec Average, Denmark, DNK
114.97067, 2080-2099, ccsm4, Jan Average, Denmark, DNK
89.2513, 2080-2099, ccsm4, Feb Average, Denmark, DNK
76.69872, 2080-2099, ccsm4, Mar Average, Denmark, DNK
52.873333, 2080-2099, ccsm4, Apr Average, Denmark, DNK
56.748905, 2080-2099, ccsm4, May Average, Denmark, DNK
52.949413, 2080-2099, ccsm4, Jun Average, Denmark, DNK
49.52271, 2080-2099, ccsm4, Jul Average, Denmark, DNK
66.19061, 2080-2099, ccsm4, Aug Average, Denmark, DNK
88.03086, 2080-2099, ccsm4, Sep Average, Denmark, DNK
121.90225, 2080-2099, ccsm4, Oct Average, Denmark, DNK
129.07648, 2080-2099, ccsm4, Nov Average, Denmark, DNK
126.93995, 2080-2099, ccsm4, Dec Average, Denmark, DNK
121.30347, 2080-2099, cesm1_cam5, Jan Average, Denmark, DNK
95.72741, 2080-2099, cesm1_cam5, Feb Average, Denmark, DNK
75.81459, 2080-2099, cesm1_cam5, Mar Average, Denmark, DNK
49.086163, 2080-2099, cesm1_cam5, Apr Average, Denmark, DNK
51.8292, 2080-2099, cesm1_cam5, May Average, Denmark, DNK
43.267197, 2080-2099, cesm1_cam5, Jun Average, Denmark, DNK
49.8597, 2080-2099, cesm1_cam5, Jul Average, Denmark, DNK
