Rainfall - (MM), Year, Statistics, Country, ISO3
96.6742, 1997, Feb Average, Iceland, ISL
108.332, 1997, Mar Average, Iceland, ISL
52.0247, 1997, Apr Average, Iceland, ISL
40.4874, 1997, May Average, Iceland, ISL
47.8769, 1997, Jun Average, Iceland, ISL
79.6787, 1997, Jul Average, Iceland, ISL
127.183, 1997, Aug Average, Iceland, ISL
121.038, 1997, Sep Average, Iceland, ISL
128.781, 1997, Oct Average, Iceland, ISL
101.683, 1997, Nov Average, Iceland, ISL
116.257, 1997, Dec Average, Iceland, ISL
95.5951, 1998, Jan Average, Iceland, ISL
92.8478, 1998, Feb Average, Iceland, ISL
76.5709, 1998, Mar Average, Iceland, ISL
42.0142, 1998, Apr Average, Iceland, ISL
49.3547, 1998, May Average, Iceland, ISL
44.8051, 1998, Jun Average, Iceland, ISL
58.8863, 1998, Jul Average, Iceland, ISL
113.937, 1998, Aug Average, Iceland, ISL
83.7515, 1998, Sep Average, Iceland, ISL
99.9376, 1998, Oct Average, Iceland, ISL
135.013, 1998, Nov Average, Iceland, ISL
139.196, 1998, Dec Average, Iceland, ISL
100.776, 1999, Jan Average, Iceland, ISL
98.5276, 1999, Feb Average, Iceland, ISL
58.7402, 1999, Mar Average, Iceland, ISL
56.2533, 1999, Apr Average, Iceland, ISL
107.765, 1999, May Average, Iceland, ISL
82, 1999, Jun Average, Iceland, ISL
57.8665, 1999, Jul Average, Iceland, ISL
47.1365, 1999, Aug Average, Iceland, ISL
148.509, 1999, Sep Average, Iceland, ISL
119.783, 1999, Oct Average, Iceland, ISL
108.454, 1999, Nov Average, Iceland, ISL
86.5412, 1999, Dec Average, Iceland, ISL
73.2928, 2000, Jan Average, Iceland, ISL
111.025, 2000, Feb Average, Iceland, ISL
134.655, 2000, Mar Average, Iceland, ISL
32.6946, 2000, Apr Average, Iceland, ISL
82.4624, 2000, May Average, Iceland, ISL
42.5559, 2000, Jun Average, Iceland, ISL
57.7499, 2000, Jul Average, Iceland, ISL
73.3898, 2000, Aug Average, Iceland, ISL
105.167, 2000, Sep Average, Iceland, ISL
103.477, 2000, Oct Average, Iceland, ISL
86.4575, 2000, Nov Average, Iceland, ISL
67.8329, 2000, Dec Average, Iceland, ISL
100.273, 2001, Jan Average, Iceland, ISL
92.4407, 2001, Feb Average, Iceland, ISL
54.2342, 2001, Mar Average, Iceland, ISL
55.8628, 2001, Apr Average, Iceland, ISL
82.1324, 2001, May Average, Iceland, ISL
46.0477, 2001, Jun Average, Iceland, ISL
81.9747, 2001, Jul Average, Iceland, ISL
89.1044, 2001, Aug Average, Iceland, ISL
95.5952, 2001, Sep Average, Iceland, ISL
125.128, 2001, Oct Average, Iceland, ISL
122.957, 2001, Nov Average, Iceland, ISL
70.9411, 2001, Dec Average, Iceland, ISL
158.956, 2002, Jan Average, Iceland, ISL
88.8599, 2002, Feb Average, Iceland, ISL
73.4287, 2002, Mar Average, Iceland, ISL
116.414, 2002, Apr Average, Iceland, ISL
85.6199, 2002, May Average, Iceland, ISL
55.9844, 2002, Jun Average, Iceland, ISL
72.188, 2002, Jul Average, Iceland, ISL
102.509, 2002, Aug Average, Iceland, ISL
114.163, 2002, Sep Average, Iceland, ISL
106.933, 2002, Oct Average, Iceland, ISL
113.73, 2002, Nov Average, Iceland, ISL
107.762, 2002, Dec Average, Iceland, ISL
88.304, 2003, Jan Average, Iceland, ISL
142.571, 2003, Feb Average, Iceland, ISL
121.299, 2003, Mar Average, Iceland, ISL
69.3394, 2003, Apr Average, Iceland, ISL
47.6094, 2003, May Average, Iceland, ISL
81.5171, 2003, Jun Average, Iceland, ISL
98.0643, 2003, Jul Average, Iceland, ISL
68.4844, 2003, Aug Average, Iceland, ISL
121.958, 2003, Sep Average, Iceland, ISL
77.3404, 2003, Oct Average, Iceland, ISL
113.324, 2003, Nov Average, Iceland, ISL
142.009, 2003, Dec Average, Iceland, ISL
124.19, 2004, Jan Average, Iceland, ISL
92.3177, 2004, Feb Average, Iceland, ISL
109.676, 2004, Mar Average, Iceland, ISL
87.9975, 2004, Apr Average, Iceland, ISL
92.7161, 2004, May Average, Iceland, ISL
51.6191, 2004, Jun Average, Iceland, ISL
57.9599, 2004, Jul Average, Iceland, ISL
58.6673, 2004, Aug Average, Iceland, ISL
141.637, 2004, Sep Average, Iceland, ISL
109.929, 2004, Oct Average, Iceland, ISL
144.529, 2004, Nov Average, Iceland, ISL
110.577, 2004, Dec Average, Iceland, ISL
92.6088, 2005, Jan Average, Iceland, ISL
54.9035, 2005, Feb Average, Iceland, ISL
56.7354, 2005, Mar Average, Iceland, ISL
69.8495, 2005, Apr Average, Iceland, ISL
20.3578, 2005, May Average, Iceland, ISL
68.494, 2005, Jun Average, Iceland, ISL
88.1013, 2005, Jul Average, Iceland, ISL
121.763, 2005, Aug Average, Iceland, ISL
127.51, 2005, Sep Average, Iceland, ISL
142.53, 2005, Oct Average, Iceland, ISL
90.178, 2005, Nov Average, Iceland, ISL
