Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
29.395744, 2080-2099, bcc_csm1_1, Jan Average, Samoa, WSM
29.43383, 2080-2099, bcc_csm1_1, Feb Average, Samoa, WSM
29.607939, 2080-2099, bcc_csm1_1, Mar Average, Samoa, WSM
29.603148, 2080-2099, bcc_csm1_1, Apr Average, Samoa, WSM
29.20246, 2080-2099, bcc_csm1_1, May Average, Samoa, WSM
28.491907, 2080-2099, bcc_csm1_1, Jun Average, Samoa, WSM
27.929108, 2080-2099, bcc_csm1_1, Jul Average, Samoa, WSM
27.589527, 2080-2099, bcc_csm1_1, Aug Average, Samoa, WSM
27.572716, 2080-2099, bcc_csm1_1, Sep Average, Samoa, WSM
27.822683, 2080-2099, bcc_csm1_1, Oct Average, Samoa, WSM
28.372606, 2080-2099, bcc_csm1_1, Nov Average, Samoa, WSM
28.974539, 2080-2099, bcc_csm1_1, Dec Average, Samoa, WSM
30.106693, 2080-2099, bcc_csm1_1_m, Jan Average, Samoa, WSM
30.512262, 2080-2099, bcc_csm1_1_m, Feb Average, Samoa, WSM
30.65614, 2080-2099, bcc_csm1_1_m, Mar Average, Samoa, WSM
30.543272, 2080-2099, bcc_csm1_1_m, Apr Average, Samoa, WSM
29.68997, 2080-2099, bcc_csm1_1_m, May Average, Samoa, WSM
28.66627, 2080-2099, bcc_csm1_1_m, Jun Average, Samoa, WSM
28.102455, 2080-2099, bcc_csm1_1_m, Jul Average, Samoa, WSM
27.621115, 2080-2099, bcc_csm1_1_m, Aug Average, Samoa, WSM
27.724117, 2080-2099, bcc_csm1_1_m, Sep Average, Samoa, WSM
28.030863, 2080-2099, bcc_csm1_1_m, Oct Average, Samoa, WSM
28.568584, 2080-2099, bcc_csm1_1_m, Nov Average, Samoa, WSM
29.256197, 2080-2099, bcc_csm1_1_m, Dec Average, Samoa, WSM
28.602917, 2080-2099, ccsm4, Jan Average, Samoa, WSM
28.995552, 2080-2099, ccsm4, Feb Average, Samoa, WSM
28.952627, 2080-2099, ccsm4, Mar Average, Samoa, WSM
28.861439, 2080-2099, ccsm4, Apr Average, Samoa, WSM
28.554613, 2080-2099, ccsm4, May Average, Samoa, WSM
27.959929, 2080-2099, ccsm4, Jun Average, Samoa, WSM
27.318514, 2080-2099, ccsm4, Jul Average, Samoa, WSM
26.983078, 2080-2099, ccsm4, Aug Average, Samoa, WSM
27.093643, 2080-2099, ccsm4, Sep Average, Samoa, WSM
27.328348, 2080-2099, ccsm4, Oct Average, Samoa, WSM
27.741682, 2080-2099, ccsm4, Nov Average, Samoa, WSM
28.2997, 2080-2099, ccsm4, Dec Average, Samoa, WSM
28.424433, 2080-2099, cesm1_cam5, Jan Average, Samoa, WSM
28.636658, 2080-2099, cesm1_cam5, Feb Average, Samoa, WSM
28.624506, 2080-2099, cesm1_cam5, Mar Average, Samoa, WSM
28.539946, 2080-2099, cesm1_cam5, Apr Average, Samoa, WSM
28.231531, 2080-2099, cesm1_cam5, May Average, Samoa, WSM
27.617466, 2080-2099, cesm1_cam5, Jun Average, Samoa, WSM
27.156687, 2080-2099, cesm1_cam5, Jul Average, Samoa, WSM
26.853676, 2080-2099, cesm1_cam5, Aug Average, Samoa, WSM
26.968882, 2080-2099, cesm1_cam5, Sep Average, Samoa, WSM
27.236826, 2080-2099, cesm1_cam5, Oct Average, Samoa, WSM
27.613157, 2080-2099, cesm1_cam5, Nov Average, Samoa, WSM
28.038456, 2080-2099, cesm1_cam5, Dec Average, Samoa, WSM
28.731663, 2080-2099, csiro_mk3_6_0, Jan Average, Samoa, WSM
29.02378, 2080-2099, csiro_mk3_6_0, Feb Average, Samoa, WSM
28.936043, 2080-2099, csiro_mk3_6_0, Mar Average, Samoa, WSM
28.92393, 2080-2099, csiro_mk3_6_0, Apr Average, Samoa, WSM
28.189795, 2080-2099, csiro_mk3_6_0, May Average, Samoa, WSM
27.297634, 2080-2099, csiro_mk3_6_0, Jun Average, Samoa, WSM
26.713884, 2080-2099, csiro_mk3_6_0, Jul Average, Samoa, WSM
26.584175, 2080-2099, csiro_mk3_6_0, Aug Average, Samoa, WSM
26.753756, 2080-2099, csiro_mk3_6_0, Sep Average, Samoa, WSM
