Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
12.700031, 2080-2099, bcc_csm1_1, Jan Average, Laos, LAO
13.821269, 2080-2099, bcc_csm1_1, Feb Average, Laos, LAO
24.855919, 2080-2099, bcc_csm1_1, Mar Average, Laos, LAO
52.85461, 2080-2099, bcc_csm1_1, Apr Average, Laos, LAO
258.47495, 2080-2099, bcc_csm1_1, May Average, Laos, LAO
395.9633, 2080-2099, bcc_csm1_1, Jun Average, Laos, LAO
375.75085, 2080-2099, bcc_csm1_1, Jul Average, Laos, LAO
355.7881, 2080-2099, bcc_csm1_1, Aug Average, Laos, LAO
346.8325, 2080-2099, bcc_csm1_1, Sep Average, Laos, LAO
153.75594, 2080-2099, bcc_csm1_1, Oct Average, Laos, LAO
29.188595, 2080-2099, bcc_csm1_1, Nov Average, Laos, LAO
14.257815, 2080-2099, bcc_csm1_1, Dec Average, Laos, LAO
8.149812, 2080-2099, bcc_csm1_1_m, Jan Average, Laos, LAO
7.0096807, 2080-2099, bcc_csm1_1_m, Feb Average, Laos, LAO
13.809572, 2080-2099, bcc_csm1_1_m, Mar Average, Laos, LAO
38.696915, 2080-2099, bcc_csm1_1_m, Apr Average, Laos, LAO
144.48563, 2080-2099, bcc_csm1_1_m, May Average, Laos, LAO
420.7264, 2080-2099, bcc_csm1_1_m, Jun Average, Laos, LAO
304.3062, 2080-2099, bcc_csm1_1_m, Jul Average, Laos, LAO
311.0702, 2080-2099, bcc_csm1_1_m, Aug Average, Laos, LAO
185.69882, 2080-2099, bcc_csm1_1_m, Sep Average, Laos, LAO
47.687683, 2080-2099, bcc_csm1_1_m, Oct Average, Laos, LAO
15.018105, 2080-2099, bcc_csm1_1_m, Nov Average, Laos, LAO
8.604064, 2080-2099, bcc_csm1_1_m, Dec Average, Laos, LAO
16.164606, 2080-2099, ccsm4, Jan Average, Laos, LAO
14.486924, 2080-2099, ccsm4, Feb Average, Laos, LAO
27.469038, 2080-2099, ccsm4, Mar Average, Laos, LAO
79.4439, 2080-2099, ccsm4, Apr Average, Laos, LAO
174.88635, 2080-2099, ccsm4, May Average, Laos, LAO
233.00822, 2080-2099, ccsm4, Jun Average, Laos, LAO
326.50797, 2080-2099, ccsm4, Jul Average, Laos, LAO
328.32657, 2080-2099, ccsm4, Aug Average, Laos, LAO
251.88693, 2080-2099, ccsm4, Sep Average, Laos, LAO
97.291695, 2080-2099, ccsm4, Oct Average, Laos, LAO
40.250313, 2080-2099, ccsm4, Nov Average, Laos, LAO
23.818918, 2080-2099, ccsm4, Dec Average, Laos, LAO
16.696846, 2080-2099, cesm1_cam5, Jan Average, Laos, LAO
11.566441, 2080-2099, cesm1_cam5, Feb Average, Laos, LAO
28.417055, 2080-2099, cesm1_cam5, Mar Average, Laos, LAO
72.14031, 2080-2099, cesm1_cam5, Apr Average, Laos, LAO
131.97594, 2080-2099, cesm1_cam5, May Average, Laos, LAO
202.30327, 2080-2099, cesm1_cam5, Jun Average, Laos, LAO
238.50636, 2080-2099, cesm1_cam5, Jul Average, Laos, LAO
305.8795, 2080-2099, cesm1_cam5, Aug Average, Laos, LAO
245.8388, 2080-2099, cesm1_cam5, Sep Average, Laos, LAO
150.3352, 2080-2099, cesm1_cam5, Oct Average, Laos, LAO
56.75427, 2080-2099, cesm1_cam5, Nov Average, Laos, LAO
24.727438, 2080-2099, cesm1_cam5, Dec Average, Laos, LAO
3.8682153, 2080-2099, csiro_mk3_6_0, Jan Average, Laos, LAO
4.5559587, 2080-2099, csiro_mk3_6_0, Feb Average, Laos, LAO
