Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
3.5865552, 2080-2099, bcc_csm1_1, Jan Average, Denmark, DNK
3.4079366, 2080-2099, bcc_csm1_1, Feb Average, Denmark, DNK
4.4133854, 2080-2099, bcc_csm1_1, Mar Average, Denmark, DNK
6.255386, 2080-2099, bcc_csm1_1, Apr Average, Denmark, DNK
10.229276, 2080-2099, bcc_csm1_1, May Average, Denmark, DNK
14.599935, 2080-2099, bcc_csm1_1, Jun Average, Denmark, DNK
16.918163, 2080-2099, bcc_csm1_1, Jul Average, Denmark, DNK
16.712423, 2080-2099, bcc_csm1_1, Aug Average, Denmark, DNK
14.524701, 2080-2099, bcc_csm1_1, Sep Average, Denmark, DNK
10.671729, 2080-2099, bcc_csm1_1, Oct Average, Denmark, DNK
7.6899853, 2080-2099, bcc_csm1_1, Nov Average, Denmark, DNK
5.6441383, 2080-2099, bcc_csm1_1, Dec Average, Denmark, DNK
4.8236747, 2080-2099, bcc_csm1_1_m, Jan Average, Denmark, DNK
4.27343, 2080-2099, bcc_csm1_1_m, Feb Average, Denmark, DNK
4.658665, 2080-2099, bcc_csm1_1_m, Mar Average, Denmark, DNK
6.4269238, 2080-2099, bcc_csm1_1_m, Apr Average, Denmark, DNK
9.867996, 2080-2099, bcc_csm1_1_m, May Average, Denmark, DNK
13.1745405, 2080-2099, bcc_csm1_1_m, Jun Average, Denmark, DNK
15.666185, 2080-2099, bcc_csm1_1_m, Jul Average, Denmark, DNK
16.05483, 2080-2099, bcc_csm1_1_m, Aug Average, Denmark, DNK
14.168363, 2080-2099, bcc_csm1_1_m, Sep Average, Denmark, DNK
11.120263, 2080-2099, bcc_csm1_1_m, Oct Average, Denmark, DNK
8.5155115, 2080-2099, bcc_csm1_1_m, Nov Average, Denmark, DNK
6.333994, 2080-2099, bcc_csm1_1_m, Dec Average, Denmark, DNK
5.749967, 2080-2099, ccsm4, Jan Average, Denmark, DNK
5.731901, 2080-2099, ccsm4, Feb Average, Denmark, DNK
6.787118, 2080-2099, ccsm4, Mar Average, Denmark, DNK
9.327201, 2080-2099, ccsm4, Apr Average, Denmark, DNK
12.724757, 2080-2099, ccsm4, May Average, Denmark, DNK
17.168755, 2080-2099, ccsm4, Jun Average, Denmark, DNK
20.194643, 2080-2099, ccsm4, Jul Average, Denmark, DNK
19.969496, 2080-2099, ccsm4, Aug Average, Denmark, DNK
17.948835, 2080-2099, ccsm4, Sep Average, Denmark, DNK
14.176178, 2080-2099, ccsm4, Oct Average, Denmark, DNK
9.771294, 2080-2099, ccsm4, Nov Average, Denmark, DNK
7.368339, 2080-2099, ccsm4, Dec Average, Denmark, DNK
6.609643, 2080-2099, cesm1_cam5, Jan Average, Denmark, DNK
6.0747514, 2080-2099, cesm1_cam5, Feb Average, Denmark, DNK
7.4697294, 2080-2099, cesm1_cam5, Mar Average, Denmark, DNK
10.110543, 2080-2099, cesm1_cam5, Apr Average, Denmark, DNK
14.43654, 2080-2099, cesm1_cam5, May Average, Denmark, DNK
18.613483, 2080-2099, cesm1_cam5, Jun Average, Denmark, DNK
20.49648, 2080-2099, cesm1_cam5, Jul Average, Denmark, DNK
21.000616, 2080-2099, cesm1_cam5, Aug Average, Denmark, DNK
18.16129, 2080-2099, cesm1_cam5, Sep Average, Denmark, DNK
14.417864, 2080-2099, cesm1_cam5, Oct Average, Denmark, DNK
11.093027, 2080-2099, cesm1_cam5, Nov Average, Denmark, DNK
8.374808, 2080-2099, cesm1_cam5, Dec Average, Denmark, DNK
2.5778413, 2080-2099, csiro_mk3_6_0, Jan Average, Denmark, DNK
1.9012333, 2080-2099, csiro_mk3_6_0, Feb Average, Denmark, DNK
2.6643455, 2080-2099, csiro_mk3_6_0, Mar Average, Denmark, DNK
6.2463727, 2080-2099, csiro_mk3_6_0, Apr Average, Denmark, DNK
10.838494, 2080-2099, csiro_mk3_6_0, May Average, Denmark, DNK
14.399919, 2080-2099, csiro_mk3_6_0, Jun Average, Denmark, DNK
16.673292, 2080-2099, csiro_mk3_6_0, Jul Average, Denmark, DNK
16.484077, 2080-2099, csiro_mk3_6_0, Aug Average, Denmark, DNK
15.542714, 2080-2099, csiro_mk3_6_0, Sep Average, Denmark, DNK
11.702954, 2080-2099, csiro_mk3_6_0, Oct Average, Denmark, DNK
8.266012, 2080-2099, csiro_mk3_6_0, Nov Average, Denmark, DNK
5.496772, 2080-2099, csiro_mk3_6_0, Dec Average, Denmark, DNK
1.9195935, 2080-2099, fio_esm, Jan Average, Denmark, DNK
1.1517792, 2080-2099, fio_esm, Feb Average, Denmark, DNK
2.0500996, 2080-2099, fio_esm, Mar Average, Denmark, DNK
5.140261, 2080-2099, fio_esm, Apr Average, Denmark, DNK
8.472937, 2080-2099, fio_esm, May Average, Denmark, DNK
13.866778, 2080-2099, fio_esm, Jun Average, Denmark, DNK
14.952464, 2080-2099, fio_esm, Jul Average, Denmark, DNK
14.175636, 2080-2099, fio_esm, Aug Average, Denmark, DNK
12.135545, 2080-2099, fio_esm, Sep Average, Denmark, DNK
8.830236, 2080-2099, fio_esm, Oct Average, Denmark, DNK
5.594323, 2080-2099, fio_esm, Nov Average, Denmark, DNK
3.5830073, 2080-2099, fio_esm, Dec Average, Denmark, DNK
6.7715487, 2080-2099, gfdl_cm3, Jan Average, Denmark, DNK
6.28024, 2080-2099, gfdl_cm3, Feb Average, Denmark, DNK
6.489982, 2080-2099, gfdl_cm3, Mar Average, Denmark, DNK
9.4749975, 2080-2099, gfdl_cm3, Apr Average, Denmark, DNK
13.343105, 2080-2099, gfdl_cm3, May Average, Denmark, DNK
17.632006, 2080-2099, gfdl_cm3, Jun Average, Denmark, DNK
20.086542, 2080-2099, gfdl_cm3, Jul Average, Denmark, DNK
20.17941, 2080-2099, gfdl_cm3, Aug Average, Denmark, DNK
17.14181, 2080-2099, gfdl_cm3, Sep Average, Denmark, DNK
14.35023, 2080-2099, gfdl_cm3, Oct Average, Denmark, DNK
10.512331, 2080-2099, gfdl_cm3, Nov Average, Denmark, DNK
7.725279, 2080-2099, gfdl_cm3, Dec Average, Denmark, DNK
3.9976528, 2080-2099, gfdl_esm2m, Jan Average, Denmark, DNK
3.4697132, 2080-2099, gfdl_esm2m, Feb Average, Denmark, DNK
3.7774029, 2080-2099, gfdl_esm2m, Mar Average, Denmark, DNK
6.442307, 2080-2099, gfdl_esm2m, Apr Average, Denmark, DNK
11.712621, 2080-2099, gfdl_esm2m, May Average, Denmark, DNK
