Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
20.699799, 2080-2099, bcc_csm1_1, Jan Average, Oman, OMN
21.87029, 2080-2099, bcc_csm1_1, Feb Average, Oman, OMN
24.963387, 2080-2099, bcc_csm1_1, Mar Average, Oman, OMN
29.543161, 2080-2099, bcc_csm1_1, Apr Average, Oman, OMN
33.42213, 2080-2099, bcc_csm1_1, May Average, Oman, OMN
34.99253, 2080-2099, bcc_csm1_1, Jun Average, Oman, OMN
33.58955, 2080-2099, bcc_csm1_1, Jul Average, Oman, OMN
33.09361, 2080-2099, bcc_csm1_1, Aug Average, Oman, OMN
32.801083, 2080-2099, bcc_csm1_1, Sep Average, Oman, OMN
30.713408, 2080-2099, bcc_csm1_1, Oct Average, Oman, OMN
26.290699, 2080-2099, bcc_csm1_1, Nov Average, Oman, OMN
22.046482, 2080-2099, bcc_csm1_1, Dec Average, Oman, OMN
19.963459, 2080-2099, bcc_csm1_1_m, Jan Average, Oman, OMN
21.96819, 2080-2099, bcc_csm1_1_m, Feb Average, Oman, OMN
25.83149, 2080-2099, bcc_csm1_1_m, Mar Average, Oman, OMN
30.401682, 2080-2099, bcc_csm1_1_m, Apr Average, Oman, OMN
34.63215, 2080-2099, bcc_csm1_1_m, May Average, Oman, OMN
35.458485, 2080-2099, bcc_csm1_1_m, Jun Average, Oman, OMN
34.46297, 2080-2099, bcc_csm1_1_m, Jul Average, Oman, OMN
34.047005, 2080-2099, bcc_csm1_1_m, Aug Average, Oman, OMN
32.839447, 2080-2099, bcc_csm1_1_m, Sep Average, Oman, OMN
31.098326, 2080-2099, bcc_csm1_1_m, Oct Average, Oman, OMN
27.048038, 2080-2099, bcc_csm1_1_m, Nov Average, Oman, OMN
22.417889, 2080-2099, bcc_csm1_1_m, Dec Average, Oman, OMN
20.267653, 2080-2099, ccsm4, Jan Average, Oman, OMN
21.414083, 2080-2099, ccsm4, Feb Average, Oman, OMN
25.518038, 2080-2099, ccsm4, Mar Average, Oman, OMN
30.230942, 2080-2099, ccsm4, Apr Average, Oman, OMN
34.019882, 2080-2099, ccsm4, May Average, Oman, OMN
35.420006, 2080-2099, ccsm4, Jun Average, Oman, OMN
33.943832, 2080-2099, ccsm4, Jul Average, Oman, OMN
33.194435, 2080-2099, ccsm4, Aug Average, Oman, OMN
32.602043, 2080-2099, ccsm4, Sep Average, Oman, OMN
29.451218, 2080-2099, ccsm4, Oct Average, Oman, OMN
25.691214, 2080-2099, ccsm4, Nov Average, Oman, OMN
21.955841, 2080-2099, ccsm4, Dec Average, Oman, OMN
20.612255, 2080-2099, cesm1_cam5, Jan Average, Oman, OMN
22.280134, 2080-2099, cesm1_cam5, Feb Average, Oman, OMN
26.662083, 2080-2099, cesm1_cam5, Mar Average, Oman, OMN
31.038845, 2080-2099, cesm1_cam5, Apr Average, Oman, OMN
34.165466, 2080-2099, cesm1_cam5, May Average, Oman, OMN
36.215122, 2080-2099, cesm1_cam5, Jun Average, Oman, OMN
34.744736, 2080-2099, cesm1_cam5, Jul Average, Oman, OMN
33.808136, 2080-2099, cesm1_cam5, Aug Average, Oman, OMN
33.03763, 2080-2099, cesm1_cam5, Sep Average, Oman, OMN
30.68116, 2080-2099, cesm1_cam5, Oct Average, Oman, OMN
26.772661, 2080-2099, cesm1_cam5, Nov Average, Oman, OMN
22.750505, 2080-2099, cesm1_cam5, Dec Average, Oman, OMN
19.712318, 2080-2099, csiro_mk3_6_0, Jan Average, Oman, OMN
22.052769, 2080-2099, csiro_mk3_6_0, Feb Average, Oman, OMN
26.111412, 2080-2099, csiro_mk3_6_0, Mar Average, Oman, OMN
30.603737, 2080-2099, csiro_mk3_6_0, Apr Average, Oman, OMN
34.271854, 2080-2099, csiro_mk3_6_0, May Average, Oman, OMN
36.634785, 2080-2099, csiro_mk3_6_0, Jun Average, Oman, OMN
36.299053, 2080-2099, csiro_mk3_6_0, Jul Average, Oman, OMN
35.627094, 2080-2099, csiro_mk3_6_0, Aug Average, Oman, OMN
33.81214, 2080-2099, csiro_mk3_6_0, Sep Average, Oman, OMN
30.791092, 2080-2099, csiro_mk3_6_0, Oct Average, Oman, OMN
25.883272, 2080-2099, csiro_mk3_6_0, Nov Average, Oman, OMN
20.409853, 2080-2099, csiro_mk3_6_0, Dec Average, Oman, OMN
21.4162, 2080-2099, fio_esm, Jan Average, Oman, OMN
22.379587, 2080-2099, fio_esm, Feb Average, Oman, OMN
24.691011, 2080-2099, fio_esm, Mar Average, Oman, OMN
28.47033, 2080-2099, fio_esm, Apr Average, Oman, OMN
32.42244, 2080-2099, fio_esm, May Average, Oman, OMN
35.317036, 2080-2099, fio_esm, Jun Average, Oman, OMN
35.98573, 2080-2099, fio_esm, Jul Average, Oman, OMN
34.536636, 2080-2099, fio_esm, Aug Average, Oman, OMN
33.30004, 2080-2099, fio_esm, Sep Average, Oman, OMN
30.412836, 2080-2099, fio_esm, Oct Average, Oman, OMN
26.353407, 2080-2099, fio_esm, Nov Average, Oman, OMN
22.67578, 2080-2099, fio_esm, Dec Average, Oman, OMN
20.575565, 2080-2099, gfdl_cm3, Jan Average, Oman, OMN
22.659168, 2080-2099, gfdl_cm3, Feb Average, Oman, OMN
26.86581, 2080-2099, gfdl_cm3, Mar Average, Oman, OMN
30.579596, 2080-2099, gfdl_cm3, Apr Average, Oman, OMN
34.84955, 2080-2099, gfdl_cm3, May Average, Oman, OMN
37.894257, 2080-2099, gfdl_cm3, Jun Average, Oman, OMN
