Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
3.5541363, 2080-2099, bcc_csm1_1, Jan Average, Denmark, DNK
3.2978573, 2080-2099, bcc_csm1_1, Feb Average, Denmark, DNK
4.151662, 2080-2099, bcc_csm1_1, Mar Average, Denmark, DNK
6.2401705, 2080-2099, bcc_csm1_1, Apr Average, Denmark, DNK
10.271085, 2080-2099, bcc_csm1_1, May Average, Denmark, DNK
14.20623, 2080-2099, bcc_csm1_1, Jun Average, Denmark, DNK
16.288834, 2080-2099, bcc_csm1_1, Jul Average, Denmark, DNK
15.655113, 2080-2099, bcc_csm1_1, Aug Average, Denmark, DNK
14.672369, 2080-2099, bcc_csm1_1, Sep Average, Denmark, DNK
11.087541, 2080-2099, bcc_csm1_1, Oct Average, Denmark, DNK
7.526576, 2080-2099, bcc_csm1_1, Nov Average, Denmark, DNK
4.810223, 2080-2099, bcc_csm1_1, Dec Average, Denmark, DNK
4.789429, 2080-2099, bcc_csm1_1_m, Jan Average, Denmark, DNK
4.1973243, 2080-2099, bcc_csm1_1_m, Feb Average, Denmark, DNK
4.3637114, 2080-2099, bcc_csm1_1_m, Mar Average, Denmark, DNK
6.388497, 2080-2099, bcc_csm1_1_m, Apr Average, Denmark, DNK
9.538448, 2080-2099, bcc_csm1_1_m, May Average, Denmark, DNK
12.965047, 2080-2099, bcc_csm1_1_m, Jun Average, Denmark, DNK
14.922004, 2080-2099, bcc_csm1_1_m, Jul Average, Denmark, DNK
15.268045, 2080-2099, bcc_csm1_1_m, Aug Average, Denmark, DNK
13.637078, 2080-2099, bcc_csm1_1_m, Sep Average, Denmark, DNK
10.873231, 2080-2099, bcc_csm1_1_m, Oct Average, Denmark, DNK
8.319264, 2080-2099, bcc_csm1_1_m, Nov Average, Denmark, DNK
6.34011, 2080-2099, bcc_csm1_1_m, Dec Average, Denmark, DNK
4.8360553, 2080-2099, ccsm4, Jan Average, Denmark, DNK
4.4851646, 2080-2099, ccsm4, Feb Average, Denmark, DNK
6.363222, 2080-2099, ccsm4, Mar Average, Denmark, DNK
8.818114, 2080-2099, ccsm4, Apr Average, Denmark, DNK
12.716084, 2080-2099, ccsm4, May Average, Denmark, DNK
16.67416, 2080-2099, ccsm4, Jun Average, Denmark, DNK
19.117094, 2080-2099, ccsm4, Jul Average, Denmark, DNK
19.958002, 2080-2099, ccsm4, Aug Average, Denmark, DNK
17.21942, 2080-2099, ccsm4, Sep Average, Denmark, DNK
13.742246, 2080-2099, ccsm4, Oct Average, Denmark, DNK
9.858735, 2080-2099, ccsm4, Nov Average, Denmark, DNK
7.0744014, 2080-2099, ccsm4, Dec Average, Denmark, DNK
6.516225, 2080-2099, cesm1_cam5, Jan Average, Denmark, DNK
5.611834, 2080-2099, cesm1_cam5, Feb Average, Denmark, DNK
6.913796, 2080-2099, cesm1_cam5, Mar Average, Denmark, DNK
9.543537, 2080-2099, cesm1_cam5, Apr Average, Denmark, DNK
13.680799, 2080-2099, cesm1_cam5, May Average, Denmark, DNK
17.521257, 2080-2099, cesm1_cam5, Jun Average, Denmark, DNK
19.517603, 2080-2099, cesm1_cam5, Jul Average, Denmark, DNK
19.557882, 2080-2099, cesm1_cam5, Aug Average, Denmark, DNK
17.371025, 2080-2099, cesm1_cam5, Sep Average, Denmark, DNK
13.943062, 2080-2099, cesm1_cam5, Oct Average, Denmark, DNK
10.254479, 2080-2099, cesm1_cam5, Nov Average, Denmark, DNK
7.54921, 2080-2099, cesm1_cam5, Dec Average, Denmark, DNK
2.9439476, 2080-2099, csiro_mk3_6_0, Jan Average, Denmark, DNK
2.4108453, 2080-2099, csiro_mk3_6_0, Feb Average, Denmark, DNK
2.8352623, 2080-2099, csiro_mk3_6_0, Mar Average, Denmark, DNK
5.781922, 2080-2099, csiro_mk3_6_0, Apr Average, Denmark, DNK
9.868628, 2080-2099, csiro_mk3_6_0, May Average, Denmark, DNK
13.522225, 2080-2099, csiro_mk3_6_0, Jun Average, Denmark, DNK
15.6771145, 2080-2099, csiro_mk3_6_0, Jul Average, Denmark, DNK
15.938399, 2080-2099, csiro_mk3_6_0, Aug Average, Denmark, DNK
14.456607, 2080-2099, csiro_mk3_6_0, Sep Average, Denmark, DNK
11.162956, 2080-2099, csiro_mk3_6_0, Oct Average, Denmark, DNK
7.997185, 2080-2099, csiro_mk3_6_0, Nov Average, Denmark, DNK
5.187213, 2080-2099, csiro_mk3_6_0, Dec Average, Denmark, DNK
0.47656706, 2080-2099, fio_esm, Jan Average, Denmark, DNK
0.9246002, 2080-2099, fio_esm, Feb Average, Denmark, DNK
1.4881408, 2080-2099, fio_esm, Mar Average, Denmark, DNK
4.4433045, 2080-2099, fio_esm, Apr Average, Denmark, DNK
8.304013, 2080-2099, fio_esm, May Average, Denmark, DNK
12.45617, 2080-2099, fio_esm, Jun Average, Denmark, DNK
14.287348, 2080-2099, fio_esm, Jul Average, Denmark, DNK
13.0096245, 2080-2099, fio_esm, Aug Average, Denmark, DNK
10.757572, 2080-2099, fio_esm, Sep Average, Denmark, DNK
8.350245, 2080-2099, fio_esm, Oct Average, Denmark, DNK
4.364871, 2080-2099, fio_esm, Nov Average, Denmark, DNK
2.454825, 2080-2099, fio_esm, Dec Average, Denmark, DNK
6.414139, 2080-2099, gfdl_cm3, Jan Average, Denmark, DNK
5.9019046, 2080-2099, gfdl_cm3, Feb Average, Denmark, DNK
6.6320167, 2080-2099, gfdl_cm3, Mar Average, Denmark, DNK
9.553841, 2080-2099, gfdl_cm3, Apr Average, Denmark, DNK
12.856401, 2080-2099, gfdl_cm3, May Average, Denmark, DNK
16.775574, 2080-2099, gfdl_cm3, Jun Average, Denmark, DNK
20.151789, 2080-2099, gfdl_cm3, Jul Average, Denmark, DNK
19.665836, 2080-2099, gfdl_cm3, Aug Average, Denmark, DNK
16.879011, 2080-2099, gfdl_cm3, Sep Average, Denmark, DNK
13.593988, 2080-2099, gfdl_cm3, Oct Average, Denmark, DNK
10.149696, 2080-2099, gfdl_cm3, Nov Average, Denmark, DNK
7.9502997, 2080-2099, gfdl_cm3, Dec Average, Denmark, DNK
2.2593048, 2080-2099, gfdl_esm2m, Jan Average, Denmark, DNK
2.545648, 2080-2099, gfdl_esm2m, Feb Average, Denmark, DNK
3.5249476, 2080-2099, gfdl_esm2m, Mar Average, Denmark, DNK
6.1893516, 2080-2099, gfdl_esm2m, Apr Average, Denmark, DNK
11.3032675, 2080-2099, gfdl_esm2m, May Average, Denmark, DNK
15.048111, 2080-2099, gfdl_esm2m, Jun Average, Denmark, DNK
16.543045, 2080-2099, gfdl_esm2m, Jul Average, Denmark, DNK
15.764362, 2080-2099, gfdl_esm2m, Aug Average, Denmark, DNK
13.254297, 2080-2099, gfdl_esm2m, Sep Average, Denmark, DNK
10.394279, 2080-2099, gfdl_esm2m, Oct Average, Denmark, DNK
7.040796, 2080-2099, gfdl_esm2m, Nov Average, Denmark, DNK
4.178313, 2080-2099, gfdl_esm2m, Dec Average, Denmark, DNK
4.04358, 2080-2099, giss_e2_h, Jan Average, Denmark, DNK
4.148888, 2080-2099, giss_e2_h, Feb Average, Denmark, DNK
5.220929, 2080-2099, giss_e2_h, Mar Average, Denmark, DNK
10.078045, 2080-2099, giss_e2_h, Apr Average, Denmark, DNK
13.934277, 2080-2099, giss_e2_h, May Average, Denmark, DNK
17.486877, 2080-2099, giss_e2_h, Jun Average, Denmark, DNK
19.908075, 2080-2099, giss_e2_h, Jul Average, Denmark, DNK
18.61353, 2080-2099, giss_e2_h, Aug Average, Denmark, DNK
14.925201, 2080-2099, giss_e2_h, Sep Average, Denmark, DNK
10.936468, 2080-2099, giss_e2_h, Oct Average, Denmark, DNK
7.246284, 2080-2099, giss_e2_h, Nov Average, Denmark, DNK
4.887983, 2080-2099, giss_e2_h, Dec Average, Denmark, DNK
3.694387, 2080-2099, giss_e2_r, Jan Average, Denmark, DNK
3.1445274, 2080-2099, giss_e2_r, Feb Average, Denmark, DNK
3.6372674, 2080-2099, giss_e2_r, Mar Average, Denmark, DNK
6.437878, 2080-2099, giss_e2_r, Apr Average, Denmark, DNK
10.57888, 2080-2099, giss_e2_r, May Average, Denmark, DNK
14.665116, 2080-2099, giss_e2_r, Jun Average, Denmark, DNK
17.548008, 2080-2099, giss_e2_r, Jul Average, Denmark, DNK
17.60168, 2080-2099, giss_e2_r, Aug Average, Denmark, DNK
15.28098, 2080-2099, giss_e2_r, Sep Average, Denmark, DNK
11.951359, 2080-2099, giss_e2_r, Oct Average, Denmark, DNK
8.641604, 2080-2099, giss_e2_r, Nov Average, Denmark, DNK
5.6078215, 2080-2099, giss_e2_r, Dec Average, Denmark, DNK
4.572897, 2080-2099, ipsl_cm5a_mr, Jan Average, Denmark, DNK
3.4627106, 2080-2099, ipsl_cm5a_mr, Feb Average, Denmark, DNK
4.1975927, 2080-2099, ipsl_cm5a_mr, Mar Average, Denmark, DNK
7.1442957, 2080-2099, ipsl_cm5a_mr, Apr Average, Denmark, DNK
10.641253, 2080-2099, ipsl_cm5a_mr, May Average, Denmark, DNK
15.788063, 2080-2099, ipsl_cm5a_mr, Jun Average, Denmark, DNK
19.754778, 2080-2099, ipsl_cm5a_mr, Jul Average, Denmark, DNK
19.341145, 2080-2099, ipsl_cm5a_mr, Aug Average, Denmark, DNK
16.257635, 2080-2099, ipsl_cm5a_mr, Sep Average, Denmark, DNK
