Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
274.93066, 2080-2099, gfdl_cm3, May Average, Samoa, WSM
162.24907, 2080-2099, gfdl_cm3, Jun Average, Samoa, WSM
90.71847, 2080-2099, gfdl_cm3, Jul Average, Samoa, WSM
90.65446, 2080-2099, gfdl_cm3, Aug Average, Samoa, WSM
137.80508, 2080-2099, gfdl_cm3, Sep Average, Samoa, WSM
274.0578, 2080-2099, gfdl_cm3, Oct Average, Samoa, WSM
330.60474, 2080-2099, gfdl_cm3, Nov Average, Samoa, WSM
324.8413, 2080-2099, gfdl_cm3, Dec Average, Samoa, WSM
371.1797, 2080-2099, gfdl_esm2m, Jan Average, Samoa, WSM
374.33557, 2080-2099, gfdl_esm2m, Feb Average, Samoa, WSM
447.74588, 2080-2099, gfdl_esm2m, Mar Average, Samoa, WSM
361.5491, 2080-2099, gfdl_esm2m, Apr Average, Samoa, WSM
252.93468, 2080-2099, gfdl_esm2m, May Average, Samoa, WSM
168.84625, 2080-2099, gfdl_esm2m, Jun Average, Samoa, WSM
144.75793, 2080-2099, gfdl_esm2m, Jul Average, Samoa, WSM
130.6731, 2080-2099, gfdl_esm2m, Aug Average, Samoa, WSM
194.57922, 2080-2099, gfdl_esm2m, Sep Average, Samoa, WSM
280.05188, 2080-2099, gfdl_esm2m, Oct Average, Samoa, WSM
348.17813, 2080-2099, gfdl_esm2m, Nov Average, Samoa, WSM
359.52884, 2080-2099, gfdl_esm2m, Dec Average, Samoa, WSM
216.777, 2080-2099, giss_e2_h, Jan Average, Samoa, WSM
179.52464, 2080-2099, giss_e2_h, Feb Average, Samoa, WSM
197.5622, 2080-2099, giss_e2_h, Mar Average, Samoa, WSM
237.06316, 2080-2099, giss_e2_h, Apr Average, Samoa, WSM
221.31364, 2080-2099, giss_e2_h, May Average, Samoa, WSM
131.65778, 2080-2099, giss_e2_h, Jun Average, Samoa, WSM
50.827667, 2080-2099, giss_e2_h, Jul Average, Samoa, WSM
57.515106, 2080-2099, giss_e2_h, Aug Average, Samoa, WSM
58.78574, 2080-2099, giss_e2_h, Sep Average, Samoa, WSM
87.287415, 2080-2099, giss_e2_h, Oct Average, Samoa, WSM
142.91124, 2080-2099, giss_e2_h, Nov Average, Samoa, WSM
175.42143, 2080-2099, giss_e2_h, Dec Average, Samoa, WSM
308.77737, 2080-2099, giss_e2_r, Jan Average, Samoa, WSM
248.36183, 2080-2099, giss_e2_r, Feb Average, Samoa, WSM
320.45853, 2080-2099, giss_e2_r, Mar Average, Samoa, WSM
216.92259, 2080-2099, giss_e2_r, Apr Average, Samoa, WSM
186.38272, 2080-2099, giss_e2_r, May Average, Samoa, WSM
118.799034, 2080-2099, giss_e2_r, Jun Average, Samoa, WSM
93.613396, 2080-2099, giss_e2_r, Jul Average, Samoa, WSM
77.080986, 2080-2099, giss_e2_r, Aug Average, Samoa, WSM
93.828186, 2080-2099, giss_e2_r, Sep Average, Samoa, WSM
154.56369, 2080-2099, giss_e2_r, Oct Average, Samoa, WSM
185.53038, 2080-2099, giss_e2_r, Nov Average, Samoa, WSM
271.19943, 2080-2099, giss_e2_r, Dec Average, Samoa, WSM
318.18204, 2080-2099, ipsl_cm5a_mr, Jan Average, Samoa, WSM
334.46973, 2080-2099, ipsl_cm5a_mr, Feb Average, Samoa, WSM
350.05414, 2080-2099, ipsl_cm5a_mr, Mar Average, Samoa, WSM
274.60745, 2080-2099, ipsl_cm5a_mr, Apr Average, Samoa, WSM
256.03354, 2080-2099, ipsl_cm5a_mr, May Average, Samoa, WSM
188.98154, 2080-2099, ipsl_cm5a_mr, Jun Average, Samoa, WSM
114.923195, 2080-2099, ipsl_cm5a_mr, Jul Average, Samoa, WSM
72.7281, 2080-2099, ipsl_cm5a_mr, Aug Average, Samoa, WSM
99.32094, 2080-2099, ipsl_cm5a_mr, Sep Average, Samoa, WSM
204.2279, 2080-2099, ipsl_cm5a_mr, Oct Average, Samoa, WSM
295.98953, 2080-2099, ipsl_cm5a_mr, Nov Average, Samoa, WSM
360.39322, 2080-2099, ipsl_cm5a_mr, Dec Average, Samoa, WSM
74.54095, 2080-2099, miroc_esm, Jan Average, Samoa, WSM
85.762184, 2080-2099, miroc_esm, Feb Average, Samoa, WSM
107.75239, 2080-2099, miroc_esm, Mar Average, Samoa, WSM
90.67435, 2080-2099, miroc_esm, Apr Average, Samoa, WSM
63.295933, 2080-2099, miroc_esm, May Average, Samoa, WSM
27.95748, 2080-2099, miroc_esm, Jun Average, Samoa, WSM
22.206362, 2080-2099, miroc_esm, Jul Average, Samoa, WSM
37.10709, 2080-2099, miroc_esm, Aug Average, Samoa, WSM
43.55838, 2080-2099, miroc_esm, Sep Average, Samoa, WSM
55.855583, 2080-2099, miroc_esm, Oct Average, Samoa, WSM
66.11533, 2080-2099, miroc_esm, Nov Average, Samoa, WSM
76.36282, 2080-2099, miroc_esm, Dec Average, Samoa, WSM
88.670975, 2080-2099, miroc_esm_chem, Jan Average, Samoa, WSM
74.21942, 2080-2099, miroc_esm_chem, Feb Average, Samoa, WSM
95.35282, 2080-2099, miroc_esm_chem, Mar Average, Samoa, WSM
89.17797, 2080-2099, miroc_esm_chem, Apr Average, Samoa, WSM
52.841908, 2080-2099, miroc_esm_chem, May Average, Samoa, WSM
25.644817, 2080-2099, miroc_esm_chem, Jun Average, Samoa, WSM
22.099236, 2080-2099, miroc_esm_chem, Jul Average, Samoa, WSM
28.89173, 2080-2099, miroc_esm_chem, Aug Average, Samoa, WSM
31.51644, 2080-2099, miroc_esm_chem, Sep Average, Samoa, WSM
47.537716, 2080-2099, miroc_esm_chem, Oct Average, Samoa, WSM
60.65395, 2080-2099, miroc_esm_chem, Nov Average, Samoa, WSM
56.123653, 2080-2099, miroc_esm_chem, Dec Average, Samoa, WSM
