Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
60.512623, 2080-2099, gfdl_esm2m, Apr Average, Denmark, DNK
49.993042, 2080-2099, gfdl_esm2m, May Average, Denmark, DNK
54.489204, 2080-2099, gfdl_esm2m, Jun Average, Denmark, DNK
61.968777, 2080-2099, gfdl_esm2m, Jul Average, Denmark, DNK
74.37796, 2080-2099, gfdl_esm2m, Aug Average, Denmark, DNK
87.195915, 2080-2099, gfdl_esm2m, Sep Average, Denmark, DNK
115.33722, 2080-2099, gfdl_esm2m, Oct Average, Denmark, DNK
109.625084, 2080-2099, gfdl_esm2m, Nov Average, Denmark, DNK
114.03066, 2080-2099, gfdl_esm2m, Dec Average, Denmark, DNK
106.8527, 2080-2099, giss_e2_h, Jan Average, Denmark, DNK
85.31425, 2080-2099, giss_e2_h, Feb Average, Denmark, DNK
83.92808, 2080-2099, giss_e2_h, Mar Average, Denmark, DNK
83.32384, 2080-2099, giss_e2_h, Apr Average, Denmark, DNK
91.19454, 2080-2099, giss_e2_h, May Average, Denmark, DNK
76.75246, 2080-2099, giss_e2_h, Jun Average, Denmark, DNK
101.99664, 2080-2099, giss_e2_h, Jul Average, Denmark, DNK
90.374, 2080-2099, giss_e2_h, Aug Average, Denmark, DNK
120.82414, 2080-2099, giss_e2_h, Sep Average, Denmark, DNK
114.829765, 2080-2099, giss_e2_h, Oct Average, Denmark, DNK
112.21163, 2080-2099, giss_e2_h, Nov Average, Denmark, DNK
124.54773, 2080-2099, giss_e2_h, Dec Average, Denmark, DNK
104.2154, 2080-2099, giss_e2_r, Jan Average, Denmark, DNK
77.17101, 2080-2099, giss_e2_r, Feb Average, Denmark, DNK
70.37632, 2080-2099, giss_e2_r, Mar Average, Denmark, DNK
57.18198, 2080-2099, giss_e2_r, Apr Average, Denmark, DNK
50.92553, 2080-2099, giss_e2_r, May Average, Denmark, DNK
42.547348, 2080-2099, giss_e2_r, Jun Average, Denmark, DNK
80.13033, 2080-2099, giss_e2_r, Jul Average, Denmark, DNK
99.592804, 2080-2099, giss_e2_r, Aug Average, Denmark, DNK
94.814026, 2080-2099, giss_e2_r, Sep Average, Denmark, DNK
129.33212, 2080-2099, giss_e2_r, Oct Average, Denmark, DNK
140.50354, 2080-2099, giss_e2_r, Nov Average, Denmark, DNK
105.54652, 2080-2099, giss_e2_r, Dec Average, Denmark, DNK
107.4771, 2080-2099, ipsl_cm5a_mr, Jan Average, Denmark, DNK
80.71737, 2080-2099, ipsl_cm5a_mr, Feb Average, Denmark, DNK
64.381874, 2080-2099, ipsl_cm5a_mr, Mar Average, Denmark, DNK
55.987957, 2080-2099, ipsl_cm5a_mr, Apr Average, Denmark, DNK
46.842457, 2080-2099, ipsl_cm5a_mr, May Average, Denmark, DNK
29.425768, 2080-2099, ipsl_cm5a_mr, Jun Average, Denmark, DNK
30.533512, 2080-2099, ipsl_cm5a_mr, Jul Average, Denmark, DNK
56.966774, 2080-2099, ipsl_cm5a_mr, Aug Average, Denmark, DNK
61.803272, 2080-2099, ipsl_cm5a_mr, Sep Average, Denmark, DNK
94.99762, 2080-2099, ipsl_cm5a_mr, Oct Average, Denmark, DNK
131.298, 2080-2099, ipsl_cm5a_mr, Nov Average, Denmark, DNK
145.34142, 2080-2099, ipsl_cm5a_mr, Dec Average, Denmark, DNK
125.04895, 2080-2099, miroc_esm, Jan Average, Denmark, DNK
109.40871, 2080-2099, miroc_esm, Feb Average, Denmark, DNK
98.7156, 2080-2099, miroc_esm, Mar Average, Denmark, DNK
49.833607, 2080-2099, miroc_esm, Apr Average, Denmark, DNK
39.71786, 2080-2099, miroc_esm, May Average, Denmark, DNK
34.331085, 2080-2099, miroc_esm, Jun Average, Denmark, DNK
45.907227, 2080-2099, miroc_esm, Jul Average, Denmark, DNK
118.256645, 2080-2099, miroc_esm, Aug Average, Denmark, DNK
140.0271, 2080-2099, miroc_esm, Sep Average, Denmark, DNK
165.29231, 2080-2099, miroc_esm, Oct Average, Denmark, DNK
154.7281, 2080-2099, miroc_esm, Nov Average, Denmark, DNK
140.2309, 2080-2099, miroc_esm, Dec Average, Denmark, DNK
134.67987, 2080-2099, miroc_esm_chem, Jan Average, Denmark, DNK
105.573204, 2080-2099, miroc_esm_chem, Feb Average, Denmark, DNK
81.07991, 2080-2099, miroc_esm_chem, Mar Average, Denmark, DNK
60.785217, 2080-2099, miroc_esm_chem, Apr Average, Denmark, DNK
40.63674, 2080-2099, miroc_esm_chem, May Average, Denmark, DNK
32.977184, 2080-2099, miroc_esm_chem, Jun Average, Denmark, DNK
52.97397, 2080-2099, miroc_esm_chem, Jul Average, Denmark, DNK
102.97686, 2080-2099, miroc_esm_chem, Aug Average, Denmark, DNK
142.10474, 2080-2099, miroc_esm_chem, Sep Average, Denmark, DNK
161.2328, 2080-2099, miroc_esm_chem, Oct Average, Denmark, DNK
152.56049, 2080-2099, miroc_esm_chem, Nov Average, Denmark, DNK
153.8656, 2080-2099, miroc_esm_chem, Dec Average, Denmark, DNK
