Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.5944055, 2080-2099, bcc_csm1_1, Jan Average, Afghanistan, AFG
3.6205077, 2080-2099, bcc_csm1_1, Feb Average, Afghanistan, AFG
8.169078, 2080-2099, bcc_csm1_1, Mar Average, Afghanistan, AFG
15.444331, 2080-2099, bcc_csm1_1, Apr Average, Afghanistan, AFG
20.414328, 2080-2099, bcc_csm1_1, May Average, Afghanistan, AFG
27.194765, 2080-2099, bcc_csm1_1, Jun Average, Afghanistan, AFG
30.062958, 2080-2099, bcc_csm1_1, Jul Average, Afghanistan, AFG
28.214514, 2080-2099, bcc_csm1_1, Aug Average, Afghanistan, AFG
23.285917, 2080-2099, bcc_csm1_1, Sep Average, Afghanistan, AFG
16.500063, 2080-2099, bcc_csm1_1, Oct Average, Afghanistan, AFG
8.168469, 2080-2099, bcc_csm1_1, Nov Average, Afghanistan, AFG
3.0775845, 2080-2099, bcc_csm1_1, Dec Average, Afghanistan, AFG
1.6371052, 2080-2099, bcc_csm1_1_m, Jan Average, Afghanistan, AFG
3.4322062, 2080-2099, bcc_csm1_1_m, Feb Average, Afghanistan, AFG
10.589568, 2080-2099, bcc_csm1_1_m, Mar Average, Afghanistan, AFG
16.481045, 2080-2099, bcc_csm1_1_m, Apr Average, Afghanistan, AFG
22.971846, 2080-2099, bcc_csm1_1_m, May Average, Afghanistan, AFG
27.99337, 2080-2099, bcc_csm1_1_m, Jun Average, Afghanistan, AFG
30.344332, 2080-2099, bcc_csm1_1_m, Jul Average, Afghanistan, AFG
28.323158, 2080-2099, bcc_csm1_1_m, Aug Average, Afghanistan, AFG
24.015265, 2080-2099, bcc_csm1_1_m, Sep Average, Afghanistan, AFG
16.244183, 2080-2099, bcc_csm1_1_m, Oct Average, Afghanistan, AFG
9.1526575, 2080-2099, bcc_csm1_1_m, Nov Average, Afghanistan, AFG
4.139032, 2080-2099, bcc_csm1_1_m, Dec Average, Afghanistan, AFG
1.6415174, 2080-2099, ccsm4, Jan Average, Afghanistan, AFG
4.541248, 2080-2099, ccsm4, Feb Average, Afghanistan, AFG
9.753914, 2080-2099, ccsm4, Mar Average, Afghanistan, AFG
14.834415, 2080-2099, ccsm4, Apr Average, Afghanistan, AFG
22.061453, 2080-2099, ccsm4, May Average, Afghanistan, AFG
27.282, 2080-2099, ccsm4, Jun Average, Afghanistan, AFG
30.154016, 2080-2099, ccsm4, Jul Average, Afghanistan, AFG
29.033077, 2080-2099, ccsm4, Aug Average, Afghanistan, AFG
23.645248, 2080-2099, ccsm4, Sep Average, Afghanistan, AFG
15.809217, 2080-2099, ccsm4, Oct Average, Afghanistan, AFG
9.447366, 2080-2099, ccsm4, Nov Average, Afghanistan, AFG
4.375348, 2080-2099, ccsm4, Dec Average, Afghanistan, AFG
2.155337, 2080-2099, cesm1_cam5, Jan Average, Afghanistan, AFG
4.8614, 2080-2099, cesm1_cam5, Feb Average, Afghanistan, AFG
10.48212, 2080-2099, cesm1_cam5, Mar Average, Afghanistan, AFG
17.380379, 2080-2099, cesm1_cam5, Apr Average, Afghanistan, AFG
24.469662, 2080-2099, cesm1_cam5, May Average, Afghanistan, AFG
29.317465, 2080-2099, cesm1_cam5, Jun Average, Afghanistan, AFG
31.312468, 2080-2099, cesm1_cam5, Jul Average, Afghanistan, AFG
29.648705, 2080-2099, cesm1_cam5, Aug Average, Afghanistan, AFG
25.292217, 2080-2099, cesm1_cam5, Sep Average, Afghanistan, AFG
18.287336, 2080-2099, cesm1_cam5, Oct Average, Afghanistan, AFG
10.779372, 2080-2099, cesm1_cam5, Nov Average, Afghanistan, AFG
4.8620543, 2080-2099, cesm1_cam5, Dec Average, Afghanistan, AFG
0.5643608, 2080-2099, csiro_mk3_6_0, Jan Average, Afghanistan, AFG
4.1232653, 2080-2099, csiro_mk3_6_0, Feb Average, Afghanistan, AFG
9.51228, 2080-2099, csiro_mk3_6_0, Mar Average, Afghanistan, AFG
15.902299, 2080-2099, csiro_mk3_6_0, Apr Average, Afghanistan, AFG
21.864315, 2080-2099, csiro_mk3_6_0, May Average, Afghanistan, AFG
27.366276, 2080-2099, csiro_mk3_6_0, Jun Average, Afghanistan, AFG
29.002283, 2080-2099, csiro_mk3_6_0, Jul Average, Afghanistan, AFG
26.911007, 2080-2099, csiro_mk3_6_0, Aug Average, Afghanistan, AFG
21.125666, 2080-2099, csiro_mk3_6_0, Sep Average, Afghanistan, AFG
14.388807, 2080-2099, csiro_mk3_6_0, Oct Average, Afghanistan, AFG
6.775363, 2080-2099, csiro_mk3_6_0, Nov Average, Afghanistan, AFG
0.8811644, 2080-2099, csiro_mk3_6_0, Dec Average, Afghanistan, AFG
3.8012998, 2080-2099, fio_esm, Jan Average, Afghanistan, AFG
5.912645, 2080-2099, fio_esm, Feb Average, Afghanistan, AFG
10.167169, 2080-2099, fio_esm, Mar Average, Afghanistan, AFG
15.538296, 2080-2099, fio_esm, Apr Average, Afghanistan, AFG
20.654005, 2080-2099, fio_esm, May Average, Afghanistan, AFG
26.21426, 2080-2099, fio_esm, Jun Average, Afghanistan, AFG
29.029387, 2080-2099, fio_esm, Jul Average, Afghanistan, AFG
27.714958, 2080-2099, fio_esm, Aug Average, Afghanistan, AFG
22.449566, 2080-2099, fio_esm, Sep Average, Afghanistan, AFG
16.438097, 2080-2099, fio_esm, Oct Average, Afghanistan, AFG
9.744669, 2080-2099, fio_esm, Nov Average, Afghanistan, AFG
4.7722316, 2080-2099, fio_esm, Dec Average, Afghanistan, AFG
1.4769137, 2080-2099, gfdl_cm3, Jan Average, Afghanistan, AFG
3.387997, 2080-2099, gfdl_cm3, Feb Average, Afghanistan, AFG
8.81333, 2080-2099, gfdl_cm3, Mar Average, Afghanistan, AFG
14.726123, 2080-2099, gfdl_cm3, Apr Average, Afghanistan, AFG
20.45035, 2080-2099, gfdl_cm3, May Average, Afghanistan, AFG
27.676174, 2080-2099, gfdl_cm3, Jun Average, Afghanistan, AFG
30.856249, 2080-2099, gfdl_cm3, Jul Average, Afghanistan, AFG
30.434978, 2080-2099, gfdl_cm3, Aug Average, Afghanistan, AFG
24.895365, 2080-2099, gfdl_cm3, Sep Average, Afghanistan, AFG
17.843204, 2080-2099, gfdl_cm3, Oct Average, Afghanistan, AFG
9.856463, 2080-2099, gfdl_cm3, Nov Average, Afghanistan, AFG
3.8966072, 2080-2099, gfdl_cm3, Dec Average, Afghanistan, AFG
1.6133816, 2080-2099, gfdl_esm2m, Jan Average, Afghanistan, AFG
3.5792346, 2080-2099, gfdl_esm2m, Feb Average, Afghanistan, AFG
9.480598, 2080-2099, gfdl_esm2m, Mar Average, Afghanistan, AFG
15.389756, 2080-2099, gfdl_esm2m, Apr Average, Afghanistan, AFG
21.518515, 2080-2099, gfdl_esm2m, May Average, Afghanistan, AFG
28.09815, 2080-2099, gfdl_esm2m, Jun Average, Afghanistan, AFG
30.14335, 2080-2099, gfdl_esm2m, Jul Average, Afghanistan, AFG
28.50377, 2080-2099, gfdl_esm2m, Aug Average, Afghanistan, AFG
24.494404, 2080-2099, gfdl_esm2m, Sep Average, Afghanistan, AFG
16.603718, 2080-2099, gfdl_esm2m, Oct Average, Afghanistan, AFG
8.51906, 2080-2099, gfdl_esm2m, Nov Average, Afghanistan, AFG
2.451189, 2080-2099, gfdl_esm2m, Dec Average, Afghanistan, AFG
4.85912, 2080-2099, giss_e2_h, Jan Average, Afghanistan, AFG
7.508248, 2080-2099, giss_e2_h, Feb Average, Afghanistan, AFG
12.461775, 2080-2099, giss_e2_h, Mar Average, Afghanistan, AFG
16.95381, 2080-2099, giss_e2_h, Apr Average, Afghanistan, AFG
21.505404, 2080-2099, giss_e2_h, May Average, Afghanistan, AFG
24.378677, 2080-2099, giss_e2_h, Jun Average, Afghanistan, AFG
24.959665, 2080-2099, giss_e2_h, Jul Average, Afghanistan, AFG
24.299736, 2080-2099, giss_e2_h, Aug Average, Afghanistan, AFG
21.335484, 2080-2099, giss_e2_h, Sep Average, Afghanistan, AFG
16.77768, 2080-2099, giss_e2_h, Oct Average, Afghanistan, AFG
11.351476, 2080-2099, giss_e2_h, Nov Average, Afghanistan, AFG
6.2687507, 2080-2099, giss_e2_h, Dec Average, Afghanistan, AFG
5.220524, 2080-2099, giss_e2_r, Jan Average, Afghanistan, AFG
