Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
438.78772, 2080-2099, bcc_csm1_1, Jan Average, Samoa, WSM
401.09552, 2080-2099, bcc_csm1_1, Feb Average, Samoa, WSM
366.2452, 2080-2099, bcc_csm1_1, Mar Average, Samoa, WSM
163.90721, 2080-2099, bcc_csm1_1, Apr Average, Samoa, WSM
191.25119, 2080-2099, bcc_csm1_1, May Average, Samoa, WSM
183.24469, 2080-2099, bcc_csm1_1, Jun Average, Samoa, WSM
181.56595, 2080-2099, bcc_csm1_1, Jul Average, Samoa, WSM
127.80852, 2080-2099, bcc_csm1_1, Aug Average, Samoa, WSM
165.39302, 2080-2099, bcc_csm1_1, Sep Average, Samoa, WSM
253.04668, 2080-2099, bcc_csm1_1, Oct Average, Samoa, WSM
306.19135, 2080-2099, bcc_csm1_1, Nov Average, Samoa, WSM
312.15594, 2080-2099, bcc_csm1_1, Dec Average, Samoa, WSM
393.07437, 2080-2099, bcc_csm1_1_m, Jan Average, Samoa, WSM
314.82025, 2080-2099, bcc_csm1_1_m, Feb Average, Samoa, WSM
237.12625, 2080-2099, bcc_csm1_1_m, Mar Average, Samoa, WSM
210.30054, 2080-2099, bcc_csm1_1_m, Apr Average, Samoa, WSM
248.73071, 2080-2099, bcc_csm1_1_m, May Average, Samoa, WSM
213.10605, 2080-2099, bcc_csm1_1_m, Jun Average, Samoa, WSM
209.55913, 2080-2099, bcc_csm1_1_m, Jul Average, Samoa, WSM
195.64258, 2080-2099, bcc_csm1_1_m, Aug Average, Samoa, WSM
208.79309, 2080-2099, bcc_csm1_1_m, Sep Average, Samoa, WSM
223.66904, 2080-2099, bcc_csm1_1_m, Oct Average, Samoa, WSM
197.61124, 2080-2099, bcc_csm1_1_m, Nov Average, Samoa, WSM
254.48647, 2080-2099, bcc_csm1_1_m, Dec Average, Samoa, WSM
272.23676, 2080-2099, ccsm4, Jan Average, Samoa, WSM
264.53467, 2080-2099, ccsm4, Feb Average, Samoa, WSM
326.7261, 2080-2099, ccsm4, Mar Average, Samoa, WSM
240.16832, 2080-2099, ccsm4, Apr Average, Samoa, WSM
271.15466, 2080-2099, ccsm4, May Average, Samoa, WSM
210.89948, 2080-2099, ccsm4, Jun Average, Samoa, WSM
163.47002, 2080-2099, ccsm4, Jul Average, Samoa, WSM
139.93953, 2080-2099, ccsm4, Aug Average, Samoa, WSM
198.07812, 2080-2099, ccsm4, Sep Average, Samoa, WSM
233.19962, 2080-2099, ccsm4, Oct Average, Samoa, WSM
261.6689, 2080-2099, ccsm4, Nov Average, Samoa, WSM
236.51949, 2080-2099, ccsm4, Dec Average, Samoa, WSM
340.48526, 2080-2099, cesm1_cam5, Jan Average, Samoa, WSM
279.95557, 2080-2099, cesm1_cam5, Feb Average, Samoa, WSM
349.50827, 2080-2099, cesm1_cam5, Mar Average, Samoa, WSM
263.4513, 2080-2099, cesm1_cam5, Apr Average, Samoa, WSM
229.64297, 2080-2099, cesm1_cam5, May Average, Samoa, WSM
189.6865, 2080-2099, cesm1_cam5, Jun Average, Samoa, WSM
142.86313, 2080-2099, cesm1_cam5, Jul Average, Samoa, WSM
145.311, 2080-2099, cesm1_cam5, Aug Average, Samoa, WSM
180.12381, 2080-2099, cesm1_cam5, Sep Average, Samoa, WSM
259.6739, 2080-2099, cesm1_cam5, Oct Average, Samoa, WSM
275.26724, 2080-2099, cesm1_cam5, Nov Average, Samoa, WSM
280.39673, 2080-2099, cesm1_cam5, Dec Average, Samoa, WSM
594.5311, 2080-2099, csiro_mk3_6_0, Jan Average, Samoa, WSM
539.79694, 2080-2099, csiro_mk3_6_0, Feb Average, Samoa, WSM
482.50244, 2080-2099, csiro_mk3_6_0, Mar Average, Samoa, WSM
337.40652, 2080-2099, csiro_mk3_6_0, Apr Average, Samoa, WSM
254.33066, 2080-2099, csiro_mk3_6_0, May Average, Samoa, WSM
164.9132, 2080-2099, csiro_mk3_6_0, Jun Average, Samoa, WSM
126.8784, 2080-2099, csiro_mk3_6_0, Jul Average, Samoa, WSM
135.01822, 2080-2099, csiro_mk3_6_0, Aug Average, Samoa, WSM
214.62494, 2080-2099, csiro_mk3_6_0, Sep Average, Samoa, WSM
327.37552, 2080-2099, csiro_mk3_6_0, Oct Average, Samoa, WSM
474.00574, 2080-2099, csiro_mk3_6_0, Nov Average, Samoa, WSM
540.01245, 2080-2099, csiro_mk3_6_0, Dec Average, Samoa, WSM
208.91531, 2080-2099, fio_esm, Jan Average, Samoa, WSM
197.1197, 2080-2099, fio_esm, Feb Average, Samoa, WSM
