Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
37.158325, 2080-2099, gfdl_cm3, Aug Average, Oman, OMN
35.455032, 2080-2099, gfdl_cm3, Sep Average, Oman, OMN
31.621588, 2080-2099, gfdl_cm3, Oct Average, Oman, OMN
27.082949, 2080-2099, gfdl_cm3, Nov Average, Oman, OMN
22.428831, 2080-2099, gfdl_cm3, Dec Average, Oman, OMN
20.696291, 2080-2099, gfdl_esm2m, Jan Average, Oman, OMN
22.470985, 2080-2099, gfdl_esm2m, Feb Average, Oman, OMN
26.36897, 2080-2099, gfdl_esm2m, Mar Average, Oman, OMN
31.126059, 2080-2099, gfdl_esm2m, Apr Average, Oman, OMN
35.375072, 2080-2099, gfdl_esm2m, May Average, Oman, OMN
38.274635, 2080-2099, gfdl_esm2m, Jun Average, Oman, OMN
37.96187, 2080-2099, gfdl_esm2m, Jul Average, Oman, OMN
37.1397, 2080-2099, gfdl_esm2m, Aug Average, Oman, OMN
35.915375, 2080-2099, gfdl_esm2m, Sep Average, Oman, OMN
31.777456, 2080-2099, gfdl_esm2m, Oct Average, Oman, OMN
26.896961, 2080-2099, gfdl_esm2m, Nov Average, Oman, OMN
21.920727, 2080-2099, gfdl_esm2m, Dec Average, Oman, OMN
24.432604, 2080-2099, giss_e2_h, Jan Average, Oman, OMN
25.690517, 2080-2099, giss_e2_h, Feb Average, Oman, OMN
28.349247, 2080-2099, giss_e2_h, Mar Average, Oman, OMN
31.3211, 2080-2099, giss_e2_h, Apr Average, Oman, OMN
33.72651, 2080-2099, giss_e2_h, May Average, Oman, OMN
34.85963, 2080-2099, giss_e2_h, Jun Average, Oman, OMN
35.07057, 2080-2099, giss_e2_h, Jul Average, Oman, OMN
34.480583, 2080-2099, giss_e2_h, Aug Average, Oman, OMN
33.481438, 2080-2099, giss_e2_h, Sep Average, Oman, OMN
31.684418, 2080-2099, giss_e2_h, Oct Average, Oman, OMN
28.70799, 2080-2099, giss_e2_h, Nov Average, Oman, OMN
25.568588, 2080-2099, giss_e2_h, Dec Average, Oman, OMN
24.162933, 2080-2099, giss_e2_r, Jan Average, Oman, OMN
26.141264, 2080-2099, giss_e2_r, Feb Average, Oman, OMN
28.401283, 2080-2099, giss_e2_r, Mar Average, Oman, OMN
32.007896, 2080-2099, giss_e2_r, Apr Average, Oman, OMN
34.744766, 2080-2099, giss_e2_r, May Average, Oman, OMN
35.937458, 2080-2099, giss_e2_r, Jun Average, Oman, OMN
36.339203, 2080-2099, giss_e2_r, Jul Average, Oman, OMN
35.434227, 2080-2099, giss_e2_r, Aug Average, Oman, OMN
34.429375, 2080-2099, giss_e2_r, Sep Average, Oman, OMN
32.466187, 2080-2099, giss_e2_r, Oct Average, Oman, OMN
28.857376, 2080-2099, giss_e2_r, Nov Average, Oman, OMN
25.302229, 2080-2099, giss_e2_r, Dec Average, Oman, OMN
19.210361, 2080-2099, ipsl_cm5a_mr, Jan Average, Oman, OMN
21.762606, 2080-2099, ipsl_cm5a_mr, Feb Average, Oman, OMN
25.109066, 2080-2099, ipsl_cm5a_mr, Mar Average, Oman, OMN
29.138723, 2080-2099, ipsl_cm5a_mr, Apr Average, Oman, OMN
33.10352, 2080-2099, ipsl_cm5a_mr, May Average, Oman, OMN
34.756577, 2080-2099, ipsl_cm5a_mr, Jun Average, Oman, OMN
35.211124, 2080-2099, ipsl_cm5a_mr, Jul Average, Oman, OMN
35.054153, 2080-2099, ipsl_cm5a_mr, Aug Average, Oman, OMN
33.34191, 2080-2099, ipsl_cm5a_mr, Sep Average, Oman, OMN
30.64148, 2080-2099, ipsl_cm5a_mr, Oct Average, Oman, OMN
26.015501, 2080-2099, ipsl_cm5a_mr, Nov Average, Oman, OMN
20.95787, 2080-2099, ipsl_cm5a_mr, Dec Average, Oman, OMN
23.302298, 2080-2099, miroc_esm, Jan Average, Oman, OMN
24.433558, 2080-2099, miroc_esm, Feb Average, Oman, OMN
27.343094, 2080-2099, miroc_esm, Mar Average, Oman, OMN
31.460764, 2080-2099, miroc_esm, Apr Average, Oman, OMN
35.149464, 2080-2099, miroc_esm, May Average, Oman, OMN
35.338104, 2080-2099, miroc_esm, Jun Average, Oman, OMN
33.603146, 2080-2099, miroc_esm, Jul Average, Oman, OMN
32.530865, 2080-2099, miroc_esm, Aug Average, Oman, OMN
32.00023, 2080-2099, miroc_esm, Sep Average, Oman, OMN
30.786098, 2080-2099, miroc_esm, Oct Average, Oman, OMN
27.49458, 2080-2099, miroc_esm, Nov Average, Oman, OMN
24.493086, 2080-2099, miroc_esm, Dec Average, Oman, OMN
23.039759, 2080-2099, miroc_esm_chem, Jan Average, Oman, OMN
24.204525, 2080-2099, miroc_esm_chem, Feb Average, Oman, OMN
27.220327, 2080-2099, miroc_esm_chem, Mar Average, Oman, OMN
31.511711, 2080-2099, miroc_esm_chem, Apr Average, Oman, OMN
35.04666, 2080-2099, miroc_esm_chem, May Average, Oman, OMN
35.238186, 2080-2099, miroc_esm_chem, Jun Average, Oman, OMN
33.444653, 2080-2099, miroc_esm_chem, Jul Average, Oman, OMN
32.45727, 2080-2099, miroc_esm_chem, Aug Average, Oman, OMN
32.206047, 2080-2099, miroc_esm_chem, Sep Average, Oman, OMN
30.596273, 2080-2099, miroc_esm_chem, Oct Average, Oman, OMN
27.429796, 2080-2099, miroc_esm_chem, Nov Average, Oman, OMN
24.690351, 2080-2099, miroc_esm_chem, Dec Average, Oman, OMN
23.766396, 2080-2099, miroc5, Jan Average, Oman, OMN
25.781986, 2080-2099, miroc5, Feb Average, Oman, OMN
28.394304, 2080-2099, miroc5, Mar Average, Oman, OMN
31.399284, 2080-2099, miroc5, Apr Average, Oman, OMN
35.155663, 2080-2099, miroc5, May Average, Oman, OMN
36.20349, 2080-2099, miroc5, Jun Average, Oman, OMN
35.672775, 2080-2099, miroc5, Jul Average, Oman, OMN
34.72329, 2080-2099, miroc5, Aug Average, Oman, OMN
34.139824, 2080-2099, miroc5, Sep Average, Oman, OMN
32.416237, 2080-2099, miroc5, Oct Average, Oman, OMN
28.426378, 2080-2099, miroc5, Nov Average, Oman, OMN
24.993778, 2080-2099, miroc5, Dec Average, Oman, OMN
18.553383, 2080-2099, mri_cgcm3, Jan Average, Oman, OMN
20.343061, 2080-2099, mri_cgcm3, Feb Average, Oman, OMN
24.393545, 2080-2099, mri_cgcm3, Mar Average, Oman, OMN
28.4733, 2080-2099, mri_cgcm3, Apr Average, Oman, OMN
32.507614, 2080-2099, mri_cgcm3, May Average, Oman, OMN
35.75843, 2080-2099, mri_cgcm3, Jun Average, Oman, OMN
36.977947, 2080-2099, mri_cgcm3, Jul Average, Oman, OMN
35.917988, 2080-2099, mri_cgcm3, Aug Average, Oman, OMN
32.718887, 2080-2099, mri_cgcm3, Sep Average, Oman, OMN
28.363117, 2080-2099, mri_cgcm3, Oct Average, Oman, OMN
23.627787, 2080-2099, mri_cgcm3, Nov Average, Oman, OMN
18.924416, 2080-2099, mri_cgcm3, Dec Average, Oman, OMN
20.767736, 2080-2099, noresm1_m, Jan Average, Oman, OMN
22.224457, 2080-2099, noresm1_m, Feb Average, Oman, OMN
25.464567, 2080-2099, noresm1_m, Mar Average, Oman, OMN
30.06999, 2080-2099, noresm1_m, Apr Average, Oman, OMN
33.09252, 2080-2099, noresm1_m, May Average, Oman, OMN
35.410076, 2080-2099, noresm1_m, Jun Average, Oman, OMN
34.307686, 2080-2099, noresm1_m, Jul Average, Oman, OMN
33.587643, 2080-2099, noresm1_m, Aug Average, Oman, OMN
32.4934, 2080-2099, noresm1_m, Sep Average, Oman, OMN
29.497614, 2080-2099, noresm1_m, Oct Average, Oman, OMN
25.599525, 2080-2099, noresm1_m, Nov Average, Oman, OMN
21.836588, 2080-2099, noresm1_m, Dec Average, Oman, OMN
8.258727, 2080-2099, bcc_csm1_1, Jan Average, Pakistan, PAK
10.573674, 2080-2099, bcc_csm1_1, Feb Average, Pakistan, PAK
15.154838, 2080-2099, bcc_csm1_1, Mar Average, Pakistan, PAK
21.809204, 2080-2099, bcc_csm1_1, Apr Average, Pakistan, PAK
26.375383, 2080-2099, bcc_csm1_1, May Average, Pakistan, PAK
31.167822, 2080-2099, bcc_csm1_1, Jun Average, Pakistan, PAK
32.1675, 2080-2099, bcc_csm1_1, Jul Average, Pakistan, PAK
31.092432, 2080-2099, bcc_csm1_1, Aug Average, Pakistan, PAK
28.15661, 2080-2099, bcc_csm1_1, Sep Average, Pakistan, PAK
22.820766, 2080-2099, bcc_csm1_1, Oct Average, Pakistan, PAK
15.579067, 2080-2099, bcc_csm1_1, Nov Average, Pakistan, PAK
10.113172, 2080-2099, bcc_csm1_1, Dec Average, Pakistan, PAK
11.010034, 2080-2099, bcc_csm1_1_m, Jan Average, Pakistan, PAK
13.258454, 2080-2099, bcc_csm1_1_m, Feb Average, Pakistan, PAK
19.820103, 2080-2099, bcc_csm1_1_m, Mar Average, Pakistan, PAK
25.490938, 2080-2099, bcc_csm1_1_m, Apr Average, Pakistan, PAK
30.831738, 2080-2099, bcc_csm1_1_m, May Average, Pakistan, PAK
32.597237, 2080-2099, bcc_csm1_1_m, Jun Average, Pakistan, PAK
33.079277, 2080-2099, bcc_csm1_1_m, Jul Average, Pakistan, PAK
32.227734, 2080-2099, bcc_csm1_1_m, Aug Average, Pakistan, PAK
30.141352, 2080-2099, bcc_csm1_1_m, Sep Average, Pakistan, PAK
25.154028, 2080-2099, bcc_csm1_1_m, Oct Average, Pakistan, PAK
18.555344, 2080-2099, bcc_csm1_1_m, Nov Average, Pakistan, PAK
13.080588, 2080-2099, bcc_csm1_1_m, Dec Average, Pakistan, PAK
10.885419, 2080-2099, ccsm4, Jan Average, Pakistan, PAK
13.825084, 2080-2099, ccsm4, Feb Average, Pakistan, PAK
19.003994, 2080-2099, ccsm4, Mar Average, Pakistan, PAK
24.091413, 2080-2099, ccsm4, Apr Average, Pakistan, PAK
29.728292, 2080-2099, ccsm4, May Average, Pakistan, PAK
32.341454, 2080-2099, ccsm4, Jun Average, Pakistan, PAK
31.929995, 2080-2099, ccsm4, Jul Average, Pakistan, PAK
31.085037, 2080-2099, ccsm4, Aug Average, Pakistan, PAK
