Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
19.794207, 2080-2099, bcc_csm1_1, Jan Average, Oman, OMN
21.238178, 2080-2099, bcc_csm1_1, Feb Average, Oman, OMN
24.480461, 2080-2099, bcc_csm1_1, Mar Average, Oman, OMN
28.941732, 2080-2099, bcc_csm1_1, Apr Average, Oman, OMN
32.488533, 2080-2099, bcc_csm1_1, May Average, Oman, OMN
34.199837, 2080-2099, bcc_csm1_1, Jun Average, Oman, OMN
32.866127, 2080-2099, bcc_csm1_1, Jul Average, Oman, OMN
32.377136, 2080-2099, bcc_csm1_1, Aug Average, Oman, OMN
31.919582, 2080-2099, bcc_csm1_1, Sep Average, Oman, OMN
30.319023, 2080-2099, bcc_csm1_1, Oct Average, Oman, OMN
25.493313, 2080-2099, bcc_csm1_1, Nov Average, Oman, OMN
20.980696, 2080-2099, bcc_csm1_1, Dec Average, Oman, OMN
19.453844, 2080-2099, bcc_csm1_1_m, Jan Average, Oman, OMN
21.059736, 2080-2099, bcc_csm1_1_m, Feb Average, Oman, OMN
25.041649, 2080-2099, bcc_csm1_1_m, Mar Average, Oman, OMN
29.627388, 2080-2099, bcc_csm1_1_m, Apr Average, Oman, OMN
33.5856, 2080-2099, bcc_csm1_1_m, May Average, Oman, OMN
34.565464, 2080-2099, bcc_csm1_1_m, Jun Average, Oman, OMN
33.898254, 2080-2099, bcc_csm1_1_m, Jul Average, Oman, OMN
33.37888, 2080-2099, bcc_csm1_1_m, Aug Average, Oman, OMN
32.362373, 2080-2099, bcc_csm1_1_m, Sep Average, Oman, OMN
30.316757, 2080-2099, bcc_csm1_1_m, Oct Average, Oman, OMN
25.702759, 2080-2099, bcc_csm1_1_m, Nov Average, Oman, OMN
21.558525, 2080-2099, bcc_csm1_1_m, Dec Average, Oman, OMN
18.784105, 2080-2099, ccsm4, Jan Average, Oman, OMN
20.40821, 2080-2099, ccsm4, Feb Average, Oman, OMN
24.346737, 2080-2099, ccsm4, Mar Average, Oman, OMN
28.804096, 2080-2099, ccsm4, Apr Average, Oman, OMN
32.881565, 2080-2099, ccsm4, May Average, Oman, OMN
34.80221, 2080-2099, ccsm4, Jun Average, Oman, OMN
33.173817, 2080-2099, ccsm4, Jul Average, Oman, OMN
32.11305, 2080-2099, ccsm4, Aug Average, Oman, OMN
31.191294, 2080-2099, ccsm4, Sep Average, Oman, OMN
28.394136, 2080-2099, ccsm4, Oct Average, Oman, OMN
24.717548, 2080-2099, ccsm4, Nov Average, Oman, OMN
20.57085, 2080-2099, ccsm4, Dec Average, Oman, OMN
20.090668, 2080-2099, cesm1_cam5, Jan Average, Oman, OMN
21.255545, 2080-2099, cesm1_cam5, Feb Average, Oman, OMN
26.007915, 2080-2099, cesm1_cam5, Mar Average, Oman, OMN
30.221432, 2080-2099, cesm1_cam5, Apr Average, Oman, OMN
32.955235, 2080-2099, cesm1_cam5, May Average, Oman, OMN
34.63987, 2080-2099, cesm1_cam5, Jun Average, Oman, OMN
33.811893, 2080-2099, cesm1_cam5, Jul Average, Oman, OMN
32.53156, 2080-2099, cesm1_cam5, Aug Average, Oman, OMN
31.731165, 2080-2099, cesm1_cam5, Sep Average, Oman, OMN
29.508764, 2080-2099, cesm1_cam5, Oct Average, Oman, OMN
25.812252, 2080-2099, cesm1_cam5, Nov Average, Oman, OMN
21.403278, 2080-2099, cesm1_cam5, Dec Average, Oman, OMN
18.557503, 2080-2099, csiro_mk3_6_0, Jan Average, Oman, OMN
20.76525, 2080-2099, csiro_mk3_6_0, Feb Average, Oman, OMN
25.038792, 2080-2099, csiro_mk3_6_0, Mar Average, Oman, OMN
29.442724, 2080-2099, csiro_mk3_6_0, Apr Average, Oman, OMN
33.251915, 2080-2099, csiro_mk3_6_0, May Average, Oman, OMN
35.395546, 2080-2099, csiro_mk3_6_0, Jun Average, Oman, OMN
35.25372, 2080-2099, csiro_mk3_6_0, Jul Average, Oman, OMN
34.498886, 2080-2099, csiro_mk3_6_0, Aug Average, Oman, OMN
32.71182, 2080-2099, csiro_mk3_6_0, Sep Average, Oman, OMN
30.050909, 2080-2099, csiro_mk3_6_0, Oct Average, Oman, OMN
24.911837, 2080-2099, csiro_mk3_6_0, Nov Average, Oman, OMN
19.700117, 2080-2099, csiro_mk3_6_0, Dec Average, Oman, OMN
19.764761, 2080-2099, fio_esm, Jan Average, Oman, OMN
20.83747, 2080-2099, fio_esm, Feb Average, Oman, OMN
23.705606, 2080-2099, fio_esm, Mar Average, Oman, OMN
27.772749, 2080-2099, fio_esm, Apr Average, Oman, OMN
31.376001, 2080-2099, fio_esm, May Average, Oman, OMN
34.34656, 2080-2099, fio_esm, Jun Average, Oman, OMN
34.84226, 2080-2099, fio_esm, Jul Average, Oman, OMN
33.86121, 2080-2099, fio_esm, Aug Average, Oman, OMN
32.409954, 2080-2099, fio_esm, Sep Average, Oman, OMN
29.240507, 2080-2099, fio_esm, Oct Average, Oman, OMN
24.992609, 2080-2099, fio_esm, Nov Average, Oman, OMN
21.373255, 2080-2099, fio_esm, Dec Average, Oman, OMN
19.361889, 2080-2099, gfdl_cm3, Jan Average, Oman, OMN
20.981644, 2080-2099, gfdl_cm3, Feb Average, Oman, OMN
25.669744, 2080-2099, gfdl_cm3, Mar Average, Oman, OMN
29.86354, 2080-2099, gfdl_cm3, Apr Average, Oman, OMN
33.835823, 2080-2099, gfdl_cm3, May Average, Oman, OMN
36.821945, 2080-2099, gfdl_cm3, Jun Average, Oman, OMN
36.499996, 2080-2099, gfdl_cm3, Jul Average, Oman, OMN
35.387707, 2080-2099, gfdl_cm3, Aug Average, Oman, OMN
33.67506, 2080-2099, gfdl_cm3, Sep Average, Oman, OMN
30.083426, 2080-2099, gfdl_cm3, Oct Average, Oman, OMN
25.001068, 2080-2099, gfdl_cm3, Nov Average, Oman, OMN
20.823748, 2080-2099, gfdl_cm3, Dec Average, Oman, OMN
18.832613, 2080-2099, gfdl_esm2m, Jan Average, Oman, OMN
20.678165, 2080-2099, gfdl_esm2m, Feb Average, Oman, OMN
25.199842, 2080-2099, gfdl_esm2m, Mar Average, Oman, OMN
29.727438, 2080-2099, gfdl_esm2m, Apr Average, Oman, OMN
33.68436, 2080-2099, gfdl_esm2m, May Average, Oman, OMN
36.832386, 2080-2099, gfdl_esm2m, Jun Average, Oman, OMN
36.750774, 2080-2099, gfdl_esm2m, Jul Average, Oman, OMN
35.99531, 2080-2099, gfdl_esm2m, Aug Average, Oman, OMN
34.210762, 2080-2099, gfdl_esm2m, Sep Average, Oman, OMN
30.126408, 2080-2099, gfdl_esm2m, Oct Average, Oman, OMN
24.67353, 2080-2099, gfdl_esm2m, Nov Average, Oman, OMN
19.978373, 2080-2099, gfdl_esm2m, Dec Average, Oman, OMN
23.087687, 2080-2099, giss_e2_h, Jan Average, Oman, OMN
24.327087, 2080-2099, giss_e2_h, Feb Average, Oman, OMN
26.788748, 2080-2099, giss_e2_h, Mar Average, Oman, OMN
29.67242, 2080-2099, giss_e2_h, Apr Average, Oman, OMN
32.476944, 2080-2099, giss_e2_h, May Average, Oman, OMN
33.546223, 2080-2099, giss_e2_h, Jun Average, Oman, OMN
33.603508, 2080-2099, giss_e2_h, Jul Average, Oman, OMN
33.06161, 2080-2099, giss_e2_h, Aug Average, Oman, OMN
32.220085, 2080-2099, giss_e2_h, Sep Average, Oman, OMN
30.41637, 2080-2099, giss_e2_h, Oct Average, Oman, OMN
27.068316, 2080-2099, giss_e2_h, Nov Average, Oman, OMN
24.235088, 2080-2099, giss_e2_h, Dec Average, Oman, OMN
22.524656, 2080-2099, giss_e2_r, Jan Average, Oman, OMN
24.182783, 2080-2099, giss_e2_r, Feb Average, Oman, OMN
26.554533, 2080-2099, giss_e2_r, Mar Average, Oman, OMN
29.343004, 2080-2099, giss_e2_r, Apr Average, Oman, OMN
32.77571, 2080-2099, giss_e2_r, May Average, Oman, OMN
34.393314, 2080-2099, giss_e2_r, Jun Average, Oman, OMN
35.11017, 2080-2099, giss_e2_r, Jul Average, Oman, OMN
34.531673, 2080-2099, giss_e2_r, Aug Average, Oman, OMN
33.286263, 2080-2099, giss_e2_r, Sep Average, Oman, OMN
31.136114, 2080-2099, giss_e2_r, Oct Average, Oman, OMN
27.402094, 2080-2099, giss_e2_r, Nov Average, Oman, OMN
23.781963, 2080-2099, giss_e2_r, Dec Average, Oman, OMN
17.731874, 2080-2099, ipsl_cm5a_mr, Jan Average, Oman, OMN
20.00901, 2080-2099, ipsl_cm5a_mr, Feb Average, Oman, OMN
23.247284, 2080-2099, ipsl_cm5a_mr, Mar Average, Oman, OMN
27.506824, 2080-2099, ipsl_cm5a_mr, Apr Average, Oman, OMN
31.057888, 2080-2099, ipsl_cm5a_mr, May Average, Oman, OMN
32.9384, 2080-2099, ipsl_cm5a_mr, Jun Average, Oman, OMN
33.34058, 2080-2099, ipsl_cm5a_mr, Jul Average, Oman, OMN
33.046535, 2080-2099, ipsl_cm5a_mr, Aug Average, Oman, OMN
31.202778, 2080-2099, ipsl_cm5a_mr, Sep Average, Oman, OMN
28.355478, 2080-2099, ipsl_cm5a_mr, Oct Average, Oman, OMN
23.440811, 2080-2099, ipsl_cm5a_mr, Nov Average, Oman, OMN
19.297052, 2080-2099, ipsl_cm5a_mr, Dec Average, Oman, OMN
21.663897, 2080-2099, miroc_esm, Jan Average, Oman, OMN
22.655642, 2080-2099, miroc_esm, Feb Average, Oman, OMN
25.670664, 2080-2099, miroc_esm, Mar Average, Oman, OMN
29.835442, 2080-2099, miroc_esm, Apr Average, Oman, OMN
33.64608, 2080-2099, miroc_esm, May Average, Oman, OMN
33.899338, 2080-2099, miroc_esm, Jun Average, Oman, OMN
32.03338, 2080-2099, miroc_esm, Jul Average, Oman, OMN
31.57176, 2080-2099, miroc_esm, Aug Average, Oman, OMN
30.587015, 2080-2099, miroc_esm, Sep Average, Oman, OMN
29.23193, 2080-2099, miroc_esm, Oct Average, Oman, OMN
25.81828, 2080-2099, miroc_esm, Nov Average, Oman, OMN
22.764942, 2080-2099, miroc_esm, Dec Average, Oman, OMN
21.976707, 2080-2099, miroc_esm_chem, Jan Average, Oman, OMN
22.757357, 2080-2099, miroc_esm_chem, Feb Average, Oman, OMN
25.653086, 2080-2099, miroc_esm_chem, Mar Average, Oman, OMN
29.78743, 2080-2099, miroc_esm_chem, Apr Average, Oman, OMN
33.626072, 2080-2099, miroc_esm_chem, May Average, Oman, OMN
33.73004, 2080-2099, miroc_esm_chem, Jun Average, Oman, OMN
32.166718, 2080-2099, miroc_esm_chem, Jul Average, Oman, OMN
31.269842, 2080-2099, miroc_esm_chem, Aug Average, Oman, OMN
30.895126, 2080-2099, miroc_esm_chem, Sep Average, Oman, OMN
29.307209, 2080-2099, miroc_esm_chem, Oct Average, Oman, OMN
25.709772, 2080-2099, miroc_esm_chem, Nov Average, Oman, OMN
23.01904, 2080-2099, miroc_esm_chem, Dec Average, Oman, OMN
22.747564, 2080-2099, miroc5, Jan Average, Oman, OMN
24.157166, 2080-2099, miroc5, Feb Average, Oman, OMN
27.125523, 2080-2099, miroc5, Mar Average, Oman, OMN
30.096058, 2080-2099, miroc5, Apr Average, Oman, OMN
33.811172, 2080-2099, miroc5, May Average, Oman, OMN
35.341904, 2080-2099, miroc5, Jun Average, Oman, OMN
35.04093, 2080-2099, miroc5, Jul Average, Oman, OMN
34.18655, 2080-2099, miroc5, Aug Average, Oman, OMN
33.30739, 2080-2099, miroc5, Sep Average, Oman, OMN
31.122488, 2080-2099, miroc5, Oct Average, Oman, OMN
27.392187, 2080-2099, miroc5, Nov Average, Oman, OMN
23.87017, 2080-2099, miroc5, Dec Average, Oman, OMN
16.52709, 2080-2099, mri_cgcm3, Jan Average, Oman, OMN
18.802116, 2080-2099, mri_cgcm3, Feb Average, Oman, OMN
22.552006, 2080-2099, mri_cgcm3, Mar Average, Oman, OMN
27.135578, 2080-2099, mri_cgcm3, Apr Average, Oman, OMN
31.325733, 2080-2099, mri_cgcm3, May Average, Oman, OMN
34.476376, 2080-2099, mri_cgcm3, Jun Average, Oman, OMN
35.900974, 2080-2099, mri_cgcm3, Jul Average, Oman, OMN
34.4359, 2080-2099, mri_cgcm3, Aug Average, Oman, OMN
31.468037, 2080-2099, mri_cgcm3, Sep Average, Oman, OMN
27.345114, 2080-2099, mri_cgcm3, Oct Average, Oman, OMN
22.51637, 2080-2099, mri_cgcm3, Nov Average, Oman, OMN
17.93892, 2080-2099, mri_cgcm3, Dec Average, Oman, OMN
19.17918, 2080-2099, noresm1_m, Jan Average, Oman, OMN
20.547405, 2080-2099, noresm1_m, Feb Average, Oman, OMN
24.046883, 2080-2099, noresm1_m, Mar Average, Oman, OMN
28.341461, 2080-2099, noresm1_m, Apr Average, Oman, OMN
31.835938, 2080-2099, noresm1_m, May Average, Oman, OMN
34.365307, 2080-2099, noresm1_m, Jun Average, Oman, OMN
33.731594, 2080-2099, noresm1_m, Jul Average, Oman, OMN
32.669678, 2080-2099, noresm1_m, Aug Average, Oman, OMN
31.716639, 2080-2099, noresm1_m, Sep Average, Oman, OMN
28.355238, 2080-2099, noresm1_m, Oct Average, Oman, OMN
23.934181, 2080-2099, noresm1_m, Nov Average, Oman, OMN
20.560392, 2080-2099, noresm1_m, Dec Average, Oman, OMN
6.45649, 2080-2099, bcc_csm1_1, Jan Average, Pakistan, PAK
9.0704365, 2080-2099, bcc_csm1_1, Feb Average, Pakistan, PAK
14.281465, 2080-2099, bcc_csm1_1, Mar Average, Pakistan, PAK
20.478868, 2080-2099, bcc_csm1_1, Apr Average, Pakistan, PAK
25.643839, 2080-2099, bcc_csm1_1, May Average, Pakistan, PAK
29.76713, 2080-2099, bcc_csm1_1, Jun Average, Pakistan, PAK
30.642673, 2080-2099, bcc_csm1_1, Jul Average, Pakistan, PAK
29.197714, 2080-2099, bcc_csm1_1, Aug Average, Pakistan, PAK
26.34958, 2080-2099, bcc_csm1_1, Sep Average, Pakistan, PAK
21.178455, 2080-2099, bcc_csm1_1, Oct Average, Pakistan, PAK
13.601626, 2080-2099, bcc_csm1_1, Nov Average, Pakistan, PAK
7.266484, 2080-2099, bcc_csm1_1, Dec Average, Pakistan, PAK
8.98319, 2080-2099, bcc_csm1_1_m, Jan Average, Pakistan, PAK
12.215676, 2080-2099, bcc_csm1_1_m, Feb Average, Pakistan, PAK
17.273247, 2080-2099, bcc_csm1_1_m, Mar Average, Pakistan, PAK
22.978018, 2080-2099, bcc_csm1_1_m, Apr Average, Pakistan, PAK
28.4336, 2080-2099, bcc_csm1_1_m, May Average, Pakistan, PAK
30.911728, 2080-2099, bcc_csm1_1_m, Jun Average, Pakistan, PAK
31.74788, 2080-2099, bcc_csm1_1_m, Jul Average, Pakistan, PAK
31.143797, 2080-2099, bcc_csm1_1_m, Aug Average, Pakistan, PAK
28.366825, 2080-2099, bcc_csm1_1_m, Sep Average, Pakistan, PAK
23.790699, 2080-2099, bcc_csm1_1_m, Oct Average, Pakistan, PAK
16.72075, 2080-2099, bcc_csm1_1_m, Nov Average, Pakistan, PAK
