Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
23.274984, 2080-2099, bcc_csm1_1, Jan Average, Oman, OMN
23.823654, 2080-2099, bcc_csm1_1, Feb Average, Oman, OMN
27.230242, 2080-2099, bcc_csm1_1, Mar Average, Oman, OMN
31.949402, 2080-2099, bcc_csm1_1, Apr Average, Oman, OMN
35.682426, 2080-2099, bcc_csm1_1, May Average, Oman, OMN
37.02217, 2080-2099, bcc_csm1_1, Jun Average, Oman, OMN
35.39831, 2080-2099, bcc_csm1_1, Jul Average, Oman, OMN
34.880302, 2080-2099, bcc_csm1_1, Aug Average, Oman, OMN
34.337463, 2080-2099, bcc_csm1_1, Sep Average, Oman, OMN
33.187252, 2080-2099, bcc_csm1_1, Oct Average, Oman, OMN
28.927717, 2080-2099, bcc_csm1_1, Nov Average, Oman, OMN
24.255146, 2080-2099, bcc_csm1_1, Dec Average, Oman, OMN
22.54466, 2080-2099, bcc_csm1_1_m, Jan Average, Oman, OMN
24.214455, 2080-2099, bcc_csm1_1_m, Feb Average, Oman, OMN
28.694813, 2080-2099, bcc_csm1_1_m, Mar Average, Oman, OMN
33.429462, 2080-2099, bcc_csm1_1_m, Apr Average, Oman, OMN
37.087757, 2080-2099, bcc_csm1_1_m, May Average, Oman, OMN
37.62116, 2080-2099, bcc_csm1_1_m, Jun Average, Oman, OMN
36.194702, 2080-2099, bcc_csm1_1_m, Jul Average, Oman, OMN
35.612793, 2080-2099, bcc_csm1_1_m, Aug Average, Oman, OMN
34.440617, 2080-2099, bcc_csm1_1_m, Sep Average, Oman, OMN
33.455906, 2080-2099, bcc_csm1_1_m, Oct Average, Oman, OMN
29.58116, 2080-2099, bcc_csm1_1_m, Nov Average, Oman, OMN
24.689129, 2080-2099, bcc_csm1_1_m, Dec Average, Oman, OMN
22.195208, 2080-2099, ccsm4, Jan Average, Oman, OMN
23.35305, 2080-2099, ccsm4, Feb Average, Oman, OMN
27.003815, 2080-2099, ccsm4, Mar Average, Oman, OMN
32.276634, 2080-2099, ccsm4, Apr Average, Oman, OMN
36.363976, 2080-2099, ccsm4, May Average, Oman, OMN
38.049625, 2080-2099, ccsm4, Jun Average, Oman, OMN
35.461052, 2080-2099, ccsm4, Jul Average, Oman, OMN
35.21348, 2080-2099, ccsm4, Aug Average, Oman, OMN
33.861214, 2080-2099, ccsm4, Sep Average, Oman, OMN
31.75679, 2080-2099, ccsm4, Oct Average, Oman, OMN
28.562521, 2080-2099, ccsm4, Nov Average, Oman, OMN
24.076895, 2080-2099, ccsm4, Dec Average, Oman, OMN
23.17559, 2080-2099, cesm1_cam5, Jan Average, Oman, OMN
24.596556, 2080-2099, cesm1_cam5, Feb Average, Oman, OMN
28.719858, 2080-2099, cesm1_cam5, Mar Average, Oman, OMN
33.46634, 2080-2099, cesm1_cam5, Apr Average, Oman, OMN
36.2887, 2080-2099, cesm1_cam5, May Average, Oman, OMN
38.0481, 2080-2099, cesm1_cam5, Jun Average, Oman, OMN
36.395016, 2080-2099, cesm1_cam5, Jul Average, Oman, OMN
35.30332, 2080-2099, cesm1_cam5, Aug Average, Oman, OMN
34.807896, 2080-2099, cesm1_cam5, Sep Average, Oman, OMN
33.04966, 2080-2099, cesm1_cam5, Oct Average, Oman, OMN
29.408567, 2080-2099, cesm1_cam5, Nov Average, Oman, OMN
25.1584, 2080-2099, cesm1_cam5, Dec Average, Oman, OMN
21.679607, 2080-2099, csiro_mk3_6_0, Jan Average, Oman, OMN
24.281872, 2080-2099, csiro_mk3_6_0, Feb Average, Oman, OMN
28.401876, 2080-2099, csiro_mk3_6_0, Mar Average, Oman, OMN
32.779793, 2080-2099, csiro_mk3_6_0, Apr Average, Oman, OMN
37.122223, 2080-2099, csiro_mk3_6_0, May Average, Oman, OMN
38.911522, 2080-2099, csiro_mk3_6_0, Jun Average, Oman, OMN
