Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
409.95248, 2080-2099, bcc_csm1_1, Jan Average, Samoa, WSM
375.44073, 2080-2099, bcc_csm1_1, Feb Average, Samoa, WSM
314.75446, 2080-2099, bcc_csm1_1, Mar Average, Samoa, WSM
261.79617, 2080-2099, bcc_csm1_1, Apr Average, Samoa, WSM
206.5086, 2080-2099, bcc_csm1_1, May Average, Samoa, WSM
221.10269, 2080-2099, bcc_csm1_1, Jun Average, Samoa, WSM
147.85124, 2080-2099, bcc_csm1_1, Jul Average, Samoa, WSM
157.98509, 2080-2099, bcc_csm1_1, Aug Average, Samoa, WSM
169.79478, 2080-2099, bcc_csm1_1, Sep Average, Samoa, WSM
204.92586, 2080-2099, bcc_csm1_1, Oct Average, Samoa, WSM
259.67838, 2080-2099, bcc_csm1_1, Nov Average, Samoa, WSM
278.87784, 2080-2099, bcc_csm1_1, Dec Average, Samoa, WSM
301.93915, 2080-2099, bcc_csm1_1_m, Jan Average, Samoa, WSM
322.54245, 2080-2099, bcc_csm1_1_m, Feb Average, Samoa, WSM
293.59064, 2080-2099, bcc_csm1_1_m, Mar Average, Samoa, WSM
251.20851, 2080-2099, bcc_csm1_1_m, Apr Average, Samoa, WSM
193.21344, 2080-2099, bcc_csm1_1_m, May Average, Samoa, WSM
193.73228, 2080-2099, bcc_csm1_1_m, Jun Average, Samoa, WSM
212.01813, 2080-2099, bcc_csm1_1_m, Jul Average, Samoa, WSM
218.51303, 2080-2099, bcc_csm1_1_m, Aug Average, Samoa, WSM
214.92163, 2080-2099, bcc_csm1_1_m, Sep Average, Samoa, WSM
232.47127, 2080-2099, bcc_csm1_1_m, Oct Average, Samoa, WSM
198.94608, 2080-2099, bcc_csm1_1_m, Nov Average, Samoa, WSM
252.77126, 2080-2099, bcc_csm1_1_m, Dec Average, Samoa, WSM
278.23453, 2080-2099, ccsm4, Jan Average, Samoa, WSM
244.79013, 2080-2099, ccsm4, Feb Average, Samoa, WSM
296.53943, 2080-2099, ccsm4, Mar Average, Samoa, WSM
204.9946, 2080-2099, ccsm4, Apr Average, Samoa, WSM
238.99275, 2080-2099, ccsm4, May Average, Samoa, WSM
222.7307, 2080-2099, ccsm4, Jun Average, Samoa, WSM
169.37836, 2080-2099, ccsm4, Jul Average, Samoa, WSM
145.75056, 2080-2099, ccsm4, Aug Average, Samoa, WSM
167.66907, 2080-2099, ccsm4, Sep Average, Samoa, WSM
230.23186, 2080-2099, ccsm4, Oct Average, Samoa, WSM
235.89395, 2080-2099, ccsm4, Nov Average, Samoa, WSM
250.90306, 2080-2099, ccsm4, Dec Average, Samoa, WSM
271.9818, 2080-2099, cesm1_cam5, Jan Average, Samoa, WSM
306.37613, 2080-2099, cesm1_cam5, Feb Average, Samoa, WSM
293.8627, 2080-2099, cesm1_cam5, Mar Average, Samoa, WSM
243.5936, 2080-2099, cesm1_cam5, Apr Average, Samoa, WSM
241.86728, 2080-2099, cesm1_cam5, May Average, Samoa, WSM
214.23888, 2080-2099, cesm1_cam5, Jun Average, Samoa, WSM
152.30647, 2080-2099, cesm1_cam5, Jul Average, Samoa, WSM
146.62073, 2080-2099, cesm1_cam5, Aug Average, Samoa, WSM
187.59727, 2080-2099, cesm1_cam5, Sep Average, Samoa, WSM
235.61792, 2080-2099, cesm1_cam5, Oct Average, Samoa, WSM
292.37775, 2080-2099, cesm1_cam5, Nov Average, Samoa, WSM
280.64505, 2080-2099, cesm1_cam5, Dec Average, Samoa, WSM
549.3823, 2080-2099, csiro_mk3_6_0, Jan Average, Samoa, WSM
491.85593, 2080-2099, csiro_mk3_6_0, Feb Average, Samoa, WSM
448.57175, 2080-2099, csiro_mk3_6_0, Mar Average, Samoa, WSM
367.6919, 2080-2099, csiro_mk3_6_0, Apr Average, Samoa, WSM
244.75534, 2080-2099, csiro_mk3_6_0, May Average, Samoa, WSM
133.60364, 2080-2099, csiro_mk3_6_0, Jun Average, Samoa, WSM
113.6026, 2080-2099, csiro_mk3_6_0, Jul Average, Samoa, WSM
124.41399, 2080-2099, csiro_mk3_6_0, Aug Average, Samoa, WSM
194.68268, 2080-2099, csiro_mk3_6_0, Sep Average, Samoa, WSM
277.79926, 2080-2099, csiro_mk3_6_0, Oct Average, Samoa, WSM
304.21823, 2080-2099, csiro_mk3_6_0, Nov Average, Samoa, WSM
528.6139, 2080-2099, csiro_mk3_6_0, Dec Average, Samoa, WSM
179.9986, 2080-2099, fio_esm, Jan Average, Samoa, WSM
206.80379, 2080-2099, fio_esm, Feb Average, Samoa, WSM
206.57864, 2080-2099, fio_esm, Mar Average, Samoa, WSM
196.60898, 2080-2099, fio_esm, Apr Average, Samoa, WSM
271.7586, 2080-2099, fio_esm, May Average, Samoa, WSM
215.79155, 2080-2099, fio_esm, Jun Average, Samoa, WSM
175.04352, 2080-2099, fio_esm, Jul Average, Samoa, WSM
155.81523, 2080-2099, fio_esm, Aug Average, Samoa, WSM
124.35088, 2080-2099, fio_esm, Sep Average, Samoa, WSM
161.16696, 2080-2099, fio_esm, Oct Average, Samoa, WSM
183.25943, 2080-2099, fio_esm, Nov Average, Samoa, WSM
215.84006, 2080-2099, fio_esm, Dec Average, Samoa, WSM
320.60715, 2080-2099, gfdl_cm3, Jan Average, Samoa, WSM
352.5228, 2080-2099, gfdl_cm3, Feb Average, Samoa, WSM
338.71933, 2080-2099, gfdl_cm3, Mar Average, Samoa, WSM
314.6858, 2080-2099, gfdl_cm3, Apr Average, Samoa, WSM
281.3863, 2080-2099, gfdl_cm3, May Average, Samoa, WSM
160.07932, 2080-2099, gfdl_cm3, Jun Average, Samoa, WSM
83.78809, 2080-2099, gfdl_cm3, Jul Average, Samoa, WSM
95.29514, 2080-2099, gfdl_cm3, Aug Average, Samoa, WSM
143.22717, 2080-2099, gfdl_cm3, Sep Average, Samoa, WSM
262.94708, 2080-2099, gfdl_cm3, Oct Average, Samoa, WSM
337.3644, 2080-2099, gfdl_cm3, Nov Average, Samoa, WSM
308.93726, 2080-2099, gfdl_cm3, Dec Average, Samoa, WSM
349.23752, 2080-2099, gfdl_esm2m, Jan Average, Samoa, WSM
398.81555, 2080-2099, gfdl_esm2m, Feb Average, Samoa, WSM
367.53262, 2080-2099, gfdl_esm2m, Mar Average, Samoa, WSM
383.25677, 2080-2099, gfdl_esm2m, Apr Average, Samoa, WSM
211.78445, 2080-2099, gfdl_esm2m, May Average, Samoa, WSM
159.73938, 2080-2099, gfdl_esm2m, Jun Average, Samoa, WSM
112.334435, 2080-2099, gfdl_esm2m, Jul Average, Samoa, WSM
113.7459, 2080-2099, gfdl_esm2m, Aug Average, Samoa, WSM
178.63448, 2080-2099, gfdl_esm2m, Sep Average, Samoa, WSM
278.68665, 2080-2099, gfdl_esm2m, Oct Average, Samoa, WSM
293.56235, 2080-2099, gfdl_esm2m, Nov Average, Samoa, WSM
329.13037, 2080-2099, gfdl_esm2m, Dec Average, Samoa, WSM
237.01227, 2080-2099, giss_e2_h, Jan Average, Samoa, WSM
162.20982, 2080-2099, giss_e2_h, Feb Average, Samoa, WSM
236.94263, 2080-2099, giss_e2_h, Mar Average, Samoa, WSM
221.5104, 2080-2099, giss_e2_h, Apr Average, Samoa, WSM
179.67804, 2080-2099, giss_e2_h, May Average, Samoa, WSM
120.543846, 2080-2099, giss_e2_h, Jun Average, Samoa, WSM
55.912796, 2080-2099, giss_e2_h, Jul Average, Samoa, WSM
39.317226, 2080-2099, giss_e2_h, Aug Average, Samoa, WSM
54.79163, 2080-2099, giss_e2_h, Sep Average, Samoa, WSM
93.275764, 2080-2099, giss_e2_h, Oct Average, Samoa, WSM
148.00581, 2080-2099, giss_e2_h, Nov Average, Samoa, WSM
261.55667, 2080-2099, giss_e2_h, Dec Average, Samoa, WSM
278.74237, 2080-2099, giss_e2_r, Jan Average, Samoa, WSM
268.05948, 2080-2099, giss_e2_r, Feb Average, Samoa, WSM
346.62424, 2080-2099, giss_e2_r, Mar Average, Samoa, WSM
283.47366, 2080-2099, giss_e2_r, Apr Average, Samoa, WSM
184.07335, 2080-2099, giss_e2_r, May Average, Samoa, WSM
92.81115, 2080-2099, giss_e2_r, Jun Average, Samoa, WSM
80.331535, 2080-2099, giss_e2_r, Jul Average, Samoa, WSM
87.40284, 2080-2099, giss_e2_r, Aug Average, Samoa, WSM
116.086296, 2080-2099, giss_e2_r, Sep Average, Samoa, WSM
116.507065, 2080-2099, giss_e2_r, Oct Average, Samoa, WSM
212.90956, 2080-2099, giss_e2_r, Nov Average, Samoa, WSM
257.21936, 2080-2099, giss_e2_r, Dec Average, Samoa, WSM
329.14676, 2080-2099, ipsl_cm5a_mr, Jan Average, Samoa, WSM
368.37466, 2080-2099, ipsl_cm5a_mr, Feb Average, Samoa, WSM
344.95728, 2080-2099, ipsl_cm5a_mr, Mar Average, Samoa, WSM
296.64517, 2080-2099, ipsl_cm5a_mr, Apr Average, Samoa, WSM
249.25954, 2080-2099, ipsl_cm5a_mr, May Average, Samoa, WSM
243.20512, 2080-2099, ipsl_cm5a_mr, Jun Average, Samoa, WSM
139.80222, 2080-2099, ipsl_cm5a_mr, Jul Average, Samoa, WSM
68.21238, 2080-2099, ipsl_cm5a_mr, Aug Average, Samoa, WSM
100.96864, 2080-2099, ipsl_cm5a_mr, Sep Average, Samoa, WSM
205.72803, 2080-2099, ipsl_cm5a_mr, Oct Average, Samoa, WSM
283.49283, 2080-2099, ipsl_cm5a_mr, Nov Average, Samoa, WSM
381.4452, 2080-2099, ipsl_cm5a_mr, Dec Average, Samoa, WSM
69.56294, 2080-2099, miroc_esm, Jan Average, Samoa, WSM
69.11006, 2080-2099, miroc_esm, Feb Average, Samoa, WSM
78.408325, 2080-2099, miroc_esm, Mar Average, Samoa, WSM
72.204605, 2080-2099, miroc_esm, Apr Average, Samoa, WSM
62.85302, 2080-2099, miroc_esm, May Average, Samoa, WSM
32.582153, 2080-2099, miroc_esm, Jun Average, Samoa, WSM
30.219173, 2080-2099, miroc_esm, Jul Average, Samoa, WSM
28.6596, 2080-2099, miroc_esm, Aug Average, Samoa, WSM
39.97701, 2080-2099, miroc_esm, Sep Average, Samoa, WSM
47.600807, 2080-2099, miroc_esm, Oct Average, Samoa, WSM
41.13881, 2080-2099, miroc_esm, Nov Average, Samoa, WSM
52.116314, 2080-2099, miroc_esm, Dec Average, Samoa, WSM
67.48989, 2080-2099, miroc_esm_chem, Jan Average, Samoa, WSM
69.6397, 2080-2099, miroc_esm_chem, Feb Average, Samoa, WSM
81.00982, 2080-2099, miroc_esm_chem, Mar Average, Samoa, WSM
76.265854, 2080-2099, miroc_esm_chem, Apr Average, Samoa, WSM
56.86755, 2080-2099, miroc_esm_chem, May Average, Samoa, WSM
24.1403, 2080-2099, miroc_esm_chem, Jun Average, Samoa, WSM
24.173065, 2080-2099, miroc_esm_chem, Jul Average, Samoa, WSM
27.758514, 2080-2099, miroc_esm_chem, Aug Average, Samoa, WSM
41.705414, 2080-2099, miroc_esm_chem, Sep Average, Samoa, WSM
39.114166, 2080-2099, miroc_esm_chem, Oct Average, Samoa, WSM
42.988365, 2080-2099, miroc_esm_chem, Nov Average, Samoa, WSM
45.87378, 2080-2099, miroc_esm_chem, Dec Average, Samoa, WSM
246.38176, 2080-2099, miroc5, Jan Average, Samoa, WSM
244.70586, 2080-2099, miroc5, Feb Average, Samoa, WSM
231.69188, 2080-2099, miroc5, Mar Average, Samoa, WSM
178.90073, 2080-2099, miroc5, Apr Average, Samoa, WSM
211.80615, 2080-2099, miroc5, May Average, Samoa, WSM
102.3219, 2080-2099, miroc5, Jun Average, Samoa, WSM
71.429146, 2080-2099, miroc5, Jul Average, Samoa, WSM
69.24728, 2080-2099, miroc5, Aug Average, Samoa, WSM
84.32969, 2080-2099, miroc5, Sep Average, Samoa, WSM
144.59128, 2080-2099, miroc5, Oct Average, Samoa, WSM
206.12857, 2080-2099, miroc5, Nov Average, Samoa, WSM
230.39561, 2080-2099, miroc5, Dec Average, Samoa, WSM
255.57631, 2080-2099, mri_cgcm3, Jan Average, Samoa, WSM
334.1335, 2080-2099, mri_cgcm3, Feb Average, Samoa, WSM
374.2318, 2080-2099, mri_cgcm3, Mar Average, Samoa, WSM
