Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.5445361, 2080-2099, gfdl_cm3, Jan Average, Afghanistan, AFG
3.722343, 2080-2099, gfdl_cm3, Feb Average, Afghanistan, AFG
8.774373, 2080-2099, gfdl_cm3, Mar Average, Afghanistan, AFG
13.647414, 2080-2099, gfdl_cm3, Apr Average, Afghanistan, AFG
20.02291, 2080-2099, gfdl_cm3, May Average, Afghanistan, AFG
26.495834, 2080-2099, gfdl_cm3, Jun Average, Afghanistan, AFG
30.131477, 2080-2099, gfdl_cm3, Jul Average, Afghanistan, AFG
29.48643, 2080-2099, gfdl_cm3, Aug Average, Afghanistan, AFG
24.20378, 2080-2099, gfdl_cm3, Sep Average, Afghanistan, AFG
17.098705, 2080-2099, gfdl_cm3, Oct Average, Afghanistan, AFG
9.04462, 2080-2099, gfdl_cm3, Nov Average, Afghanistan, AFG
3.4851322, 2080-2099, gfdl_cm3, Dec Average, Afghanistan, AFG
0.9853984, 2080-2099, gfdl_esm2m, Jan Average, Afghanistan, AFG
3.2598543, 2080-2099, gfdl_esm2m, Feb Average, Afghanistan, AFG
9.079726, 2080-2099, gfdl_esm2m, Mar Average, Afghanistan, AFG
14.945885, 2080-2099, gfdl_esm2m, Apr Average, Afghanistan, AFG
19.70425, 2080-2099, gfdl_esm2m, May Average, Afghanistan, AFG
26.710257, 2080-2099, gfdl_esm2m, Jun Average, Afghanistan, AFG
29.10185, 2080-2099, gfdl_esm2m, Jul Average, Afghanistan, AFG
27.578888, 2080-2099, gfdl_esm2m, Aug Average, Afghanistan, AFG
23.721182, 2080-2099, gfdl_esm2m, Sep Average, Afghanistan, AFG
15.406467, 2080-2099, gfdl_esm2m, Oct Average, Afghanistan, AFG
6.6156816, 2080-2099, gfdl_esm2m, Nov Average, Afghanistan, AFG
2.3356564, 2080-2099, gfdl_esm2m, Dec Average, Afghanistan, AFG
5.225783, 2080-2099, giss_e2_h, Jan Average, Afghanistan, AFG
7.193306, 2080-2099, giss_e2_h, Feb Average, Afghanistan, AFG
11.367396, 2080-2099, giss_e2_h, Mar Average, Afghanistan, AFG
16.293718, 2080-2099, giss_e2_h, Apr Average, Afghanistan, AFG
21.144432, 2080-2099, giss_e2_h, May Average, Afghanistan, AFG
24.199484, 2080-2099, giss_e2_h, Jun Average, Afghanistan, AFG
24.770893, 2080-2099, giss_e2_h, Jul Average, Afghanistan, AFG
24.004566, 2080-2099, giss_e2_h, Aug Average, Afghanistan, AFG
20.813519, 2080-2099, giss_e2_h, Sep Average, Afghanistan, AFG
16.3975, 2080-2099, giss_e2_h, Oct Average, Afghanistan, AFG
11.15886, 2080-2099, giss_e2_h, Nov Average, Afghanistan, AFG
5.9931254, 2080-2099, giss_e2_h, Dec Average, Afghanistan, AFG
4.678138, 2080-2099, giss_e2_r, Jan Average, Afghanistan, AFG
6.492654, 2080-2099, giss_e2_r, Feb Average, Afghanistan, AFG
10.5960045, 2080-2099, giss_e2_r, Mar Average, Afghanistan, AFG
15.622768, 2080-2099, giss_e2_r, Apr Average, Afghanistan, AFG
19.552277, 2080-2099, giss_e2_r, May Average, Afghanistan, AFG
22.479818, 2080-2099, giss_e2_r, Jun Average, Afghanistan, AFG
23.381601, 2080-2099, giss_e2_r, Jul Average, Afghanistan, AFG
22.326393, 2080-2099, giss_e2_r, Aug Average, Afghanistan, AFG
20.619177, 2080-2099, giss_e2_r, Sep Average, Afghanistan, AFG
15.994744, 2080-2099, giss_e2_r, Oct Average, Afghanistan, AFG
9.426438, 2080-2099, giss_e2_r, Nov Average, Afghanistan, AFG
5.851328, 2080-2099, giss_e2_r, Dec Average, Afghanistan, AFG
1.1161143, 2080-2099, ipsl_cm5a_mr, Jan Average, Afghanistan, AFG
4.37956, 2080-2099, ipsl_cm5a_mr, Feb Average, Afghanistan, AFG
