Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
31.104525, 2080-2099, bcc_csm1_1, Jan Average, Samoa, WSM
31.149479, 2080-2099, bcc_csm1_1, Feb Average, Samoa, WSM
31.20954, 2080-2099, bcc_csm1_1, Mar Average, Samoa, WSM
31.279463, 2080-2099, bcc_csm1_1, Apr Average, Samoa, WSM
30.93414, 2080-2099, bcc_csm1_1, May Average, Samoa, WSM
30.243944, 2080-2099, bcc_csm1_1, Jun Average, Samoa, WSM
29.445488, 2080-2099, bcc_csm1_1, Jul Average, Samoa, WSM
29.019165, 2080-2099, bcc_csm1_1, Aug Average, Samoa, WSM
29.006804, 2080-2099, bcc_csm1_1, Sep Average, Samoa, WSM
29.328547, 2080-2099, bcc_csm1_1, Oct Average, Samoa, WSM
29.91296, 2080-2099, bcc_csm1_1, Nov Average, Samoa, WSM
30.697456, 2080-2099, bcc_csm1_1, Dec Average, Samoa, WSM
32.143894, 2080-2099, bcc_csm1_1_m, Jan Average, Samoa, WSM
32.41429, 2080-2099, bcc_csm1_1_m, Feb Average, Samoa, WSM
32.65802, 2080-2099, bcc_csm1_1_m, Mar Average, Samoa, WSM
32.519775, 2080-2099, bcc_csm1_1_m, Apr Average, Samoa, WSM
31.800556, 2080-2099, bcc_csm1_1_m, May Average, Samoa, WSM
30.772058, 2080-2099, bcc_csm1_1_m, Jun Average, Samoa, WSM
29.983929, 2080-2099, bcc_csm1_1_m, Jul Average, Samoa, WSM
29.63721, 2080-2099, bcc_csm1_1_m, Aug Average, Samoa, WSM
29.558811, 2080-2099, bcc_csm1_1_m, Sep Average, Samoa, WSM
29.922325, 2080-2099, bcc_csm1_1_m, Oct Average, Samoa, WSM
30.470388, 2080-2099, bcc_csm1_1_m, Nov Average, Samoa, WSM
31.301464, 2080-2099, bcc_csm1_1_m, Dec Average, Samoa, WSM
30.505857, 2080-2099, ccsm4, Jan Average, Samoa, WSM
30.874552, 2080-2099, ccsm4, Feb Average, Samoa, WSM
30.94212, 2080-2099, ccsm4, Mar Average, Samoa, WSM
30.883278, 2080-2099, ccsm4, Apr Average, Samoa, WSM
30.65332, 2080-2099, ccsm4, May Average, Samoa, WSM
30.0317, 2080-2099, ccsm4, Jun Average, Samoa, WSM
29.407072, 2080-2099, ccsm4, Jul Average, Samoa, WSM
29.191097, 2080-2099, ccsm4, Aug Average, Samoa, WSM
29.133204, 2080-2099, ccsm4, Sep Average, Samoa, WSM
29.282492, 2080-2099, ccsm4, Oct Average, Samoa, WSM
29.737253, 2080-2099, ccsm4, Nov Average, Samoa, WSM
30.235355, 2080-2099, ccsm4, Dec Average, Samoa, WSM
30.27905, 2080-2099, cesm1_cam5, Jan Average, Samoa, WSM
30.551687, 2080-2099, cesm1_cam5, Feb Average, Samoa, WSM
30.516354, 2080-2099, cesm1_cam5, Mar Average, Samoa, WSM
30.595137, 2080-2099, cesm1_cam5, Apr Average, Samoa, WSM
30.416586, 2080-2099, cesm1_cam5, May Average, Samoa, WSM
29.708447, 2080-2099, cesm1_cam5, Jun Average, Samoa, WSM
29.058037, 2080-2099, cesm1_cam5, Jul Average, Samoa, WSM
28.721205, 2080-2099, cesm1_cam5, Aug Average, Samoa, WSM
28.879152, 2080-2099, cesm1_cam5, Sep Average, Samoa, WSM
29.096148, 2080-2099, cesm1_cam5, Oct Average, Samoa, WSM
29.531496, 2080-2099, cesm1_cam5, Nov Average, Samoa, WSM
30.048862, 2080-2099, cesm1_cam5, Dec Average, Samoa, WSM
31.350454, 2080-2099, csiro_mk3_6_0, Jan Average, Samoa, WSM
31.44522, 2080-2099, csiro_mk3_6_0, Feb Average, Samoa, WSM
31.601822, 2080-2099, csiro_mk3_6_0, Mar Average, Samoa, WSM
31.32954, 2080-2099, csiro_mk3_6_0, Apr Average, Samoa, WSM
30.515306, 2080-2099, csiro_mk3_6_0, May Average, Samoa, WSM
29.647781, 2080-2099, csiro_mk3_6_0, Jun Average, Samoa, WSM
29.247887, 2080-2099, csiro_mk3_6_0, Jul Average, Samoa, WSM
29.093582, 2080-2099, csiro_mk3_6_0, Aug Average, Samoa, WSM
29.462986, 2080-2099, csiro_mk3_6_0, Sep Average, Samoa, WSM
30.102402, 2080-2099, csiro_mk3_6_0, Oct Average, Samoa, WSM
30.752825, 2080-2099, csiro_mk3_6_0, Nov Average, Samoa, WSM
31.1802, 2080-2099, csiro_mk3_6_0, Dec Average, Samoa, WSM
29.932178, 2080-2099, fio_esm, Jan Average, Samoa, WSM
30.333147, 2080-2099, fio_esm, Feb Average, Samoa, WSM
30.530222, 2080-2099, fio_esm, Mar Average, Samoa, WSM
30.483145, 2080-2099, fio_esm, Apr Average, Samoa, WSM
30.105316, 2080-2099, fio_esm, May Average, Samoa, WSM
29.354622, 2080-2099, fio_esm, Jun Average, Samoa, WSM
28.552298, 2080-2099, fio_esm, Jul Average, Samoa, WSM
28.16029, 2080-2099, fio_esm, Aug Average, Samoa, WSM
28.11645, 2080-2099, fio_esm, Sep Average, Samoa, WSM
28.333912, 2080-2099, fio_esm, Oct Average, Samoa, WSM
28.875454, 2080-2099, fio_esm, Nov Average, Samoa, WSM
29.509672, 2080-2099, fio_esm, Dec Average, Samoa, WSM
31.589685, 2080-2099, gfdl_cm3, Jan Average, Samoa, WSM
31.671019, 2080-2099, gfdl_cm3, Feb Average, Samoa, WSM
31.543207, 2080-2099, gfdl_cm3, Mar Average, Samoa, WSM
31.320753, 2080-2099, gfdl_cm3, Apr Average, Samoa, WSM
30.780373, 2080-2099, gfdl_cm3, May Average, Samoa, WSM
29.594425, 2080-2099, gfdl_cm3, Jun Average, Samoa, WSM
28.737867, 2080-2099, gfdl_cm3, Jul Average, Samoa, WSM
28.599213, 2080-2099, gfdl_cm3, Aug Average, Samoa, WSM
29.070082, 2080-2099, gfdl_cm3, Sep Average, Samoa, WSM
29.928865, 2080-2099, gfdl_cm3, Oct Average, Samoa, WSM
30.555662, 2080-2099, gfdl_cm3, Nov Average, Samoa, WSM
31.176407, 2080-2099, gfdl_cm3, Dec Average, Samoa, WSM
30.362526, 2080-2099, gfdl_esm2m, Jan Average, Samoa, WSM
30.790745, 2080-2099, gfdl_esm2m, Feb Average, Samoa, WSM
30.889372, 2080-2099, gfdl_esm2m, Mar Average, Samoa, WSM
