Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
119.75959, 2080-2099, bcc_csm1_1, Jan Average, Denmark, DNK
100.950615, 2080-2099, bcc_csm1_1, Feb Average, Denmark, DNK
99.40821, 2080-2099, bcc_csm1_1, Mar Average, Denmark, DNK
75.22758, 2080-2099, bcc_csm1_1, Apr Average, Denmark, DNK
51.87952, 2080-2099, bcc_csm1_1, May Average, Denmark, DNK
38.341114, 2080-2099, bcc_csm1_1, Jun Average, Denmark, DNK
37.406914, 2080-2099, bcc_csm1_1, Jul Average, Denmark, DNK
33.666275, 2080-2099, bcc_csm1_1, Aug Average, Denmark, DNK
58.476444, 2080-2099, bcc_csm1_1, Sep Average, Denmark, DNK
121.66057, 2080-2099, bcc_csm1_1, Oct Average, Denmark, DNK
125.61735, 2080-2099, bcc_csm1_1, Nov Average, Denmark, DNK
126.51105, 2080-2099, bcc_csm1_1, Dec Average, Denmark, DNK
122.982285, 2080-2099, bcc_csm1_1_m, Jan Average, Denmark, DNK
103.13058, 2080-2099, bcc_csm1_1_m, Feb Average, Denmark, DNK
103.18423, 2080-2099, bcc_csm1_1_m, Mar Average, Denmark, DNK
81.01749, 2080-2099, bcc_csm1_1_m, Apr Average, Denmark, DNK
55.16635, 2080-2099, bcc_csm1_1_m, May Average, Denmark, DNK
40.79908, 2080-2099, bcc_csm1_1_m, Jun Average, Denmark, DNK
41.33805, 2080-2099, bcc_csm1_1_m, Jul Average, Denmark, DNK
27.840403, 2080-2099, bcc_csm1_1_m, Aug Average, Denmark, DNK
69.41856, 2080-2099, bcc_csm1_1_m, Sep Average, Denmark, DNK
120.43079, 2080-2099, bcc_csm1_1_m, Oct Average, Denmark, DNK
143.9809, 2080-2099, bcc_csm1_1_m, Nov Average, Denmark, DNK
144.4348, 2080-2099, bcc_csm1_1_m, Dec Average, Denmark, DNK
123.835884, 2080-2099, ccsm4, Jan Average, Denmark, DNK
98.34059, 2080-2099, ccsm4, Feb Average, Denmark, DNK
66.81872, 2080-2099, ccsm4, Mar Average, Denmark, DNK
54.1796, 2080-2099, ccsm4, Apr Average, Denmark, DNK
50.769035, 2080-2099, ccsm4, May Average, Denmark, DNK
53.403145, 2080-2099, ccsm4, Jun Average, Denmark, DNK
41.917034, 2080-2099, ccsm4, Jul Average, Denmark, DNK
72.30523, 2080-2099, ccsm4, Aug Average, Denmark, DNK
84.027245, 2080-2099, ccsm4, Sep Average, Denmark, DNK
125.96478, 2080-2099, ccsm4, Oct Average, Denmark, DNK
134.82352, 2080-2099, ccsm4, Nov Average, Denmark, DNK
132.52443, 2080-2099, ccsm4, Dec Average, Denmark, DNK
110.55093, 2080-2099, cesm1_cam5, Jan Average, Denmark, DNK
98.05469, 2080-2099, cesm1_cam5, Feb Average, Denmark, DNK
66.59494, 2080-2099, cesm1_cam5, Mar Average, Denmark, DNK
50.615322, 2080-2099, cesm1_cam5, Apr Average, Denmark, DNK
38.80013, 2080-2099, cesm1_cam5, May Average, Denmark, DNK
34.923927, 2080-2099, cesm1_cam5, Jun Average, Denmark, DNK
47.824997, 2080-2099, cesm1_cam5, Jul Average, Denmark, DNK
68.938286, 2080-2099, cesm1_cam5, Aug Average, Denmark, DNK
80.36095, 2080-2099, cesm1_cam5, Sep Average, Denmark, DNK
102.633736, 2080-2099, cesm1_cam5, Oct Average, Denmark, DNK
134.7669, 2080-2099, cesm1_cam5, Nov Average, Denmark, DNK
146.94168, 2080-2099, cesm1_cam5, Dec Average, Denmark, DNK
83.176186, 2080-2099, csiro_mk3_6_0, Jan Average, Denmark, DNK
63.12122, 2080-2099, csiro_mk3_6_0, Feb Average, Denmark, DNK
64.81632, 2080-2099, csiro_mk3_6_0, Mar Average, Denmark, DNK
58.589363, 2080-2099, csiro_mk3_6_0, Apr Average, Denmark, DNK
47.674034, 2080-2099, csiro_mk3_6_0, May Average, Denmark, DNK
53.643425, 2080-2099, csiro_mk3_6_0, Jun Average, Denmark, DNK
47.100254, 2080-2099, csiro_mk3_6_0, Jul Average, Denmark, DNK
49.22968, 2080-2099, csiro_mk3_6_0, Aug Average, Denmark, DNK
49.92056, 2080-2099, csiro_mk3_6_0, Sep Average, Denmark, DNK
111.72694, 2080-2099, csiro_mk3_6_0, Oct Average, Denmark, DNK
102.4286, 2080-2099, csiro_mk3_6_0, Nov Average, Denmark, DNK
101.36223, 2080-2099, csiro_mk3_6_0, Dec Average, Denmark, DNK
124.64889, 2080-2099, fio_esm, Jan Average, Denmark, DNK
106.17477, 2080-2099, fio_esm, Feb Average, Denmark, DNK
91.284615, 2080-2099, fio_esm, Mar Average, Denmark, DNK
60.69826, 2080-2099, fio_esm, Apr Average, Denmark, DNK
51.448833, 2080-2099, fio_esm, May Average, Denmark, DNK
31.376068, 2080-2099, fio_esm, Jun Average, Denmark, DNK
44.581142, 2080-2099, fio_esm, Jul Average, Denmark, DNK
57.797695, 2080-2099, fio_esm, Aug Average, Denmark, DNK
79.40319, 2080-2099, fio_esm, Sep Average, Denmark, DNK
100.09173, 2080-2099, fio_esm, Oct Average, Denmark, DNK
104.72583, 2080-2099, fio_esm, Nov Average, Denmark, DNK
117.374466, 2080-2099, fio_esm, Dec Average, Denmark, DNK
97.490204, 2080-2099, gfdl_cm3, Jan Average, Denmark, DNK
68.80095, 2080-2099, gfdl_cm3, Feb Average, Denmark, DNK
69.08908, 2080-2099, gfdl_cm3, Mar Average, Denmark, DNK
57.50391, 2080-2099, gfdl_cm3, Apr Average, Denmark, DNK
38.79999, 2080-2099, gfdl_cm3, May Average, Denmark, DNK
41.554085, 2080-2099, gfdl_cm3, Jun Average, Denmark, DNK
32.86879, 2080-2099, gfdl_cm3, Jul Average, Denmark, DNK
47.070663, 2080-2099, gfdl_cm3, Aug Average, Denmark, DNK
89.32777, 2080-2099, gfdl_cm3, Sep Average, Denmark, DNK
118.66639, 2080-2099, gfdl_cm3, Oct Average, Denmark, DNK
130.01381, 2080-2099, gfdl_cm3, Nov Average, Denmark, DNK
129.17093, 2080-2099, gfdl_cm3, Dec Average, Denmark, DNK
113.18489, 2080-2099, gfdl_esm2m, Jan Average, Denmark, DNK
71.83491, 2080-2099, gfdl_esm2m, Feb Average, Denmark, DNK
73.77999, 2080-2099, gfdl_esm2m, Mar Average, Denmark, DNK
54.75723, 2080-2099, gfdl_esm2m, Apr Average, Denmark, DNK
44.10694, 2080-2099, gfdl_esm2m, May Average, Denmark, DNK
53.89485, 2080-2099, gfdl_esm2m, Jun Average, Denmark, DNK
55.16063, 2080-2099, gfdl_esm2m, Jul Average, Denmark, DNK
63.735203, 2080-2099, gfdl_esm2m, Aug Average, Denmark, DNK
95.65194, 2080-2099, gfdl_esm2m, Sep Average, Denmark, DNK
122.008995, 2080-2099, gfdl_esm2m, Oct Average, Denmark, DNK
112.413475, 2080-2099, gfdl_esm2m, Nov Average, Denmark, DNK
121.64171, 2080-2099, gfdl_esm2m, Dec Average, Denmark, DNK
98.63018, 2080-2099, giss_e2_h, Jan Average, Denmark, DNK
73.643845, 2080-2099, giss_e2_h, Feb Average, Denmark, DNK
69.39363, 2080-2099, giss_e2_h, Mar Average, Denmark, DNK
75.609276, 2080-2099, giss_e2_h, Apr Average, Denmark, DNK
89.74603, 2080-2099, giss_e2_h, May Average, Denmark, DNK
96.17361, 2080-2099, giss_e2_h, Jun Average, Denmark, DNK
84.444046, 2080-2099, giss_e2_h, Jul Average, Denmark, DNK
114.63602, 2080-2099, giss_e2_h, Aug Average, Denmark, DNK
118.72288, 2080-2099, giss_e2_h, Sep Average, Denmark, DNK
124.50711, 2080-2099, giss_e2_h, Oct Average, Denmark, DNK
116.77127, 2080-2099, giss_e2_h, Nov Average, Denmark, DNK
120.438736, 2080-2099, giss_e2_h, Dec Average, Denmark, DNK
92.94496, 2080-2099, giss_e2_r, Jan Average, Denmark, DNK
69.17148, 2080-2099, giss_e2_r, Feb Average, Denmark, DNK
73.06679, 2080-2099, giss_e2_r, Mar Average, Denmark, DNK
49.971375, 2080-2099, giss_e2_r, Apr Average, Denmark, DNK
44.830326, 2080-2099, giss_e2_r, May Average, Denmark, DNK
47.87928, 2080-2099, giss_e2_r, Jun Average, Denmark, DNK
57.110085, 2080-2099, giss_e2_r, Jul Average, Denmark, DNK
84.098694, 2080-2099, giss_e2_r, Aug Average, Denmark, DNK
98.978455, 2080-2099, giss_e2_r, Sep Average, Denmark, DNK
120.09505, 2080-2099, giss_e2_r, Oct Average, Denmark, DNK
115.29157, 2080-2099, giss_e2_r, Nov Average, Denmark, DNK
118.5854, 2080-2099, giss_e2_r, Dec Average, Denmark, DNK
119.35358, 2080-2099, ipsl_cm5a_mr, Jan Average, Denmark, DNK
93.91374, 2080-2099, ipsl_cm5a_mr, Feb Average, Denmark, DNK
70.83376, 2080-2099, ipsl_cm5a_mr, Mar Average, Denmark, DNK
63.926357, 2080-2099, ipsl_cm5a_mr, Apr Average, Denmark, DNK
43.949776, 2080-2099, ipsl_cm5a_mr, May Average, Denmark, DNK
29.700796, 2080-2099, ipsl_cm5a_mr, Jun Average, Denmark, DNK
24.164692, 2080-2099, ipsl_cm5a_mr, Jul Average, Denmark, DNK
56.73777, 2080-2099, ipsl_cm5a_mr, Aug Average, Denmark, DNK
53.730087, 2080-2099, ipsl_cm5a_mr, Sep Average, Denmark, DNK
99.10679, 2080-2099, ipsl_cm5a_mr, Oct Average, Denmark, DNK
124.952614, 2080-2099, ipsl_cm5a_mr, Nov Average, Denmark, DNK
138.34645, 2080-2099, ipsl_cm5a_mr, Dec Average, Denmark, DNK
136.71716, 2080-2099, miroc_esm, Jan Average, Denmark, DNK
103.83071, 2080-2099, miroc_esm, Feb Average, Denmark, DNK
97.24458, 2080-2099, miroc_esm, Mar Average, Denmark, DNK
60.284374, 2080-2099, miroc_esm, Apr Average, Denmark, DNK
37.125626, 2080-2099, miroc_esm, May Average, Denmark, DNK
29.525448, 2080-2099, miroc_esm, Jun Average, Denmark, DNK
