Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
30.128073, 2080-2099, gfdl_cm3, Jan Average, Afghanistan, AFG
24.75671, 2080-2099, gfdl_cm3, Feb Average, Afghanistan, AFG
53.554245, 2080-2099, gfdl_cm3, Mar Average, Afghanistan, AFG
46.18978, 2080-2099, gfdl_cm3, Apr Average, Afghanistan, AFG
27.61842, 2080-2099, gfdl_cm3, May Average, Afghanistan, AFG
8.328465, 2080-2099, gfdl_cm3, Jun Average, Afghanistan, AFG
5.7085204, 2080-2099, gfdl_cm3, Jul Average, Afghanistan, AFG
4.6907487, 2080-2099, gfdl_cm3, Aug Average, Afghanistan, AFG
7.0856915, 2080-2099, gfdl_cm3, Sep Average, Afghanistan, AFG
13.083232, 2080-2099, gfdl_cm3, Oct Average, Afghanistan, AFG
30.500834, 2080-2099, gfdl_cm3, Nov Average, Afghanistan, AFG
22.3576, 2080-2099, gfdl_cm3, Dec Average, Afghanistan, AFG
13.346127, 2080-2099, gfdl_esm2m, Jan Average, Afghanistan, AFG
8.214147, 2080-2099, gfdl_esm2m, Feb Average, Afghanistan, AFG
23.975613, 2080-2099, gfdl_esm2m, Mar Average, Afghanistan, AFG
29.350134, 2080-2099, gfdl_esm2m, Apr Average, Afghanistan, AFG
21.058472, 2080-2099, gfdl_esm2m, May Average, Afghanistan, AFG
5.243021, 2080-2099, gfdl_esm2m, Jun Average, Afghanistan, AFG
1.0973346, 2080-2099, gfdl_esm2m, Jul Average, Afghanistan, AFG
0.7503996, 2080-2099, gfdl_esm2m, Aug Average, Afghanistan, AFG
3.8932228, 2080-2099, gfdl_esm2m, Sep Average, Afghanistan, AFG
19.579327, 2080-2099, gfdl_esm2m, Oct Average, Afghanistan, AFG
28.230017, 2080-2099, gfdl_esm2m, Nov Average, Afghanistan, AFG
20.598515, 2080-2099, gfdl_esm2m, Dec Average, Afghanistan, AFG
30.752258, 2080-2099, giss_e2_h, Jan Average, Afghanistan, AFG
36.21079, 2080-2099, giss_e2_h, Feb Average, Afghanistan, AFG
49.131245, 2080-2099, giss_e2_h, Mar Average, Afghanistan, AFG
47.29676, 2080-2099, giss_e2_h, Apr Average, Afghanistan, AFG
30.058794, 2080-2099, giss_e2_h, May Average, Afghanistan, AFG
25.467484, 2080-2099, giss_e2_h, Jun Average, Afghanistan, AFG
28.799826, 2080-2099, giss_e2_h, Jul Average, Afghanistan, AFG
21.616583, 2080-2099, giss_e2_h, Aug Average, Afghanistan, AFG
9.856316, 2080-2099, giss_e2_h, Sep Average, Afghanistan, AFG
18.322418, 2080-2099, giss_e2_h, Oct Average, Afghanistan, AFG
22.688036, 2080-2099, giss_e2_h, Nov Average, Afghanistan, AFG
32.794266, 2080-2099, giss_e2_h, Dec Average, Afghanistan, AFG
34.112576, 2080-2099, giss_e2_r, Jan Average, Afghanistan, AFG
40.28492, 2080-2099, giss_e2_r, Feb Average, Afghanistan, AFG
52.17397, 2080-2099, giss_e2_r, Mar Average, Afghanistan, AFG
47.286144, 2080-2099, giss_e2_r, Apr Average, Afghanistan, AFG
28.225054, 2080-2099, giss_e2_r, May Average, Afghanistan, AFG
25.400711, 2080-2099, giss_e2_r, Jun Average, Afghanistan, AFG
20.120152, 2080-2099, giss_e2_r, Jul Average, Afghanistan, AFG
24.750174, 2080-2099, giss_e2_r, Aug Average, Afghanistan, AFG
14.785566, 2080-2099, giss_e2_r, Sep Average, Afghanistan, AFG
20.474146, 2080-2099, giss_e2_r, Oct Average, Afghanistan, AFG
46.193348, 2080-2099, giss_e2_r, Nov Average, Afghanistan, AFG
34.670315, 2080-2099, giss_e2_r, Dec Average, Afghanistan, AFG
17.105944, 2080-2099, ipsl_cm5a_mr, Jan Average, Afghanistan, AFG
18.333078, 2080-2099, ipsl_cm5a_mr, Feb Average, Afghanistan, AFG
16.044037, 2080-2099, ipsl_cm5a_mr, Mar Average, Afghanistan, AFG
11.858882, 2080-2099, ipsl_cm5a_mr, Apr Average, Afghanistan, AFG
5.11473, 2080-2099, ipsl_cm5a_mr, May Average, Afghanistan, AFG
4.375993, 2080-2099, ipsl_cm5a_mr, Jun Average, Afghanistan, AFG
2.5535767, 2080-2099, ipsl_cm5a_mr, Jul Average, Afghanistan, AFG
1.907051, 2080-2099, ipsl_cm5a_mr, Aug Average, Afghanistan, AFG
9.085552, 2080-2099, ipsl_cm5a_mr, Sep Average, Afghanistan, AFG
6.7875113, 2080-2099, ipsl_cm5a_mr, Oct Average, Afghanistan, AFG
9.716855, 2080-2099, ipsl_cm5a_mr, Nov Average, Afghanistan, AFG
14.57285, 2080-2099, ipsl_cm5a_mr, Dec Average, Afghanistan, AFG
30.298304, 2080-2099, miroc_esm, Jan Average, Afghanistan, AFG
25.500074, 2080-2099, miroc_esm, Feb Average, Afghanistan, AFG
36.863525, 2080-2099, miroc_esm, Mar Average, Afghanistan, AFG
41.732735, 2080-2099, miroc_esm, Apr Average, Afghanistan, AFG
39.47799, 2080-2099, miroc_esm, May Average, Afghanistan, AFG
19.303911, 2080-2099, miroc_esm, Jun Average, Afghanistan, AFG
35.79264, 2080-2099, miroc_esm, Jul Average, Afghanistan, AFG
62.463634, 2080-2099, miroc_esm, Aug Average, Afghanistan, AFG
29.641111, 2080-2099, miroc_esm, Sep Average, Afghanistan, AFG
32.601387, 2080-2099, miroc_esm, Oct Average, Afghanistan, AFG
10.898899, 2080-2099, miroc_esm, Nov Average, Afghanistan, AFG
12.1977005, 2080-2099, miroc_esm, Dec Average, Afghanistan, AFG
20.328974, 2080-2099, miroc_esm_chem, Jan Average, Afghanistan, AFG
17.440838, 2080-2099, miroc_esm_chem, Feb Average, Afghanistan, AFG
28.187891, 2080-2099, miroc_esm_chem, Mar Average, Afghanistan, AFG
40.32292, 2080-2099, miroc_esm_chem, Apr Average, Afghanistan, AFG
33.53553, 2080-2099, miroc_esm_chem, May Average, Afghanistan, AFG
16.949257, 2080-2099, miroc_esm_chem, Jun Average, Afghanistan, AFG
35.185806, 2080-2099, miroc_esm_chem, Jul Average, Afghanistan, AFG
45.824272, 2080-2099, miroc_esm_chem, Aug Average, Afghanistan, AFG
