Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
30.146345, 2080-2099, bcc_csm1_1, Jan Average, Samoa, WSM
30.334507, 2080-2099, bcc_csm1_1, Feb Average, Samoa, WSM
30.300512, 2080-2099, bcc_csm1_1, Mar Average, Samoa, WSM
30.343699, 2080-2099, bcc_csm1_1, Apr Average, Samoa, WSM
29.917871, 2080-2099, bcc_csm1_1, May Average, Samoa, WSM
29.211933, 2080-2099, bcc_csm1_1, Jun Average, Samoa, WSM
28.548326, 2080-2099, bcc_csm1_1, Jul Average, Samoa, WSM
28.26052, 2080-2099, bcc_csm1_1, Aug Average, Samoa, WSM
28.256243, 2080-2099, bcc_csm1_1, Sep Average, Samoa, WSM
28.519829, 2080-2099, bcc_csm1_1, Oct Average, Samoa, WSM
28.935425, 2080-2099, bcc_csm1_1, Nov Average, Samoa, WSM
29.610186, 2080-2099, bcc_csm1_1, Dec Average, Samoa, WSM
31.106525, 2080-2099, bcc_csm1_1_m, Jan Average, Samoa, WSM
31.33349, 2080-2099, bcc_csm1_1_m, Feb Average, Samoa, WSM
31.578083, 2080-2099, bcc_csm1_1_m, Mar Average, Samoa, WSM
31.507193, 2080-2099, bcc_csm1_1_m, Apr Average, Samoa, WSM
30.773909, 2080-2099, bcc_csm1_1_m, May Average, Samoa, WSM
29.651186, 2080-2099, bcc_csm1_1_m, Jun Average, Samoa, WSM
28.828606, 2080-2099, bcc_csm1_1_m, Jul Average, Samoa, WSM
28.503822, 2080-2099, bcc_csm1_1_m, Aug Average, Samoa, WSM
28.407623, 2080-2099, bcc_csm1_1_m, Sep Average, Samoa, WSM
28.788822, 2080-2099, bcc_csm1_1_m, Oct Average, Samoa, WSM
29.520208, 2080-2099, bcc_csm1_1_m, Nov Average, Samoa, WSM
30.36421, 2080-2099, bcc_csm1_1_m, Dec Average, Samoa, WSM
29.640846, 2080-2099, ccsm4, Jan Average, Samoa, WSM
29.858946, 2080-2099, ccsm4, Feb Average, Samoa, WSM
29.87841, 2080-2099, ccsm4, Mar Average, Samoa, WSM
29.772741, 2080-2099, ccsm4, Apr Average, Samoa, WSM
29.476076, 2080-2099, ccsm4, May Average, Samoa, WSM
28.913721, 2080-2099, ccsm4, Jun Average, Samoa, WSM
28.351229, 2080-2099, ccsm4, Jul Average, Samoa, WSM
28.059488, 2080-2099, ccsm4, Aug Average, Samoa, WSM
28.0317, 2080-2099, ccsm4, Sep Average, Samoa, WSM
28.221756, 2080-2099, ccsm4, Oct Average, Samoa, WSM
28.664728, 2080-2099, ccsm4, Nov Average, Samoa, WSM
29.205734, 2080-2099, ccsm4, Dec Average, Samoa, WSM
29.381735, 2080-2099, cesm1_cam5, Jan Average, Samoa, WSM
29.636162, 2080-2099, cesm1_cam5, Feb Average, Samoa, WSM
29.751526, 2080-2099, cesm1_cam5, Mar Average, Samoa, WSM
29.486578, 2080-2099, cesm1_cam5, Apr Average, Samoa, WSM
29.15279, 2080-2099, cesm1_cam5, May Average, Samoa, WSM
28.49465, 2080-2099, cesm1_cam5, Jun Average, Samoa, WSM
27.864698, 2080-2099, cesm1_cam5, Jul Average, Samoa, WSM
27.730497, 2080-2099, cesm1_cam5, Aug Average, Samoa, WSM
27.948025, 2080-2099, cesm1_cam5, Sep Average, Samoa, WSM
28.187796, 2080-2099, cesm1_cam5, Oct Average, Samoa, WSM
28.550297, 2080-2099, cesm1_cam5, Nov Average, Samoa, WSM
29.014862, 2080-2099, cesm1_cam5, Dec Average, Samoa, WSM
29.682487, 2080-2099, csiro_mk3_6_0, Jan Average, Samoa, WSM
29.970795, 2080-2099, csiro_mk3_6_0, Feb Average, Samoa, WSM
29.961563, 2080-2099, csiro_mk3_6_0, Mar Average, Samoa, WSM
29.9394, 2080-2099, csiro_mk3_6_0, Apr Average, Samoa, WSM
29.248549, 2080-2099, csiro_mk3_6_0, May Average, Samoa, WSM
28.39636, 2080-2099, csiro_mk3_6_0, Jun Average, Samoa, WSM
27.769415, 2080-2099, csiro_mk3_6_0, Jul Average, Samoa, WSM
27.671732, 2080-2099, csiro_mk3_6_0, Aug Average, Samoa, WSM
27.876339, 2080-2099, csiro_mk3_6_0, Sep Average, Samoa, WSM
28.4803, 2080-2099, csiro_mk3_6_0, Oct Average, Samoa, WSM
29.189278, 2080-2099, csiro_mk3_6_0, Nov Average, Samoa, WSM
29.374565, 2080-2099, csiro_mk3_6_0, Dec Average, Samoa, WSM
28.848219, 2080-2099, fio_esm, Jan Average, Samoa, WSM
29.179764, 2080-2099, fio_esm, Feb Average, Samoa, WSM
29.285795, 2080-2099, fio_esm, Mar Average, Samoa, WSM
29.262943, 2080-2099, fio_esm, Apr Average, Samoa, WSM
28.886297, 2080-2099, fio_esm, May Average, Samoa, WSM
28.22403, 2080-2099, fio_esm, Jun Average, Samoa, WSM
27.57917, 2080-2099, fio_esm, Jul Average, Samoa, WSM
27.070957, 2080-2099, fio_esm, Aug Average, Samoa, WSM
26.934723, 2080-2099, fio_esm, Sep Average, Samoa, WSM
27.15322, 2080-2099, fio_esm, Oct Average, Samoa, WSM
27.748138, 2080-2099, fio_esm, Nov Average, Samoa, WSM
28.361149, 2080-2099, fio_esm, Dec Average, Samoa, WSM
30.37139, 2080-2099, gfdl_cm3, Jan Average, Samoa, WSM
30.356638, 2080-2099, gfdl_cm3, Feb Average, Samoa, WSM
30.317055, 2080-2099, gfdl_cm3, Mar Average, Samoa, WSM
30.087566, 2080-2099, gfdl_cm3, Apr Average, Samoa, WSM
29.474514, 2080-2099, gfdl_cm3, May Average, Samoa, WSM
28.2983, 2080-2099, gfdl_cm3, Jun Average, Samoa, WSM
27.745453, 2080-2099, gfdl_cm3, Jul Average, Samoa, WSM
27.73756, 2080-2099, gfdl_cm3, Aug Average, Samoa, WSM
28.237806, 2080-2099, gfdl_cm3, Sep Average, Samoa, WSM
28.710968, 2080-2099, gfdl_cm3, Oct Average, Samoa, WSM
29.313448, 2080-2099, gfdl_cm3, Nov Average, Samoa, WSM
29.741877, 2080-2099, gfdl_cm3, Dec Average, Samoa, WSM
29.416935, 2080-2099, gfdl_esm2m, Jan Average, Samoa, WSM
29.794271, 2080-2099, gfdl_esm2m, Feb Average, Samoa, WSM
29.845789, 2080-2099, gfdl_esm2m, Mar Average, Samoa, WSM
29.529747, 2080-2099, gfdl_esm2m, Apr Average, Samoa, WSM
