eq,estimate,stderr,dof,t,p,min90,max90,x
"prec",.0640764,.04905865,100,1.3061181,.19450879,-.01737246,.14552526,0
"prec",.05785609,.04533081,100,1.2763085,.20480273,-.01740367,.13311586,1
"prec",.05163579,.04160908,100,1.240974,.21751871,-.01744504,.12071662,2
"prec",.04541549,.03789529,100,1.1984469,.23357557,-.01749956,.10833054,3
"prec",.03919519,.034192,100,1.1463263,.25439576,-.01757154,.09596191,4
"prec",.03297488,.03050304,100,1.0810358,.28228135,-.01766732,.08361709,5
"prec",.02675458,.02683434,100,.99702762,.32115758,-.01779672,.07130588,6
"prec",.02053428,.0231955,100,.8852699,.37813483,-.01797569,.05904425,7
"prec",.01431398,.01960316,100,.73018729,.46698287,-.01823186,.04685981,8
"prec",.00809368,.01608849,100,.50307253,.61601953,-.01861698,.03480433,9
"prec",.00187337,.01271606,100,.14732331,.88317346,-.01923826,.022985,10
"prec",-.00434693,.00963638,100,-.4510958,.65289719,-.02034559,.01165172,11
"prec",-.01056724,.00723359,100,-1.4608558,.14718999,-.0225767,.00144222,12
"prec",-.01678753,.0063319,100,-2.6512626,.00932522,-.02729997,-.00627509,13
"prec",-.02300784,.00749428,100,-3.0700544,.0027557,-.03545009,-.01056558,14
"prec",-.02922814,.01002689,100,-2.9149756,.00439026,-.04587513,-.01258115,15
"prec",-.03544844,.01316116,100,-2.6934143,.00829482,-.05729905,-.01359784,16
"prec",-.04166875,.01655888,100,-2.5163984,.01344656,-.06916038,-.01417712,17
"prec",-.04788905,.02008682,100,-2.3841032,.01900736,-.08123787,-.01454022,18
"prec",-.05410935,.02368685,100,-2.2843619,.02446373,-.09343508,-.01478362,19
"prec",-.06032965,.02733052,100,-2.20741,.0295715,-.10570471,-.01495459,20
"prec",-.06654995,.03100242,100,-2.1466051,.03424323,-.11802123,-.01507867,21
"prec",-.07277026,.03469361,100,-2.097512,.03846981,-.13036978,-.01517074,22
"prec",-.07899056,.03839851,100,-2.0571256,.04227712,-.14274108,-.01524003,23
"prec",-.08521087,.04211352,100,-2.0233614,.04570423,-.15512918,-.01529256,24
"prec",-.09143117,.04583616,100,-1.9947387,.04879292,-.16752994,-.0153324,25
"prec",-.09765146,.04956473,100,-1.9701806,.0515831,-.17994052,-.0153624,26
"prec",-.10387177,.05329798,100,-1.9488877,.0541109,-.19235891,-.01538464,27
"prec",-.11009207,.05703498,100,-1.9302552,.05640821,-.2047835,-.01540064,28
"prec",-.11631238,.06077506,100,-1.9138177,.05850279,-.21721322,-.01541154,29
"prec",-.12253268,.06451766,100,-1.8992114,.06041868,-.22964711,-.01541824,30
"prec",-.12875298,.06826238,100,-1.8861484,.0621766,-.24208452,-.01542143,31
"prec",-.13497329,.07200889,100,-1.8743975,.06379445,-.25452492,-.01542165,32
"prec",-.14119358,.07575692,100,-1.8637715,.06528767,-.26696782,-.01541935,33
"prec",-.14741389,.07950626,100,-1.8541169,.06666965,-.27941291,-.01541487,34
"prec",-.15363419,.08325672,100,-1.8453068,.06795199,-.29185986,-.01540853,35
"prec",-.15985449,.08700816,100,-1.8372355,.06914482,-.30430843,-.01540055,36
"prec",-.1660748,.09076048,100,-1.829814,.07025696,-.31675846,-.01539113,37
"prec",-.1722951,.09451355,100,-1.8229672,.07129616,-.32920973,-.01538046,38
"prec",-.17851541,.09826729,100,-1.816631,.07226923,-.34166214,-.01536868,39
"prec",-.1847357,.10202163,100,-1.8107504,.07318217,-.35411551,-.0153559,40
