eq,estimate,stderr,dof,t,p,min90,max90,x
"prec",.04057096,.01844572,89,2.1994785,.03043538,.00991131,.07123061,0
"prec",.03808641,.01764177,89,2.1588766,.0335504,.00876305,.06740978,1
"prec",.03560186,.01684666,89,2.1132887,.03737505,.00760009,.06360363,2
"prec",.03311731,.0160617,89,2.061881,.04213529,.00642027,.05981435,3
"prec",.03063276,.01528845,89,2.0036543,.04814831,.00522099,.05604454,4
"prec",.02814821,.01452878,89,1.9374114,.0558662,.00399913,.0522973,5
"prec",.02566366,.01378493,89,1.8617191,.06594309,.00275097,.04857636,6
"prec",.02317912,.01305961,89,1.7748701,.07933838,.00147201,.04488622,7
"prec",.02069457,.01235609,89,1.6748474,.09747468,.00015682,.04123231,8
"prec",.01821002,.0116783,89,1.5593036,.12247356,-.00120113,.03762117,9
"prec",.01572547,.01103099,89,1.4255717,.15748991,-.00260975,.03406068,10
"prec",.01324092,.01041984,89,1.2707411,.20713234,-.00407847,.0305603,11
"prec",.01075637,.00985158,89,1.091842,.27784942,-.00561849,.02713122,12
"prec",.00827182,.00933405,89,.88619868,.37789877,-.00724281,.02378645,13
"prec",.00578727,.00887612,89,.65200437,.51607867,-.00896622,.02054076,14
"prec",.00330272,.00848745,89,.38912951,.69810982,-.01080475,.01741018,15
"prec",.00081817,.00817793,89,.10004588,.92053292,-.01277481,.01441115,16
"prec",-.00166638,.00795678,89,-.20942925,.8345918,-.01489179,.01155902,17
"prec",-.00415093,.00783151,89,-.53002946,.59741137,-.01716811,.00886625,18
"prec",-.00663548,.00780672,89,-.84996987,.39762259,-.01961147,.00634051,19
"prec",-.00912003,.00788338,89,-1.1568685,.25042176,-.02222343,.00398337,20
"prec",-.01160458,.00805857,89,-1.440029,.15336763,-.02499918,.00179002,21
"prec",-.01408913,.00832609,89,-1.692166,.09411272,-.02792839,-.00024987,22
"prec",-.01657368,.0086774,89,-1.9099815,.05935611,-.03099687,-.00215049,23
"prec",-.01905823,.00910281,89,-2.0936655,.03913421,-.03418851,-.00392795,24
"prec",-.02154278,.00959245,89,-2.2458056,.0271924,-.03748692,-.00559864,25
"prec",-.02402733,.01013703,89,-2.3702528,.01993543,-.04087665,-.00717801,26
"prec",-.02651188,.01072819,89,-2.471236,.01536878,-.04434379,-.00867997,27
"prec",-.02899643,.01135864,89,-2.552807,.01238956,-.04787626,-.0101166,28
"prec",-.03148098,.01202223,89,-2.618565,.01037822,-.05146379,-.01149817,29
"prec",-.03396553,.01271374,89,-2.6715599,.00897762,-.05509774,-.01283331,30
"prec",-.03645007,.01342888,89,-2.7143044,.0079755,-.05877096,-.01412919,31
"prec",-.03893463,.01416407,89,-2.7488309,.00724162,-.06247751,-.01539175,32
"prec",-.04141917,.01491633,89,-2.7767667,.00669353,-.06621244,-.01662591,33
"prec",-.04390373,.01568322,89,-2.7994075,.00627743,-.06997168,-.01783578,34
"prec",-.04638828,.01646269,89,-2.8177825,.00595729,-.07375182,-.01902473,35
"prec",-.04887282,.01725303,89,-2.8327095,.00570831,-.07755004,-.02019561,36
"prec",-.05135738,.01805282,89,-2.8448394,.00551306,-.08136397,-.02135078,37
"prec",-.05384192,.01886085,89,-2.8546917,.005359,-.08519159,-.02249225,38
"prec",-.05632648,.01967612,89,-2.8626823,.00523696,-.08903124,-.02362171,39
"prec",-.05881102,.02049775,89,-2.8691457,.00514012,-.09288146,-.02474058,40
