eq,estimate,stderr,dof,t,p,min90,max90,x
"prec",.02837397,.0133261,100,2.1292027,.03569297,.00624952,.05049842,0
"prec",.02633322,.01260185,100,2.0896311,.03918863,.00541119,.04725524,1
"prec",.02429247,.01189395,100,2.0424212,.04374153,.00454571,.04403922,2
"prec",.02225171,.01120552,100,1.9857821,.04979526,.00364793,.04085549,3
"prec",.02021096,.01054035,100,1.9174855,.05802982,.00271152,.0377104,4
"prec",.01817021,.00990314,100,1.8347935,.06950913,.00172868,.03461173,5
"prec",.01612945,.00929963,100,1.7344184,.08592525,.00068989,.03156902,6
"prec",.0140887,.00873683,100,1.6125651,.10999064,-.00041648,.02859388,7
"prec",.01204795,.00822308,100,1.4651387,.14602014,-.00160429,.02570019,8
"prec",.0100072,.00776812,100,1.2882386,.20063573,-.00288971,.0229041,9
"prec",.00796644,.00738284,100,1.0790481,.2831621,-.00429081,.0202237,10
"prec",.00592569,.00707862,100,.83712476,.4045186,-.00582648,.01767787,11
"prec",.00388494,.00686625,100,.56580239,.57279556,-.00751464,.01528451,12
"prec",.00184419,.00675438,100,.27303583,.78538874,-.00936966,.01305804,13
"prec",-.00019657,.00674802,100,-.0291294,.97681944,-.01139987,.01100673,14
"prec",-.00223732,.00684747,100,-.32673645,.74455012,-.01360573,.00913109,15
"prec",-.00427807,.00704825,100,-.60696927,.54524697,-.01597982,.00742368,16
"prec",-.00631883,.00734205,100,-.86063496,.3914979,-.01850835,.0058707,17
"prec",-.00835958,.00771825,100,-1.0830916,.2813724,-.02117369,.00445453,18
"prec",-.01040033,.00816548,100,-1.2736947,.20572414,-.02395694,.00315628,19
"prec",-.01244108,.00867275,100,-1.4345027,.1545488,-.02683988,.00195771,20
"prec",-.01448183,.00923017,100,-1.5689677,.11981444,-.02980607,.00084241,21
"prec",-.01652259,.00982921,100,-1.6809689,.09588992,-.03284137,-.0002038,22
"prec",-.01856334,.01046272,100,-1.774237,.07906742,-.0359339,-.00119278,23
"prec",-.0206041,.01112482,100,-1.8520841,.06696372,-.0390739,-.00213429,24
"prec",-.02264485,.01181069,100,-1.9173172,.05805145,-.04225336,-.00303633,25
"prec",-.0246856,.01251644,100,-1.9722536,.05134245,-.04546582,-.00390537,26
"prec",-.02672635,.01323888,100,-2.0187768,.04618742,-.048706,-.0047467,27
"prec",-.0287671,.01397543,100,-2.0584055,.04215167,-.05196959,-.00556461,28
"prec",-.03080786,.01472397,100,-2.0923613,.03893831,-.05525309,-.00636262,29
"prec",-.03284861,.01548275,100,-2.1216262,.03634057,-.0585536,-.00714362,30
"prec",-.03488936,.01625035,100,-2.1469915,.03421163,-.06186875,-.00790997,31
"prec",-.03693012,.01702557,100,-2.1690972,.03244535,-.06519655,-.00866368,32
"prec",-.03897087,.01780742,100,-2.1884627,.03096372,-.06853535,-.00940638,33
"prec",-.04101162,.01859505,100,-2.2055123,.02970843,-.07188377,-.01013947,34
"prec",-.04305237,.01938778,100,-2.2205937,.02863531,-.07524062,-.01086412,35
"prec",-.04509312,.02018498,100,-2.2339936,.02771042,-.07860493,-.01158132,36
"prec",-.04713388,.02098617,100,-2.2459499,.02690735,-.08197583,-.01229192,37
"prec",-.04917463,.02179088,100,-2.2566605,.02620534,-.08535261,-.01299665,38
"prec",-.05121539,.02259876,100,-2.2662915,.02558787,-.08873463,-.01369614,39
"prec",-.05325614,.02340947,100,-2.2749825,.02504168,-.09212134,-.01439093,40
