country,initial_gdp,only_ssp3_impact_gdp,only_ssp5_impact_gdp,only_ssp1_impact_gdp,only_ssp2_impact_gdp,avg_agri_emp
AE,99075.5841165,NA,NA,NA,NA,6.703849983215332
AL,6632.126394,NA,NA,NA,NA,45.45853322347006
AO,4261.35951385,NA,NA,NA,NA,40.19595012664796
AT,36900.87185,0.6607774495840008,1.7188540456001218,1.025027632228564,0.8777895123206727,6.136299991607666
BA,6420.156262058824,3.3278797521981884,7.029743945211154,4.641585697703257,4.173621312162609,18.69460020065307
BE,35902.9420055,0.7489663223751808,3.1998697865625356,2.736506677038097,2.4860160090553016,2.1653499782085426
BF,1104.221238605,0.1761235729536213,18.187249813280072,9.959208590583016,3.6064002802312327,75.18559970855713
BG,10774.76974885,1.4145539972199062,4.570760665379777,2.6670896285621355,2.1926697591686124,12.570300126075743
BH,43007.118485,NA,NA,NA,NA,1.6631000041961685
BI,786.714841615,0.45058752165705784,30.41550809977702,16.52945385681347,5.6617034051283905,91.96739997863772
BJ,1512.29597295,0.6640900456155939,17.517943749463623,10.322469107671528,4.265082493782061,45.086749839782726
BR,12227.820883,1.7476058969302328,5.700278954716925,3.694456491650724,3.1109266965653104,18.81659984588622
BW,10478.07547285,2.7101018541102446,7.81682073893599,5.187125348251599,4.479808300651855,20.238349914550785
CF,737.451351265,0.4332611313674865,24.982870954791437,14.808104813076168,5.836361652152835,70.2860996246338
CG,4887.05367605,2.18458117652878,16.363637210167234,11.114745403515926,7.090240213996568,39.91605033874512
CH,46529.908321,1.127337767555475,1.7804950740346432,1.129802479880686,1.034707612371107,4.194250011444092
CM,2322.6847075,0.7951925634323302,15.927781355879093,10.262715471997442,5.4638742299656045,63.98735027313233
CN,4379.58220575,4.804820242949124,11.027510960052403,7.452747692676655,6.446639812044975,48.501499557495116
CV,3722.38017405,0.7887925560054897,8.611080959294954,5.70726481192735,3.129521885384088,17.966599988937386
CY,28371.605594,2.076953282776104,4.209046540984718,2.9960560112445624,2.763593558370684,7.048200011253355
CZ,20864.0182555,0.7744224611256413,2.2904952933671416,1.2694098687670023,1.0470648672600675,5.236450028419495
