country,initial_b50,initial_gdp,all_impact_prec_b50,all_impact_prec_gdp,all_impact_prec_and_temp_gdp,all_mean_impact_b50,all_mean_impact_prec_gdp,all_mean_impact_prec_and_temp_gdp,gdp_rate,b50_diff,agri_top20,trend_impact_gdp,trend_impact_b50
AE,0.0889300003,99075.5841165,0.6392319675545478,-0.9149179419178868,-0.9983989154877376,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,-0.03450600354845855,7.894737894736848e-4,0,-0.9144006564214606,0.6214231988837398
AE.1,0.0889300003,99075.5841165,0.6298043189325272,-0.9146296776821228,-0.9996971202785878,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.2,0.0889300003,99075.5841165,0.5744240918941647,-0.913330110881464,-0.9985095896200932,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.3,0.0889300003,99075.5841165,0.5768196481036246,-0.913379838448906,-0.9998172716725268,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.4,0.0889300003,99075.5841165,0.6383342852008836,-0.9148886068868224,-0.9993297665065134,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.5,0.0889300003,99075.5841165,0.6201046996990437,-0.914366318285668,-0.9973463316694052,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.6,0.0889300003,99075.5841165,0.6127389355601995,-0.9141811590597914,-0.999961329773846,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.7,0.0889300003,99075.5841165,0.6457087080471454,-0.9151464619575186,-0.999925641587208,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.8,0.0889300003,99075.5841165,0.6365256332958154,-0.9148308781105036,-0.9999967875882008,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.9,0.0889300003,99075.5841165,0.6196290977738064,-0.9143540291447332,-0.9999758141873448,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.10,0.0889300003,99075.5841165,0.6507256149240109,-0.9153529720968182,-0.999818975447984,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.11,0.0889300003,99075.5841165,0.5610401006911663,-0.9130571534838604,-0.9998987336608964,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.12,0.0889300003,99075.5841165,0.5725030766534847,-0.9132904496173182,-0.9999233139119263,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.13,0.0889300003,99075.5841165,0.5590327434914918,-0.9130167939942172,-0.99999700632366,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.14,0.0889300003,99075.5841165,0.6240332315698968,-0.9144698714255654,-0.994841591156053,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AE.15,0.0889300003,99075.5841165,0.5670933567530113,-0.9131796902521871,-0.9975564805025944,0.6079843443840512,-0.9141494970778364,-0.9990621668359112,NA,NA,NA,NA,NA
AL,0.20168666666666665,6632.126394,0.05224731902122577,11.128876712046582,-0.06162342886046543,0.05119605931668818,12.280964369637683,0.19505642540361828,0.0416744456257109,1.368421052631589e-4,0,16.42772555052334,0.04749420240185006
AL.1,0.20168666666666665,6632.126394,0.05202710147176043,11.354585725196785,-0.07768898954922751,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.2,0.20168666666666665,6632.126394,0.05009758797647827,13.351417269700326,0.00742982743575588,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.3,0.20168666666666665,6632.126394,0.05002588493324353,13.42674384293242,-0.16089706115472402,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.4,0.20168666666666665,6632.126394,0.05214261595698295,11.236164772848737,-0.23591366822036716,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
AL.5,0.20168666666666665,6632.126394,0.05308459960855234,10.271627061965662,0.00141729371598053,0.05119605931668818,12.280964369637683,0.19505642540361828,NA,NA,NA,NA,NA
