country,gdp_rate,b50_diff,mean_gdp,mean_b50,agri_top20,final_gdp_pc,final_b50,grate_gdpproj,grate_b50proj
AE,-0.03450600354845855,7.894737894736848e-4,99075.5841165,0.0889300003,0,8480.804965032765,0.0889300003,-0.9144006564214606,0
AL,0.0416744456257109,1.368421052631589e-4,6632.126394,0.20168666666666665,0,115582.87861101404,0.20168666666666665,16.42772555052334,0
AO,0.029078155029073155,-4.0263812105263187e-4,4261.35951385,0.121610406555,0,31690.80863625129,0.121610406555,6.436783621107732,0
AT,0.01584227321822904,-5.473684210526311e-4,36900.871849999996,0.23767,0,110885.90311521955,0.23767,2.0049670253311254,0
BA,0.10351768310726814,-0.002752631578947369,6420.156262058824,0.219425,0,6340103.916203211,0.219425,986.5310907417164,0
BE,0.013285437117440586,-5.789473684210473e-5,35902.9420055,0.209675,0,90439.07470135734,0.209675,1.518987850285442,0
BF,0.02469575164197545,0.002054242968421053,1104.221238605,0.12166844771,1,6091.182206144136,0.12166844771,4.516269741233498,0
BG,0.027454711742103167,-0.002721052631578947,10774.76974885,0.20862,0,71745.7474926321,0.20862,5.658680339808615,0
BI,-0.02073148439210503,-7.806600210526322e-4,786.714841615,0.15886273712,1,181.52764208867782,0.15886273712,-0.7692586532166719,0
BJ,0.009340625416607577,-9.866762736842104e-4,1512.29597295,0.14646401296,0,2899.20921492492,0.14646401296,0.9170911427275054,0
BR,0.012834652619350632,6.421052631578956e-4,12227.820883,0.130160003,0,29857.104266528488,0.130160003,1.4417354941826135,0
BW,0.024067631283218767,-1.0774714210526264e-4,10478.07547285,0.060471616054999996,0,55371.496998261886,0.060471616054999996,4.284510227258464,0
CF,0.009101743523531974,0.0012100562684210525,737.451351265,0.090891845445,1,1390.529907328819,0.090891845445,0.8855886628230452,0
CG,0.002770794885488084,-2.8048021052631605e-4,4887.05367605,0.11040058854000001,0,5931.4994139740675,0.11040058854000001,0.21371685419429426,0
