Gini initial,Gini mean final,SE,Scenario
0.6578696983927153,0.6559156276142718,0.00281246432982487,Only climate no outliers - Global - Prec
0.6578696983927153,0.8179075839942307,0.00497946547736773,Only climate no outliers - Global - Prec+Temp
0.47957156536091594,0.6423383047070413,0.01538489821140125,Only climate no outliers - Top20 - Prec
0.47957156536091594,0.8181059965787819,0.01909001929162431,Only climate no outliers - Top20 - Prec+Temp
0.6578696983927153,0.511571035132997,0.002079093741151891,SSP5 RCP85 - Global - Prec
0.6578696983927153,0.7799788122891785,0.009319786348778307,SSP5 RCP85 - Global - Prec+Temp
0.47957156536091594,0.6178528846095601,0.007503836806683085,SSP5 RCP85 - Top20 - Prec
0.47957156536091594,0.7396497812380115,0.01577080841482452,SSP5 RCP85 - Top20 - Prec+Temp
