country,impact_prec_b50,impact_prec_gdp,impact_temp_gdp,impact_prec_and_temp_gdp,mean_impact_b50,mean_impact_prec_gdp,mean_impact_temp_gdp,mean_impact_prec_and_temp_gdp
AE,NA,NA,NA,NA,NA,NA,NA,NA
AE.1,NA,NA,NA,NA,NA,NA,NA,NA
AE.2,NA,NA,NA,NA,NA,NA,NA,NA
AE.3,NA,NA,NA,NA,NA,NA,NA,NA
AE.4,NA,NA,NA,NA,NA,NA,NA,NA
AE.5,NA,NA,NA,NA,NA,NA,NA,NA
AE.6,NA,NA,NA,NA,NA,NA,NA,NA
AE.7,NA,NA,NA,NA,NA,NA,NA,NA
AE.8,NA,NA,NA,NA,NA,NA,NA,NA
AE.9,NA,NA,NA,NA,NA,NA,NA,NA
AE.10,NA,NA,NA,NA,NA,NA,NA,NA
AE.11,NA,NA,NA,NA,NA,NA,NA,NA
AE.12,NA,NA,NA,NA,NA,NA,NA,NA
AE.13,NA,NA,NA,NA,NA,NA,NA,NA
AE.14,NA,NA,NA,NA,NA,NA,NA,NA
AE.15,NA,NA,NA,NA,NA,NA,NA,NA
AL,NA,NA,NA,NA,NA,NA,NA,NA
AL.1,NA,NA,NA,NA,NA,NA,NA,NA
AL.2,NA,NA,NA,NA,NA,NA,NA,NA
AL.3,NA,NA,NA,NA,NA,NA,NA,NA
AL.4,NA,NA,NA,NA,NA,NA,NA,NA
AL.5,NA,NA,NA,NA,NA,NA,NA,NA
AL.6,NA,NA,NA,NA,NA,NA,NA,NA
AL.7,NA,NA,NA,NA,NA,NA,NA,NA
AL.8,NA,NA,NA,NA,NA,NA,NA,NA
AL.9,NA,NA,NA,NA,NA,NA,NA,NA
AL.10,NA,NA,NA,NA,NA,NA,NA,NA
AL.11,NA,NA,NA,NA,NA,NA,NA,NA
AL.12,NA,NA,NA,NA,NA,NA,NA,NA
AL.13,NA,NA,NA,NA,NA,NA,NA,NA
AL.14,NA,NA,NA,NA,NA,NA,NA,NA
AL.15,NA,NA,NA,NA,NA,NA,NA,NA
AO,NA,NA,NA,NA,NA,NA,NA,NA
AO.1,NA,NA,NA,NA,NA,NA,NA,NA
AO.2,NA,NA,NA,NA,NA,NA,NA,NA
AO.3,NA,NA,NA,NA,NA,NA,NA,NA
AO.4,NA,NA,NA,NA,NA,NA,NA,NA
AO.5,NA,NA,NA,NA,NA,NA,NA,NA
AO.6,NA,NA,NA,NA,NA,NA,NA,NA
AO.7,NA,NA,NA,NA,NA,NA,NA,NA
AO.8,NA,NA,NA,NA,NA,NA,NA,NA
AO.9,NA,NA,NA,NA,NA,NA,NA,NA
AO.10,NA,NA,NA,NA,NA,NA,NA,NA
AO.11,NA,NA,NA,NA,NA,NA,NA,NA
AO.12,NA,NA,NA,NA,NA,NA,NA,NA
AO.13,NA,NA,NA,NA,NA,NA,NA,NA
AO.14,NA,NA,NA,NA,NA,NA,NA,NA
AO.15,NA,NA,NA,NA,NA,NA,NA,NA
AT,0.012104779733766615,0.832204220509506,1.1605660291616,1.1605660291616,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.1,0.01377641816961938,0.8261473899701438,1.127119658737839,1.127119658737839,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.2,0.007158971926255798,0.8502101029455603,1.1637049592797195,1.1637049592797195,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.3,0.010377891704698246,0.8384652091932078,1.1246974934332394,1.1246974934332394,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.4,0.004138164753245236,0.8614559273261881,1.2118842184169376,1.2118842184169376,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.5,0.008461944276420575,0.8454376417644492,1.2318445090452774,1.2318445090452774,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.6,0.011219211587212048,0.8354134304129277,1.0849489152761929,1.0849489152761929,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.7,0.006100093292367198,0.8541168990096174,1.2500775061241265,1.2500775061241265,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.8,-7.076092352654143e-4,0.880807344589405,1.2799194785069967,1.2799194785069967,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.9,0.0010743380643893467,0.8733754748088162,1.271930799160305,1.271930799160305,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.10,0.005402254252304534,0.8567100185030646,1.245801815308812,1.245801815308812,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.11,0.001380232245748244,0.87214740769194,0.4474453124794135,0.4474453124794135,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.12,6.125989110622724e-4,0.8752516273422698,0.4280063721521395,0.4280063721521395,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.13,0.0018924865850291008,0.8701139949185458,1.0462593104627247,1.0462593104627247,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.14,-4.121718333071293e-4,0.8795345354809618,1.2203955416494765,1.2203955416494765,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
AT.15,0.012629085289832621,0.8303047789642157,1.0430673415377485,1.0430673415377485,0.005950543107711167,0.8551060002144262,1.0836043287957844,1.0836043287957844
BA,0.009110372349898688,3.8403349292929185,3.0861983838257188,3.0861983838257188,0.00471776748110723,3.9951360045421644,2.7694711755257093,2.7694711755257093
BA.1,0.011360388463363628,3.7657733577137833,2.588044411123204,2.588044411123204,0.00471776748110723,3.9951360045421644,2.7694711755257093,2.7694711755257093
BA.2,0.005213661946232311,3.971838932439804,2.757081713284921,2.757081713284921,0.00471776748110723,3.9951360045421644,2.7694711755257093,2.7694711755257093
BA.3,0.0036232576493742713,4.027587745489513,2.660133022139935,2.660133022139935,0.00471776748110723,3.9951360045421644,2.7694711755257093,2.7694711755257093
BA.4,0.004815255850265346,3.985629395824085,2.187720815234674,2.187720815234674,0.00471776748110723,3.9951360045421644,2.7694711755257093,2.7694711755257093
