country,initial_b50,initial_gdp,all_impact_prec_b50,all_impact_prec_gdp,all_impact_prec_and_temp_gdp,all_mean_impact_b50,all_mean_impact_prec_gdp,all_mean_impact_prec_and_temp_gdp,clim_impact_prec_b50,clim_impact_prec_gdp,clim_impact_temp_gdp,clim_impact_prec_and_temp_gdp,clim_mean_impact_b50,clim_mean_impact_prec_gdp,clim_mean_impact_temp_gdp,clim_mean_impact_prec_and_temp_gdp,gdp_rate,b50_diff,agri_top20,trend_impact_gdp,trend_impact_b50,only_ssp3_impact_gdp,only_ssp5_impact_gdp
AE,0.0889300003,99075.5841165,0.01780876867080837,-0.9149179419178868,-0.9983989154877376,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,0.01693241627696366,-0.01901252090763925,-0.978293303724751,-0.9973058246323904,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,-0.03450600354845855,7.894737894736848e-4,0,-0.9144006564214606,0,NA,NA
AE.1,0.0889300003,99075.5841165,0.00838112004878681,-0.9146296776821228,-0.9996971202785878,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,0.0079453814384336,-0.00856806457420812,-0.9956406954444073,-1.0042087600186154,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.2,0.0889300003,99075.5841165,-0.04699910698957466,-0.913330110881464,-0.9985095896200932,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.04421951491850624,0.04250656819651838,-0.9801222107027616,-0.9376156425062432,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.3,0.0889300003,99075.5841165,-0.04460355078011421,-0.913379838448906,-0.9998172716725268,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.04197328813030136,0.04045707628053734,-0.9973592187075484,-0.956902142427011,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.4,0.0889300003,99075.5841165,0.01691108631714342,-0.9148886068868224,-0.9993297665065134,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,0.01607358919751643,-0.01796867070231179,-0.9906132111958836,-1.0085818818981953,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.5,0.0889300003,99075.5841165,-0.00131849918469528,-0.914366318285668,-0.9973463316694052,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.00124726376285486,0.00130325217433,-0.964924063574154,-0.963620811399824,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.6,0.0889300003,99075.5841165,-0.00868426332353983,-0.9141811590597914,-0.999961329773846,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.00820458721732215,0.00840818023964843,-0.999399657045193,-0.9909914768055446,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.7,0.0889300003,99075.5841165,0.02428550916340624,-0.9151464619575186,-0.999925641587208,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,0.02315709208678629,-0.02697958565215812,-0.9988617084971464,-1.0258412941493045,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.8,0.0889300003,99075.5841165,0.01510243441207479,-0.9148308781105036,-0.9999967875882008,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,0.01434549776916033,-0.01590135937686606,-0.999944211937049,-1.015845571313915,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.9,0.0889300003,99075.5841165,-0.0017941011099334,-0.9143540291447332,-0.9999758141873448,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.00169701683891611,0.00177079163103744,-0.99961644598607,-0.9978456543550324,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.10,0.0889300003,99075.5841165,0.02930241604027063,-0.9153529720968182,-0.999818975447984,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,0.02802925305184528,-0.03390038977010608,-0.9973179162521276,-1.0312183060222335,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.11,0.0889300003,99075.5841165,-0.06038309819257245,-0.9130571534838604,-0.9998987336608964,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.05676082826569337,0.05386670132051992,-0.9985084059414348,-0.9446417046209148,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.12,0.0889300003,99075.5841165,-0.04892012223025419,-0.9132904496173182,-0.9999233139119263,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.04602042070796024,0.04414573834372681,-0.9988546551504568,-0.95470891680673,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.13,0.0889300003,99075.5841165,-0.06239045539224732,-0.9130167939942172,-0.99999700632366,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.05864074631485336,0.05556165230354897,-0.999949102674668,-0.9443874503711192,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.14,0.0889300003,99075.5841165,0.00261003268615772,-0.9144698714255654,-0.994841591156053,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,0.0024709813646966,-0.00261261693346595,-0.9333761947659972,-0.9359888116994632,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AE.15,0.0889300003,99075.5841165,-0.05432984213072743,-0.9131796902521871,-0.9975564805025944,-0.01343885449968817,-0.9141494970778364,-0.9990621668359112,-0.05109031273257775,0.04874428104865015,-0.9680571305004364,-0.9193128494517864,-0.01255623548147395,0.01073881460136013,-0.9875523832562552,-0.9768135686548952,NA,NA,NA,NA,NA,NA,NA
AL,0.20168666666666665,6632.126394,0.00475311661937626,11.128876712046582,-0.06162342886046543,0.00370185691483866,12.280964369637683,0.19505642540361828,3.935098639898323e-4,-0.3864911900876092,-0.9292198706920596,-1.3157110607796687,3.094480398414039e-4,-0.3011754390649643,-0.9214579281606454,-1.2226333672256098,0.0416744456257109,1.368421052631589e-4,0,16.42772555052334,0,NA,NA
AL.1,0.20168666666666665,6632.126394,0.00453289906991092,11.354585725196785,-0.07768898954922751,0.00370185691483866,12.280964369637683,0.19505642540361828,3.7371652180392327e-4,-0.37109437196192785,-0.931861968369832,-1.30295634033176,3.094480398414039e-4,-0.3011754390649643,-0.9214579281606454,-1.2226333672256098,NA,NA,NA,NA,NA,NA,NA
AL.2,0.20168666666666665,6632.126394,0.00260338557462876,13.351417269700326,0.00742982743575588,0.00370185691483866,12.280964369637683,0.19505642540361828,2.077386880762493e-4,-0.2304220184352264,-0.9366436349352888,-1.1670656533705153,3.094480398414039e-4,-0.3011754390649643,-0.9214579281606454,-1.2226333672256098,NA,NA,NA,NA,NA,NA,NA
AL.3,0.20168666666666665,6632.126394,0.00253168253139402,13.42674384293242,-0.16089706115472402,0.00370185691483866,12.280964369637683,0.19505642540361828,2.0179987825264892e-4,-0.2249644353390714,-0.9479154141208606,-1.172879849459932,3.094480398414039e-4,-0.3011754390649643,-0.9214579281606454,-1.2226333672256098,NA,NA,NA,NA,NA,NA,NA
AL.4,0.20168666666666665,6632.126394,0.00464841355513344,11.236164772848737,-0.23591366822036716,0.00370185691483866,12.280964369637683,0.19505642540361828,3.84074629699522e-4,-0.3791856953137546,-0.9433380744304318,-1.3225237697441865,3.094480398414039e-4,-0.3011754390649643,-0.9214579281606454,-1.2226333672256098,NA,NA,NA,NA,NA,NA,NA
