country,min_year,level_last_b50,mean_level_last_b50,trend_last_b50,ratio
CN,2058,0.00291982884076112,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.1,2058,0.00196427635802312,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.2,2058,0.00283731072776161,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.3,2058,0.00375552800821213,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.4,2058,0.00201639406740964,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.5,2058,0.00313838397179523,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.6,2058,0.00314379398361649,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.7,2058,0.00236543772509403,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.8,2058,0.0029540873710305,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.9,2058,0.00257233063819808,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.10,2058,0.00194625059846482,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.11,2058,0.00299756429762599,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.12,2058,0.00306898108090741,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.13,2058,0.00424216149132784,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.14,2058,0.00194548289637732,0.002842240207743184,0.002224498421052795,1.2776993594798904
CN.15,2058,0.00360803126728561,0.002842240207743184,0.002224498421052795,1.2776993594798904
HU,2080,0.00478769235300524,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.1,2080,0.00597701828698458,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.2,2080,0.00594956502833684,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.3,2080,0.00686848639585105,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.4,2080,0.00232227538375818,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.5,2080,0.00332281835246127,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.6,2080,0.00713587054212738,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.7,2080,0.00301274013125237,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.8,2080,0.0053519595474242,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.9,2080,0.00598880998980932,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.10,2080,0.00850748324660558,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.11,2080,0.00190492955961892,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.12,2080,0.00198643997171859,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.13,2080,0.00473503948258732,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.14,2080,0.00443516373765033,0.004781797622060478,0.006186842105263601,0.7728979567770529
HU.15,2080,0.00422246994377648,0.004781797622060478,0.006186842105263601,0.7728979567770529
IN,2071,5.712632638386108e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.1,2071,6.099857080877637e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.2,2071,9.704787022269082e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.3,2071,7.082070954834137e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.4,2071,0.00116602075572425,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.5,2071,6.007933686418647e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.6,2071,6.638693189827652e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.7,2071,5.84018728128886e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.8,2071,7.550525186850157e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.9,2071,8.272757339406806e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.10,2071,7.305804144480911e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.11,2071,0.0010822276539902,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.12,2071,9.950326089030587e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.13,2071,0.00161321491008182,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.14,2071,0.00131735688917687,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
IN.15,2071,6.580049366319522e-4,8.658364129357594e-4,5.65527315789599e-4,1.5310249191533103
MK,2071,0.00683438474999514,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.1,2071,0.00690203820612896,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.2,2071,0.00616284682140374,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.3,2071,0.00661853216689102,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.4,2071,0.00633679321518482,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.5,2071,0.00693799498295403,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.6,2071,0.00797184258282155,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.7,2071,0.00483155126072725,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.8,2071,0.00194638585061409,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.9,2071,0.00201491423113215,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.10,2071,0.00881027293588707,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.11,2071,0.0069263058840874,0.005770366146488797,0.005271052631579176,1.094727476617897
MK.12,2071,0.00765860203195514,0.005770366146488797,0.005271052631579176,1.094727476617897
