country,impact_prec_b50,impact_prec_gdp,impact_temp_gdp,impact_prec_and_temp_gdp,mean_impact_b50,mean_impact_prec_gdp,mean_impact_temp_gdp,mean_impact_prec_and_temp_gdp
AE,NA,NA,NA,NA,NA,NA,NA,NA
AE.1,NA,NA,NA,NA,NA,NA,NA,NA
AE.2,NA,NA,NA,NA,NA,NA,NA,NA
AE.3,NA,NA,NA,NA,NA,NA,NA,NA
AE.4,NA,NA,NA,NA,NA,NA,NA,NA
AE.5,NA,NA,NA,NA,NA,NA,NA,NA
AE.6,NA,NA,NA,NA,NA,NA,NA,NA
AE.7,NA,NA,NA,NA,NA,NA,NA,NA
AE.8,NA,NA,NA,NA,NA,NA,NA,NA
AE.9,NA,NA,NA,NA,NA,NA,NA,NA
AE.10,NA,NA,NA,NA,NA,NA,NA,NA
AE.11,NA,NA,NA,NA,NA,NA,NA,NA
AE.12,NA,NA,NA,NA,NA,NA,NA,NA
AE.13,NA,NA,NA,NA,NA,NA,NA,NA
AE.14,NA,NA,NA,NA,NA,NA,NA,NA
AE.15,NA,NA,NA,NA,NA,NA,NA,NA
AL,NA,NA,NA,NA,NA,NA,NA,NA
AL.1,NA,NA,NA,NA,NA,NA,NA,NA
AL.2,NA,NA,NA,NA,NA,NA,NA,NA
AL.3,NA,NA,NA,NA,NA,NA,NA,NA
AL.4,NA,NA,NA,NA,NA,NA,NA,NA
AL.5,NA,NA,NA,NA,NA,NA,NA,NA
AL.6,NA,NA,NA,NA,NA,NA,NA,NA
AL.7,NA,NA,NA,NA,NA,NA,NA,NA
AL.8,NA,NA,NA,NA,NA,NA,NA,NA
AL.9,NA,NA,NA,NA,NA,NA,NA,NA
AL.10,NA,NA,NA,NA,NA,NA,NA,NA
AL.11,NA,NA,NA,NA,NA,NA,NA,NA
AL.12,NA,NA,NA,NA,NA,NA,NA,NA
AL.13,NA,NA,NA,NA,NA,NA,NA,NA
AL.14,NA,NA,NA,NA,NA,NA,NA,NA
AL.15,NA,NA,NA,NA,NA,NA,NA,NA
AO,NA,NA,NA,NA,NA,NA,NA,NA
AO.1,NA,NA,NA,NA,NA,NA,NA,NA
AO.2,NA,NA,NA,NA,NA,NA,NA,NA
AO.3,NA,NA,NA,NA,NA,NA,NA,NA
AO.4,NA,NA,NA,NA,NA,NA,NA,NA
AO.5,NA,NA,NA,NA,NA,NA,NA,NA
AO.6,NA,NA,NA,NA,NA,NA,NA,NA
AO.7,NA,NA,NA,NA,NA,NA,NA,NA
AO.8,NA,NA,NA,NA,NA,NA,NA,NA
AO.9,NA,NA,NA,NA,NA,NA,NA,NA
AO.10,NA,NA,NA,NA,NA,NA,NA,NA
AO.11,NA,NA,NA,NA,NA,NA,NA,NA
AO.12,NA,NA,NA,NA,NA,NA,NA,NA
AO.13,NA,NA,NA,NA,NA,NA,NA,NA
AO.14,NA,NA,NA,NA,NA,NA,NA,NA
AO.15,NA,NA,NA,NA,NA,NA,NA,NA
AT,0.016788037033338414,1.6507989524694764,1.6265949709866787,1.6265949709866787,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.1,0.013343546451406061,1.6644307327550953,1.7547553065565655,1.7547553065565655,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.2,0.00976381147238795,1.6785416724633624,1.7977872341923349,1.7977872341923349,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.3,0.0140302539810978,1.6617214807063911,1.856447014275031,1.856447014275031,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.4,0.004770384661935096,1.6984966743496124,1.6696796051733802,1.6696796051733802,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.5,0.009003701212249584,1.681546030092389,1.8184967858634886,1.8184967858634886,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.6,0.018984783411557717,1.6420237321076456,1.2551489183533588,1.2551489183533588,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.7,0.008099799873047986,1.685128619534473,2.159619754726425,2.159619754726425,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.8,3.8443985531033605e-4,1.717109881271215,2.134983609561342,2.134983609561342,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.9,3.8291283629627876e-4,1.7171167544829498,2.219009380452199,2.219009380452199,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.10,0.006331594959679369,1.6921847487307946,1.9385003089034392,1.9385003089034392,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.11,0.0016856942810950857,1.7113838769604588,0.4499920199290996,0.4499920199290996,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.12,0.002037028078891025,1.7098754021418605,0.37751333318740526,0.37751333318740526,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.13,0.0039760201560914525,1.7017511641685585,1.3496827155208466,1.3496827155208466,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.14,-7.085595886004058e-4,1.7221522621390633,2.299169915918486,2.299169915918486,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
AT.15,0.012380260199225444,1.6682274912211965,1.810269448377082,1.810269448377082,0.0075783568046880745,1.687655592224659,1.6573531451235726,1.6573531451235726
BA,0.014558728598027953,6.445745651413993,4.021266819212646,4.021266819212646,0.007795454515053993,6.706122169673056,3.596712049676004,3.596712049676004
BA.1,0.01591538302244399,6.394233475450163,3.56697249125938,3.56697249125938,0.007795454515053993,6.706122169673056,3.596712049676004,3.596712049676004
BA.2,0.007925646828454622,6.696196981024868,3.507845461182455,3.507845461182455,0.007795454515053993,6.706122169673056,3.596712049676004,3.596712049676004
BA.3,0.008782822326782727,6.663706523661993,3.3141628187303382,3.3141628187303382,0.007795454515053993,6.706122169673056,3.596712049676004,3.596712049676004
BA.4,0.0068798423332998215,6.736061092692321,2.5949267973852814,2.5949267973852814,0.007795454515053993,6.706122169673056,3.596712049676004,3.596712049676004
