country,country_iso3,UDel_precip_popweight,UDel_precip_popweight_2,UDel_temp_popweight,temp_sq,comp_growth_prec,comp_growth_temp,agri_top20,agri_b80,bottom50,mean_prec,mean_temp,mean_diff,mean_b50,mean_growth,mean_gdp,agri_emp,Model,b50_diff,gdp_rate,agri_diff,top20_string
AE,ARE,0.08286,0.0068657796,28.02,785.1204,-0.007792283271802036,0.0019057192695524083,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,bcc_csm1_1,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,-0.003190326982059122,0.002554000739380724,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,bcc_csm1_1_m,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,0.011436104806672898,0.0019432052769265962,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,ccsm4,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,0.010994638639572951,0.002742178866042,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,cesm1_cam5,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,-0.007288921042579943,0.002253343839684785,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,csiro_mk3_6_0,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,4.4866691437128736e-4,0.001697044164542083,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,fio_esm,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,0.002751675127339759,0.0032634476975956783,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,gfdl_cm3,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,-0.012040128268187678,0.0030444158948479405,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,gfdl_esm2m,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,-0.0063231611013000455,0.004005008628613194,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,giss_e2_h,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,6.075136815286708e-4,0.003411645905052385,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,giss_e2_r,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,-0.016474327721730964,0.0027364466752144434,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,ipsl_cm5a_mr,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,0.01375001787464436,0.0029491369632010933,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,miroc_esm,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,0.011783558166470476,0.003042257098897716,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,miroc_esm_chem,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,0.014077756735716873,0.004031581073227208,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,miroc5,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,-9.267245341885166e-4,0.0014061735714909762,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,mri_cgcm3,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
AE,ARE,0.08286,0.0068657796,28.02,785.1204,0.01273304950520382,0.0017383103055474969,0,1,0.1073,0.130328,27.1455,4.702194984326023e-5,0.0889300003,-0.035085823945701075,99075.5841165,6.703849983215332,noresm1_m,7.894737894736848e-4,-0.03450600354845855,-0.22463158557289525,Bottom 80%
