country_iso2,grate_gdpproj
AT,1.7188540456001218
BI,30.41550809977702
BE,3.1998697865625356
BJ,17.517943749463623
BF,18.187249813280072
BG,4.570760665379777
BA,7.029743945211154
BR,5.700278954716925
BW,7.81682073893599
CF,24.982870954791437
CH,1.7804950740346432
CN,11.027510960052403
CM,15.927781355879091
CG,16.363637210167234
KM,21.814304453319053
CV,8.611080959294954
CY,4.209046540984718
CZ,2.2904952933671416
DE,1.8019312676905972
DJ,10.268432322781674
DK,1.7804858778397559
DZ,6.415183450194535
EG,7.7592009091248615
ER,33.29894683608241
ES,3.323916943160268
EE,3.4391407563590235
ET,24.540856699828062
FI,2.442658893861652
FR,3.02174702908445
GA,4.145692517745178
GB,3.2486937166403154
GH,19.924803934953978
GN,24.40186261971915
GW,26.47880956426006
GQ,3.236454089849433
GR,3.780824478620604
HR,3.54998419643814
HU,3.805455490491419
IN,16.865382726908344
IE,2.3514370937048668
IR,4.258475353026872
IQ,12.95781666329389
IS,2.787601357710552
IT,3.573515899972452
JO,7.888984945395915
KE,24.040069823890082
KW,1.0757969515059413
LB,4.257027366788026
LR,59.98555509592921
LY,2.1961288403892723
LS,19.749373788188464
LT,3.283912094107654
LU,2.799242385006633
LV,4.270104448371253
MA,9.972248139323458
MD,19.485335046846423
MG,21.82926757488475
MK,8.1685708166397
ML,27.163736650392956
MZ,31.452174311653625
MR,18.360898371052745
MU,4.7328608997674
MW,32.56624525653735
"NA",9.685306805296852
NE,30.917741558914635
NG,16.19184404220763
NL,2.1848228531326686
NO,1.9316996681837963
OM,2.3317678091220007
PL,4.0069520941794154
PT,4.854145649887081
RU,3.888316072406141
RW,17.816083107064397
SA,1.5941756986056075
SD,13.780234854400563
SN,15.923645576244814
SL,28.60372969423438
RS,9.651275554761018
ST,11.904616831661162
SK,2.7147211040521904
SI,1.9537172994663468
SE,2.8553033243698316
SZ,8.361182688027501
TD,16.896369066466434
TG,15.23816683047427
TH,7.435717723910727
TN,6.722131367468924
TR,5.4355010516072335
TZ,16.86628794548079
UG,18.981913126395533
US,1.901643230477205
YE,24.427277671127406
ZA,7.432390498373386
ZM,15.866727559096727
ZW,95.52804035772549
